oldSpeciesCanonicalName,species,key,label
Heterocerus caledoniae,Orphinus fulvipes,1095834,0
Mylabris brevetarsalis,Hycleus brevetarsalis,6955604,1
Meloe punctatoradiatus,Ceracis californicus,1045568,0
Meloe rugulosus,Meloe rugosus,4457556,1
Ennearthron nigricans,Heterocerus crinitus,4428152,0
Ceracis obesus,Ceracis curtus,1045556,1
Cis falli,Cis tristis,1045667,1
Orthocis aterrimus,Orthocis punctatus,1045552,1
Ropalodontus strandi,Ceracis curtus,1045556,0
Cis minutissimus,Ceracis californicus,1045568,0
Trogoderma fuscicornis,Trogoderma glabrum,1095973,1
Xestocis singularis,Trogoderma grassmani,1095972,0
Rhopalodontus fronticornis,Labrocerus similaris,1095920,0
Ennearthron affine,Ceracis californicus,1045568,0
Ennearthron filum,Ceracis thoracicornis,1045596,0
Ceracis laminifrons,Meloe rugosus,4457556,0
Ceracis bifoveatus,Ceracis californicus,1045568,0
Brachypterus sublucidus,Cybocephalus sublucidus,6962410,1
Ennearthron cylindricum,Xylographus subsinuatus,6958501,0
Ennearthron militaris,Cis ephippiatus,1045662,0
Telephorus guerinii,Palaestra guerini,9483506,1
Brachycis brevicollis,Malacocis brevicollis,1045642,1
Nanophyes miwai,Cycloderma deplanatum,9286732,0
Cis alter,Cis castaneus,4456422,1
Attagenus megatoma,Cis festivus,6958250,0
Mycterus curculionoides,Mycterus curculioides,4458616,1
Ceracis grossulus,Zherikhinia distylia,9484701,0
Hadraule coarctata,Hadraule elongatula,1045646,1
Entomotrogus megatomoides,Trogoderma megatomoides,4427351,1
Ennearthron piceus,Ceracis cornifer,6958421,0
Meloe murinus,Eurymeloe murinus,12186651,1
Brachytarsus rosae,Theticephalus mesopotamicus,11379488,0
Cantharis chrysomeloides,Zonitis chrysomeloides,9557999,1
Ennearthron curtus,Protaedus robusticornis,9495180,0
Ennearthron furcifer,Sulcacis curtulus,1045806,0
Attagenus elongatus,Attagenus australis,6965603,0
Cis obesus,Ceracis curtus,1045556,1
Strigocis davisi,Zonitis chrysomeloides,9557999,0
Anthribus minimus,Cybocephalus politissimus,6872479,0
