oldSpeciesCanonicalName,species,key,label
Pithecellobium teijsemannii,Archidendron minahassae,2941424,1
Lotus aucheri,Lotus halophilus,5357005,1
Lotus superbus,Lotus aegaeus,5356864,1
Monnina arborescens,Monnina fastigiata,4051158,1
Ononis marocana,Millettia sericea,7807253,0
Polygala macrostachya,Calliandra virgata,2981852,0
Feuilleea hirsuta,Lotus loweanus,5356983,0
Inga confusa,Muraltia satureioides,7851822,0
Oxylobium coriaceum,Muraltia striata,4049625,0
Machaerium pungens,Nissolia brasiliensis,10844581,0
Inga parvifolia,Asemeia violacea,8077988,0
Solori microphylla,Hebecarpa rectipilis,8052903,0
Macrolobium ngouniense,Monnina celastroides,7429148,0
Lupinus huigrensis,Millettia comosa,5355876,0
Corniola triangularis,Genista januensis,5347603,1
Lupinus reticulatus,Lupinus angustifolius,2964025,1
Erinacea hispanica,Erinacea anthyllis,2977757,1
Dialium mayumbense,Dialium tessmannii,2970965,1
Polygala alopecuroides,Delonix boiviniana,2956180,0
Poecilanthe effusa,Genista januensis,5347603,0
Leptolobium clandestinum,Glycine clandestina,5359647,1
Acacia odoratissima,Echinospartum horridum,2959222,0
Moghania tuberosa,Flemingia tuberosa,5359856,1
Ononis apula,Ononis pusilla,2977214,1
Machaerium campylothyrsum,Gastrolobium celsianum,5628000,0
Lotus bouteloui,Lotus maritimus,5356973,1
Berlinia laurentii,Archidendron bubalinum,2941202,0
Lespedeza involucrata,Polygala asperuloides,4050743,0
Hippocrepis fruticosa,Hippocrepis balearica,5353700,1
Clelia ornata,Xanthophyllum vitellinum,7293493,0
Flemingia kradungensis,Berlinia giorgii,11254379,0
Tetragonolobus gussonei,Humularia mendoncae,5349886,0
Monnina latisepala,Lotus herbaceus,7815140,0
Amphicarpaea japonica,Amphicarpaea edgeworthii,2960189,1
Caesalpinia drummondii,Archidendron grandiflorum,2941212,0
Racosperma prainii,Acacia prainii,2978760,1
Securidaca atropurpurea,Securidaca scandens,5658089,1
Salomonia aphylla,Lupinus kunthii,3909893,0
Damapana strobilantha,Calliandra foliolosa,2981801,0
Genista minor,Genista anglica,5347644,1
Moghania nana,Flemingia nana,7981517,1
Moghania fluminalis,Genista stenopetala,5347701,0
Inga organensis,Securidaca divaricata,5658161,0
Crotalaria angustifolia,Archidendron bigeminum,2941295,0
Racosperma leichhardtii,Millettia caudata,5355895,0
Salomonia subrotunda,Comesperma volubile,7293539,0
Genista moleroi,Genista quadriflora,5347743,1
Maughania gracilis,Flemingia gracilis,5359860,1
Millettia giorgii,Millettia drastica,5355671,1
Codarium discolor,Dialium guineense,2971007,1
Acacia longissima,Acacia provincialis,2979750,1
Chesneya macranica,Cadia commersoniana,2968350,0
Racosperma manipulare,Acacia manipularis,2980495,1
Racosperma ayersianum,Archidendron glabrum,2941437,0
Monnina trichoptera,Inga bullata,5357298,0
Polygala dodii,Polygala garcini,4049364,1
Polygala pavonii,Hebecarpa velutina,9556567,1
Brachysema melanopetalum,Gastrolobium melanopetalum,5627879,1
Feuilleea pedicellata,Calliandra pedicellata,2982252,1
Julbernardia baumii,Julbernardia paniculata,2981767,1
Feuilleea capitata,Badiera cubensis,4050653,0
Calliandra subnervosa,Inga vulpina,5357563,0
Indigofera butayei,Genista linifolia,5347599,0
Asterocytisus radidtus,Asterocytisus radidtus,8181002,1
Desmodium willdenowii,Betencourtia crassifolia,10962628,0
Machaerium ovalifolium,Machaerium ovalifolium,5355018,1
Gastrolobium henfreyi,Gastrolobium ovalifolium,5350200,1
Indigofera tritoides,Microcharis tritoides,2963345,1
Indigofera microcharoides,Hoffmannseggia miranda,5347554,0
Dialium praetermissum,Dialium hydnocarpoides,11270588,1
Dialium evrardii,Gastrolobium dilatatum,5627951,0
Calliandra stricta,Millettia lecomtei,5355906,0
Machaerium sieberi,Machaerium myrianthum,5354915,0
Acacia idiomorpha,Acacia idiomorpha,2978805,1
Feuilleea viscidula,Calliandra viscidula,2981809,1
Polygala trinervia,Acacia paradoxa,2981159,0
Pterocarpus cumingii,Baudouinia fluggeiformis,2963754,0
Smegmaria emarginata,Lotus angustissimus,5356931,0
Polygala aestuans,Inga edwallii,5357301,0
Moghania sarmentosa,Glycine tabacina,5359681,0
Lotus pacificus,Lotus taitungensis,7998210,1
Poinciana hirsuta,Hoffmannseggia glauca,5347492,1
Phaseoloides nudiflorum,Monnina cuneata,8216450,0
Millettia rubra,Millettia drastica,5355671,1
Cytiscus monspessulanus,Genista monspessulana,5347796,1
Acacia odoratissima,Acacia elata,2973176,1
Nissolia reticulata,Gastrolobium sericeum,5627827,0
Lotus degenii,Lotus borbasii,5356898,1
Piptadenia schlechteri,Adenopodia schlechteri,2952373,1
Machaerium capote,Apios americana,2966796,0
Acacia papuliformis,Acacia cultriformis,2979559,1
Genista multicaulis,Muraltia stipulacea,7652309,0
Senega tacianae,Polygala tacianae,7580174,1
Feuilleea subnervosa,Calliandra angustifolia,2982331,1
Pithecellobium bigemium,Polygala subandina,4051083,0
Maughania rhodocarpa,Flemingia grahamiana,5359839,1
Rhinotropis cowellii,Gastrolobium formosum,5627923,0
Inga duquei,Muraltia polyphylla,4049991,0
Monnina vitellina,Xanthophyllum vitellinum,7293493,1
Muraltia aspera,Nissolia vincentina,10745779,0
Muraltia conjuncta,Flemingia trifoliastrum,5359862,0
Atroxima macrostachya,Atroxima afzeliana,4050746,1
Sarcobotrya strigosa,Erythrostemon calycinus,8322761,0
Heistera divaricata,Muraltia divaricata,4050776,1
Calophaca sericea,Calophaca sericea,2956881,1
Chaetocalyx tenuipedicellatus,Nissolia vincentina,10745779,1
Millettia taiwaniana,Monnina latifolia,4050656,0
Damapana strigosa,Lupinus ornatus,2964090,0
Cytisus virgatus,Genista tenera,5347751,1
Lotus bornmuellerianus,Lotus halophilus,5357005,1
Acanthobotrya angustifolia,Lotus herbaceus,7815140,0
Notospartium exsul,Carmichaelia exsul,5348420,1
Bonjeanea syriaca,Genista sessilifolia,5347744,0
Feuilleea leptopoda,Calliandra leptopoda,2981819,1
Archidendron papuanum,Lotus cytisoides,5356937,0
