oldSpeciesCanonicalName,species,key,label
Elytrigia kotovii,Pseudoroegneria stipifolia,4132932,1
Aechmea oligosepala,Sasa chartacea,4131848,0
Achnatherum duthiei,Ptilagrostis duthiei,10596562,1
Ronnbergia carvalhoi,Chordifex gracilior,2707162,0
Dupatya brachypus,Desmocladus flexuosus,2707854,0
Schoenus rufus,Syngonanthus cuyabensis,8335785,0
Pleurostachys calyptrocaryoides,Pleurostachys muelleri,2712140,1
Ficinia leiocarpa,Ficinia sylvatica,2711335,1
Rottboellia pilosa,Fascicularia bicolor,5287984,0
Restio erectus,Bulbostylis trabeculata,5292243,0
Hypolepis scariosa,Leymus secalinus,2706346,0
Andrea selloana,Eduandrea selloana,2697807,1
Triticum dasystachyum,Leymus secalinus,2706346,1
Scirpus burkei,Bulbostylis contexta,5292419,1
Macrochaetium hexandrum,Lagenocarpus bracteosus,5292991,0
Iria hawaiiensis,Eriachne mucronata,4137039,0
Phaeocephalum caducum,Eriophorum gracile,2730137,0
Rapatea wettsteinii,Acanthostachys strobilacea,2693693,0
Cyperus niger,Schoenus nigricans,2709923,1
Acrocarpus campestris,Krenakia minarum,12225325,1
Restio paniculatus,Restio multiflorus,5290525,1
Fuirena rubiginosa,Machaerina rubiginosa,8833254,1
Vincentia anceps,Carex vallis-rosetto,2725039,0
Restio stenocoleus,Quesnelia arvensis,2696549,0
Sorghum orientale,Neololeba amahussana,4146279,0
Baumea milnei,Ficinia indica,2711342,0
Encholirium piresianum,Schoenus dregeanus,2710026,0
Poa subfastigiata,Alcantarea regina,2699947,0
Mezobromelia fulgens,Restio perplexus,5290538,0
Chamaeraphis muricata,Cleistogenes serotina,4119142,0
Brocchinia cryptantha,Brocchinia hechtioides,5287596,1
Scirpus triqueter,Sesleria robusta,4118915,0
Nardurus mamoraeus,Catapodium mamoraeum,4105485,1
Costularia hornei,Xyroschoenus hornei,10934600,1
Andropogon speciosus,Phacelurus speciosus,4143842,1
Hypogynium arrectum,Festuca humilior,4122652,0
Scirpus glaucus,Bolboschoenus glaucus,2718387,1
Festuca multiflora,Bulbostylis juncoides,8406750,0
Sasa pilosa,Sasa senanensis,4129057,1
Syngonanthus heterophyllus,Indocalamus decorus,4154986,0
Xyris dilungensis,Ficinia laevis,2711393,0
Sorghum lithophilum,Elymandra lithophila,4113941,1
Nidularium princeps,Neoregelia princeps,2694041,1
Billbergia roseomarginata,Schoenoplectus triquetrer,7696799,0
Mapania chevalieri,Hypolytrum chevalieri,2709362,1
Bromus loliaceus,Festuca purpurascens,4932325,0
Carex fauriae,Carex phacota,2729549,1
Machaerina gracilis,Machaerina laxa,5291228,1
Scirpus acuminatus,Fimbristylis juncea,2708449,0
Agropyron divergens,Pseudoroegneria spicata,2705699,1
Paepalanthus xeranthemoides,Comanthera xeranthemoides,6312023,1
Araeococcus chlorocarpus,Pseudaraeococcus chlorocarpus,12218478,1
Eriachne triseta,Hesperostipa curtiseta,2702492,0
Brachypodium longisetum,Amphiscirpus nevadensis,2730065,0
Dimeria tenera,Dimeria ornithopoda,2706204,1
Vriesea vulcanicola,Werauhia vulcanicola,2700105,1
Deyeuxia velutina,Cinnagrostis velutina,12212383,1
Juncus scalovenicus,Juncus inundatus,4204213,1
Vriesea uxoris,Werauhia uxoris,2699987,1
Andropogon stagninus,Himalayacalamus collaris,4121847,0
Danthonia rigida,Sincoraea hatschbachii,9356767,0
Sclerochloa hemipoa,Ficinia nodosa,2711622,0
Aregelia spectabilis,Neoregelia spectabilis,2694071,1
Cladium teretifolium,Hohenbergia eriantha,2699358,0
Caraguata osyana,Guzmania osyana,2699010,1
Bulbostylis spadicea,Paramapania parvibractea,2731294,0
Tillandsia lutheriana,Leptochloa mucronata,4132253,0
Scleria ovuligera,Scleria naumanniana,2712506,1
Gravisia capitata,Guzlandsia barbiei,12187411,0
Ischyrolepis schoenoides,Tetraria bromoides,2718403,0
Tonduzia macrophylla,Scleria vaginata,2712774,1
Dyckia coccinea,Dyckia tuberosa,2699597,1
Nothoholcus lanatus,Billbergia amoena,2693722,0
Cynosurus filiformis,Chloris filiformis,5678743,1
Oplismenus patens,Oplismenus compositus,2705733,1
Cladium medium,Gahnia lanigera,2710060,1
Quesnelia hoehnei,Polytoca javanica,4153319,0
Dupatya curvifolia,Leiothrix curvifolia,5286550,1
