key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
6970285,"Archaeophylax worthyi Leschen & Rhode, 2003",Archaeophylax worthyi,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Ulodidae,Archaeophylax,Archaeophylax worthyi,0,Waitomophylax worthyi,"Waitomophylax worthyi (Leschen & Rhode, 2002)",6970284,SYNONYM,,"(Leschen & Rhode, 2002) ",
4407296,"Mycterus umbellatarum (Fabricius, 1787)",Mycterus umbellatarum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Mycteridae,Mycterus,Mycterus umbellatarum,0,Bruchus umbellatarum,"Bruchus umbellatarum Fabricius, 1787",8437728,HOMOTYPIC_SYNONYM,,"Fabricius, 1787",
4458616,"Mycterus curculioides (Fabricius, 1781)",Mycterus curculioides,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Mycteridae,Mycterus,Mycterus curculioides,1,Mycterus curculionides,Mycterus curculionides,8254007,SYNONYM,,,
4458616,"Mycterus curculioides (Fabricius, 1781)",Mycterus curculioides,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Mycteridae,Mycterus,Mycterus curculioides,1,Mycterus curculionoides,"Mycterus curculionoides (F., 1781)",11283422,SYNONYM,,"(F., 1781) ",
4458616,"Mycterus curculioides (Fabricius, 1781)",Mycterus curculioides,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Mycteridae,Mycterus,Mycterus curculioides,1,Rhinomacer curculioides,"Rhinomacer curculioides Fabricius, 1781",6943825,HOMOTYPIC_SYNONYM,,"Fabricius, 1781",
1045070,"Mycterus quadricollis Horn, 1874",Mycterus quadricollis,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Mycteridae,Mycterus,Mycterus quadricollis,0,Mycterus depressus,"Mycterus depressus Champion, 1889",1045071,SYNONYM,,"Champion, 1889",
6943816,"Falsopedilus elongatus (Pic, 1921)",Falsopedilus elongatus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Mycteridae,Falsopedilus,Falsopedilus elongatus,0,Lacconotopedilus elongatus,"Lacconotopedilus elongatus Pic, 1936",6943755,HOMOTYPIC_SYNONYM,,"Pic, 1936","Telnov, Dmitry (2022): Redefinition of Physciolagria Pic, 1930 (Coleoptera: Mycteridae) with a new family placement, genus-rank synonymy, new description, and a key. Zootaxa 5219 (2): 121-138, DOI: https://doi.org/10.11646/zootaxa.5219.2.2"
4453295,"Macrophagus robustus Motschulsky, 1845",Macrophagus robustus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Macrophagus,Macrophagus robustus,0,Macrophagus fausti,"Macrophagus fausti Seidlitz, 1888",4453296,HETEROTYPIC_SYNONYM,,"Seidlitz, 1888",
4453295,"Macrophagus robustus Motschulsky, 1845",Macrophagus robustus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Macrophagus,Macrophagus robustus,0,Macrophagus frivaldszkyi,"Macrophagus frivaldszkyi Frivaldszky, 1865",4453298,HETEROTYPIC_SYNONYM,,"Frivaldszky, 1865",
4453295,"Macrophagus robustus Motschulsky, 1845",Macrophagus robustus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Macrophagus,Macrophagus robustus,0,Macrophagus neglectus,"Macrophagus neglectus Frivaldszky, 1865",4453297,HETEROTYPIC_SYNONYM,,"Frivaldszky, 1865",
4453293,"Loberogosmus fasciatus (Kolenati, 1846)",Loberogosmus fasciatus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Loberogosmus,Loberogosmus fasciatus,0,Engis fasciatus,"Engis fasciatus Kolenati, 1846",4453294,HOMOTYPIC_SYNONYM,,"Kolenati, 1846",
4453274,"Leucohimatium alatum (Reitter, 1884)",Leucohimatium alatum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Leucohimatium,Leucohimatium alatum,0,Leucohivatium alatum,"Leucohivatium alatum Reitter, 1884",4453275,HOMOTYPIC_SYNONYM,,"Reitter, 1884",
4453266,"Leucohimatium arundinaceum (Forskal, 1775)",Leucohimatium arundinaceum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Leucohimatium,Leucohimatium arundinaceum,0,Leucohimatium angustum,"Leucohimatium angustum Rosenhauer, 1856",4453269,HETEROTYPIC_SYNONYM,,"Rosenhauer, 1856",
4453266,"Leucohimatium arundinaceum (Forskal, 1775)",Leucohimatium arundinaceum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Leucohimatium,Leucohimatium arundinaceum,0,Paramecosoma elongatum,"Paramecosoma elongatum Erichson, 1846",4453268,HETEROTYPIC_SYNONYM,,"Erichson, 1846",
4453266,"Leucohimatium arundinaceum (Forskal, 1775)",Leucohimatium arundinaceum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Leucohimatium,Leucohimatium arundinaceum,0,Tenebrio arundinaceum,"Tenebrio arundinaceum Forskal, 1775",4453267,HOMOTYPIC_SYNONYM,,"Forskal, 1775",
4453276,"Leucohimatium jakowlewi Semenov, 1902",Leucohimatium jakowlewi,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Leucohimatium,Leucohimatium jakowlewi,0,Leucohimatium nigrosuturale,"Leucohimatium nigrosuturale Reitter, 1909",4453277,HETEROTYPIC_SYNONYM,,"Reitter, 1909",
4453270,"Leucohimatium langii (Solsky, 1866)",Leucohimatium langii,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Leucohimatium,Leucohimatium langii,0,Leucohimatium brevicolle,"Leucohimatium brevicolle Reitter, 1878",4453273,HETEROTYPIC_SYNONYM,,"Reitter, 1878",
