key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
8019741,Stylobasium australe (Hook.) Prance,Stylobasium australe,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Surianaceae,Stylobasium,Stylobasium australe,0,Macrostigma australis,Macrostigma australis Hook.,3012075,SYNONYM,,Hook.,"Hook. (1842). In: Ic. Pl, T. 412."
8019741,Stylobasium australe (Hook.) Prance,Stylobasium australe,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Surianaceae,Stylobasium,Stylobasium australe,0,Stylobasium lineare,Stylobasium lineare Nees,3012074,SYNONYM,,Nees,"Nees. (1845). In: Lehm., Pl. Preiss. 1: 95."
8218958,Recchia connaroides (Loes. & Soler.) Standl.,Recchia connaroides,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Surianaceae,Recchia,Recchia connaroides,0,Rigiostachys connaroides,Rigiostachys connaroides Loes. & Soler.,3709270,SYNONYM,,Loes. & Soler.,Loes. & Soler. (1905). In: Verh. Bot. Ver. Brandenb. 47: 37.
7898222,Recchia mexicana Moc. & Sessé ex DC.,Recchia mexicana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Surianaceae,Recchia,Recchia mexicana,0,Recchia bracteata,Recchia bracteata (Planch.) Small,7586311,SYNONYM,,(Planch.) Small,"Small. (1911). In: Britton, N. Amer. Fl. 25: 235."
7898222,Recchia mexicana Moc. & Sessé ex DC.,Recchia mexicana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Surianaceae,Recchia,Recchia mexicana,0,Rigiostachys bracteata,Rigiostachys bracteata Planch.,3709288,SYNONYM,,Planch.,Planch. (1847). In: Hook. Lond. J. Bot. 6: 30.
7898222,Recchia mexicana Moc. & Sessé ex DC.,Recchia mexicana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Surianaceae,Recchia,Recchia mexicana,0,Rigiostachys roureoides,Rigiostachys roureoides Loes. & Soler.,3709239,SYNONYM,,Loes. & Soler.,Loes. & Soler. (1905). In: Verh. Bot. Ver. Brandenb. 47: 39.
7478939,Guilfoylia monostylis (Benth.) F.Muell.,Guilfoylia monostylis,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Surianaceae,Guilfoylia,Guilfoylia monostylis,0,Cadellia monostylis,Cadellia monostylis Benth.,3646041,SYNONYM,,Benth.,Benth. (1863). In: Fl. Austral. 1: 375.
3029372,Quillaja brasiliensis (A.St.-Hil. & Tul.) Mart.,Quillaja brasiliensis,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,Quillaja brasiliensis,0,Fontenellea brasiliensis,Fontenellea brasiliensis A.St.-Hil. & Tul.,5370417,SYNONYM,,A.St.-Hil. & Tul.,A. St.-Hil. & Tul. (1842). In: Ann. Sci. Nat. Ser. II. 17: 141.
3029372,Quillaja brasiliensis (A.St.-Hil. & Tul.) Mart.,Quillaja brasiliensis,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,Quillaja brasiliensis,0,Quillaja lanceolata,Quillaja lanceolata D.Dietr.,3029378,SYNONYM,,D.Dietr.,D. Dietr. (1840). In: Syn. Plant. 2: 1616.
3029372,Quillaja brasiliensis (A.St.-Hil. & Tul.) Mart.,Quillaja brasiliensis,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,Quillaja brasiliensis,0,Quillaja lancifolia,Quillaja lancifolia D.Don,3029380,SYNONYM,,D.Don,"Don, D. (n.d.). In: Edinb. N. Phil. J. (Jan.-March 1831) 231."
