key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
2478759,"Selenidera nattereri (Gould, 1835)",Selenidera nattereri,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Selenidera,Selenidera nattereri,0,Pteroglossus spec,"Pteroglossus spec Gould, 1836",11057470,SYNONYM,,"Gould, 1836",
5789359,"Selenidera piperivora (Linnaeus, 1758)",Selenidera piperivora,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Selenidera,Selenidera piperivora,1,Pteroglossus culik,"Pteroglossus culik Wagler, 1827",9316108,SYNONYM,,"Wagler, 1827",
5789359,"Selenidera piperivora (Linnaeus, 1758)",Selenidera piperivora,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Selenidera,Selenidera piperivora,1,Ramphastos piperivorus,"Ramphastos piperivorus Linnaeus, 1758",8863967,SYNONYM,,"Linnaeus, 1758",
5789359,"Selenidera piperivora (Linnaeus, 1758)",Selenidera piperivora,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Selenidera,Selenidera piperivora,1,Selenidera culik,"Selenidera culik (Wagler, 1827)",2478757,SYNONYM,,"(Wagler, 1827) ",
2478828,"Pteroglossus aracari (Linnaeus, 1758)",Pteroglossus aracari,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Pteroglossus,Pteroglossus aracari,4,Ramphastos aracari,"Ramphastos aracari Linnaeus, 1758",7782101,SYNONYM,,"Linnaeus, 1758",
5789361,"Pteroglossus bailloni (Vieillot, 1819)",Pteroglossus bailloni,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Pteroglossus,Pteroglossus bailloni,1,Baillonius bailloni,"Baillonius bailloni (Vieillot, 1819)",2478844,SYNONYM,,"(Vieillot, 1819) ",
2478827,"Pteroglossus viridis (Linnaeus, 1766)",Pteroglossus viridis,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Pteroglossus,Pteroglossus viridis,1,Ramphastos viridis,"Ramphastos viridis Linnaeus, 1766",9204130,SYNONYM,,"Linnaeus, 1766",
6101211,"Aulacorhynchus albivitta (Boissonneau, 1840)",Aulacorhynchus albivitta,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,Aulacorhynchus albivitta,7,Pteroglossus albivitta,"Pteroglossus albivitta Boissonneau, 1840",11300137,SYNONYM,,"Boissonneau, 1840",
5844042,"Aulacorhynchus atrogularis (J.H.C.F.Sturm & J.W.Sturm, 1841)",Aulacorhynchus atrogularis,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,Aulacorhynchus atrogularis,3,Pteroglossus atrogularis,"Pteroglossus atrogularis J.H.C.F.Sturm & J.W.Sturm, 1841",11354935,SYNONYM,,"J.H.C.F.Sturm & J.W.Sturm, 1841",
5229024,"Aulacorhynchus caeruleogularis Gould, 1853",Aulacorhynchus caeruleogularis,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,Aulacorhynchus caeruleogularis,2,Aulacorhamphus caeruleogularis,"Aulacorhamphus caeruleogularis Gould, 1853",11345024,SYNONYM,,"Gould, 1853",
5229012,"Aulacorhynchus prasinus (Gould, 1833)",Aulacorhynchus prasinus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,Aulacorhynchus prasinus,9,Pteroglossus prasinus,"Pteroglossus prasinus (Gould, 1833)",8928717,HOMOTYPIC_SYNONYM,,"(Gould, 1833) ",
5229028,"Aulacorhynchus sulcatus (Swainson, 1820)",Aulacorhynchus sulcatus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,Aulacorhynchus sulcatus,3,Pteroglossus sulcatus,Pteroglossus sulcatus Swainson,7603727,HOMOTYPIC_SYNONYM,,Swainson,
6101210,"Aulacorhynchus whitelianus Salvin & Godman, 1882",Aulacorhynchus whitelianus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,Aulacorhynchus whitelianus,3,Aulacorhamphus whitelianus,"Aulacorhamphus whitelianus Salvin & Godman, 1882",9043380,SYNONYM,,"Salvin & Godman, 1882",
9045043,"Yungipicus canicapillus (Blyth, 1845)",Yungipicus canicapillus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus canicapillus,12,Dendrocopos canicapillus,"Dendrocopos canicapillus (Blyth, 1845)",2478004,SYNONYM,,"(Blyth, 1845) ",
9045043,"Yungipicus canicapillus (Blyth, 1845)",Yungipicus canicapillus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus canicapillus,12,Picoides canicapillus,"Picoides canicapillus (Blyth, 1845)",9140988,HOMOTYPIC_SYNONYM,,"(Blyth, 1845) ",
9045043,"Yungipicus canicapillus (Blyth, 1845)",Yungipicus canicapillus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus canicapillus,12,Picus canicapillus,"Picus canicapillus Blyth, 1845",11313816,HOMOTYPIC_SYNONYM,,"Blyth, 1845",
9178169,"Yungipicus kizuki (Temminck, 1836)",Yungipicus kizuki,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus kizuki,11,Dendrocopos kizuki,"Dendrocopos kizuki (Temminck, 1836)",2477900,SYNONYM,,"(Temminck, 1836) ",
