key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
8326635,"Xylorycta thrasycosma (Tillyard, 1926)",Xylorycta thrasycosma,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta thrasycosma,0,Plectophila thrasycosma,"Plectophila thrasycosma Tillyard, 1926",11980180,HETEROTYPIC_SYNONYM,,"Tillyard, 1926",
4686305,"Xylorycta castanea (Turner, 1902)",Xylorycta castanea,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta castanea,0,Lichenaula castanea,"Lichenaula castanea Turner, 1902",4686896,SYNONYM,,"Turner, 1902",
1835268,"Xylorycta luteotactella (Walker, 1864)",Xylorycta luteotactella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta luteotactella,1,Cryptolechia cognatella,"Cryptolechia cognatella Walker, 1864",5802277,SYNONYM,,"Walker, 1864",
1835268,"Xylorycta luteotactella (Walker, 1864)",Xylorycta luteotactella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta luteotactella,1,Cryptolechia luteotactella,"Cryptolechia luteotactella Walker, 1864",5802278,SYNONYM,,"Walker, 1864",Walker (1864) List of the specimens of lepidopterous insects in the collection of the British Museum. (29). Available from https://www.biodiversitylibrary.org/page/38948139
4686282,"Xylorycta nivella (Walker, 1864)",Xylorycta nivella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta nivella,0,Cryptolechia nivella,"Cryptolechia nivella Walker, 1864",5802279,SYNONYM,,"Walker, 1864",
4686298,"Xylorycta stereodesma Lower, 1902",Xylorycta stereodesma,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta stereodesma,1,Xylorycta prospicua,"Xylorycta prospicua Meyrick, 1914",1835282,SYNONYM,,"Meyrick, 1914",
1835198,"Xylorycta polysticha (Turner, 1939)",Xylorycta polysticha,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta polysticha,0,Lichenaula polysticha,"Lichenaula polysticha Turner, 1939",12083369,SYNONYM,,"Turner, 1939",
4686297,"Xylorycta heliomacula (Lower, 1894)",Xylorycta heliomacula,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta heliomacula,0,Telecrates heliomacula,"Telecrates heliomacula Lower, 1894",1838077,SYNONYM,,"Lower, 1894",
1835285,"Xylorycta assimilis Turner, 1900",Xylorycta assimilis,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta assimilis,1,Xylorycta terenopis,"Xylorycta terenopis Meyrick, 1915",1835260,SYNONYM,,"Meyrick, 1915",
1835211,"Xylorycta haplochroa (Turner, 1898)",Xylorycta haplochroa,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta haplochroa,2,Lichenaula haplochroa,"Lichenaula haplochroa Turner, 1898",4686281,SYNONYM,,"Turner, 1898",
1835211,"Xylorycta haplochroa (Turner, 1898)",Xylorycta haplochroa,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta haplochroa,2,Lichenaula umbrosa,"Lichenaula umbrosa Lucas, 1900",4686280,SYNONYM,,"Lucas, 1900",
4686302,"Xylorycta cygnella (Walker, 1864)",Xylorycta cygnella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta cygnella,0,Cryptolechia cygnella,"Cryptolechia cygnella Walker, 1864",5802283,SYNONYM,,"Walker, 1864",
4686270,"Xylorycta calligramma (Meyrick, 1890)",Xylorycta calligramma,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta calligramma,1,Telecrates calligramma,"Telecrates calligramma Meyrick, 1890",1838085,SYNONYM,,"Meyrick, 1890",
4686295,"Xylorycta streptogramma (Lower, 1903)",Xylorycta streptogramma,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta streptogramma,1,Telecrates streptogramma,"Telecrates streptogramma Lower, 1903",4684678,SYNONYM,,"Lower, 1903",
1835273,"Xylorycta ovata (Walsingham, 1881)",Xylorycta ovata,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta ovata,0,Antaeotricha ovata,"Antaeotricha ovata Walsingham, 1881",6121717,SYNONYM,,"Walsingham, 1881",
1835235,"Xylorycta candescens Lower, 1896",Xylorycta candescens,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta candescens,4,Lichenaula dissimilis,"Lichenaula dissimilis Turner, 1898",4686296,SYNONYM,,"Turner, 1898",
1835190,"Xylorycta strigata (Lewin, 1805)",Xylorycta strigata,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta strigata,1,Cryptophasa strigata,"Cryptophasa strigata Lewin, 1805",4686275,SYNONYM,,"Lewin, 1805",
1835248,"Xylorycta apheles (Turner, 1898)",Xylorycta apheles,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta apheles,1,Neodrepta apheles,"Neodrepta apheles Turner, 1898",4686289,SYNONYM,,"Turner, 1898",
1835248,"Xylorycta apheles (Turner, 1898)",Xylorycta apheles,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta apheles,1,Xylorycta lychnobii,"Xylorycta lychnobii Lucas, 1900",1835249,SYNONYM,,"Lucas, 1900",
1835230,"Xylorycta argentella (Walker, 1864)",Xylorycta argentella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Xylorycta,Xylorycta argentella,1,Cryptolechia argentella,"Cryptolechia argentella Walker, 1864",5802276,SYNONYM,,"Walker, 1864",
1837773,"Synchalara rhombota (Meyrick, 1907)",Synchalara rhombota,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Synchalara,Synchalara rhombota,0,Agriophara rhombota,"Agriophara rhombota Meyrick, 1907",11997815,SYNONYM,,"Meyrick, 1907",Meyrick (1907) Journal of the Bombay Natural History Society. 17.
1839557,"Paralecta tinctoria (Lucas, 1894)",Paralecta tinctoria,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Paralecta,Paralecta tinctoria,0,Xylorycta tinctoria,"Xylorycta tinctoria Lucas, 1894",4685311,SYNONYM,,"Lucas, 1894",Lucas (1894) Proceedings of the Linnean Society of New South Wales. 8.
4685473,"Sphalerostola epierana (Turner, 1947)",Sphalerostola epierana,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Sphalerostola,Sphalerostola epierana,1,Exapateter epierana,"Exapateter epierana Turner, 1947",1852892,SYNONYM,,"Turner, 1947",Turner (1947) Proceedings of the Royal Society of Queensland. 57.
1833412,"Metathrinca ancistrias (Meyrick, 1906)",Metathrinca ancistrias,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Metathrinca,Metathrinca ancistrias,0,Ptochoryctis ancistrias,"Ptochoryctis ancistrias Meyrick, 1906",12004890,SYNONYM,,"Meyrick, 1906",Meyrick (1906) Journal of the Bombay Natural History Society. 17.
1833417,"Metathrinca ceromorpha (Meyrick, 1923)",Metathrinca ceromorpha,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Metathrinca,Metathrinca ceromorpha,0,Ptochoryctis ceromorpha,"Ptochoryctis ceromorpha Meyrick, 1923",12144118,SYNONYM,,"Meyrick, 1923",
1833413,"Metathrinca illuvialis (Meyrick, 1914)",Metathrinca illuvialis,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Metathrinca,Metathrinca illuvialis,0,Ptochoryctis illuvialis,"Ptochoryctis illuvialis Meyrick, 1914",12020974,SYNONYM,,"Meyrick, 1914",
1833418,"Metathrinca intacta (Meyrick, 1938)",Metathrinca intacta,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Metathrinca,Metathrinca intacta,0,Ptochoryctis intacta,"Ptochoryctis intacta Meyrick, 1938",12117103,SYNONYM,,"Meyrick, 1938",
1833414,"Metathrinca loranthivora (Meyrick, 1937)",Metathrinca loranthivora,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Xyloryctidae,Metathrinca,Metathrinca loranthivora,0,Ptochoryctis loranthivora,"Ptochoryctis loranthivora Meyrick, 1937",12107719,SYNONYM,,"Meyrick, 1937",
