key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
1845656,"Turatia morettii (Turati, 1926)",Turatia morettii,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Turatia,Turatia morettii,0,Holcopogon morettii,"Holcopogon morettii Turati, 1926",11939352,SYNONYM,,"Turati, 1926",Turati (1926) Atti della Societa Italiana di Scienze Naturali e del Museo Civico di Historia Naturale. 65.
1845995,"Tenieta albidella (Rebel, 1901)",Tenieta albidella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Tenieta,Tenieta albidella,0,Epidola albidella,"Epidola albidella Rebel, 1901",12156333,SYNONYM,,"Rebel, 1901",Rebel (1901) Deutsche Entomologische Zeitscrift. 13.
1845995,"Tenieta albidella (Rebel, 1901)",Tenieta albidella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Tenieta,Tenieta albidella,0,Epidola kebillilla,"Epidola kebillilla Lucas, 1945",11974578,SYNONYM,,"Lucas, 1945",
1845750,"Telephirca quadrifariella (Mann, 1855)",Telephirca quadrifariella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Telephirca,Telephirca quadrifariella,0,Oecophora quadrifariella,"Oecophora quadrifariella Mann, 1855",4528940,HOMOTYPIC_SYNONYM,,"Mann, 1855",
1845750,"Telephirca quadrifariella (Mann, 1855)",Telephirca quadrifariella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Telephirca,Telephirca quadrifariella,0,Symmoca ochreopicta,"Symmoca ochreopicta Walsingham, 1901",4528941,HETEROTYPIC_SYNONYM,,"Walsingham, 1901",
1845750,"Telephirca quadrifariella (Mann, 1855)",Telephirca quadrifariella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Telephirca,Telephirca quadrifariella,0,Symmoca quadrifariella,"Symmoca quadrifariella Mann, 1855",12128967,SYNONYM,,"Mann, 1855",Mann (1855) Verhandlungen der Zoologisch-Botanischen Gesellschaft in Wien. 5.
1846495,"Taygete altivola (Meyrick, 1929)",Taygete altivola,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Taygete,Taygete altivola,0,Epithectis altivola,"Epithectis altivola Meyrick, 1929",12048777,SYNONYM,,"Meyrick, 1929",
1846484,"Taygete annulicornis (Walsingham, 1897)",Taygete annulicornis,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Taygete,Taygete annulicornis,0,Aristotelia annulicornis,"Aristotelia annulicornis Walsingham, 1897",12054990,SYNONYM,,"Walsingham, 1897",
1846505,"Taygete attributella (Walker, 1864)",Taygete attributella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Taygete,Taygete attributella,1,Evagora difficilisella,"Evagora difficilisella Chambers, 1872",6212050,SYNONYM,,"Chambers, 1872","Chambers, V.T. (1872) Micro-Lepidoptera. Canadian Entomologist 4."
1846505,"Taygete attributella (Walker, 1864)",Taygete attributella,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Taygete,Taygete attributella,1,Gelechia attributella,"Gelechia attributella Walker, 1864",11978246,SYNONYM,,"Walker, 1864",
