key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
6970285,"Archaeophylax worthyi Leschen & Rhode, 2003",Archaeophylax worthyi,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Ulodidae,Archaeophylax,Archaeophylax worthyi,0,Waitomophylax worthyi,"Waitomophylax worthyi (Leschen & Rhode, 2002)",6970284,SYNONYM,,"(Leschen & Rhode, 2002) ",
4458616,"Mycterus curculioides (Fabricius, 1781)",Mycterus curculioides,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Mycteridae,Mycterus,Mycterus curculioides,1,Mycterus curculionides,Mycterus curculionides,8254007,SYNONYM,,,
4458616,"Mycterus curculioides (Fabricius, 1781)",Mycterus curculioides,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Mycteridae,Mycterus,Mycterus curculioides,1,Mycterus curculionoides,"Mycterus curculionoides (F., 1781)",11283422,SYNONYM,,"(F., 1781) ",
1045070,"Mycterus quadricollis Horn, 1874",Mycterus quadricollis,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Mycteridae,Mycterus,Mycterus quadricollis,0,Mycterus depressus,"Mycterus depressus Champion, 1889",1045071,SYNONYM,,"Champion, 1889",
9414997,"Megatoma atypica (Deng et al., 2017)",Megatoma atypica,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Cretomegatoma,Megatoma atypica,0,Cretomegatoma atypica,"Cretomegatoma atypica (Deng et al., 2017)",12168051,SYNONYM,,"(Deng et al., 2017) ",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Anthrenus niger,"Anthrenus niger Herbst, 1797",7902219,SYNONYM,,"Herbst, 1797",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Trogoderma fuscicornis,"Trogoderma fuscicornis Mulsant & Rey, 1868",6966884,SYNONYM,,"Mulsant & Rey, 1868",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Trogoderma niger,"Trogoderma niger (Herbst, 1797)",4740167,SYNONYM,,"(Herbst, 1797) ",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Trogoderma nigrum,"Trogoderma nigrum (Herbst, 1797)",6966883,SYNONYM,,"(Herbst, 1797) ",
1095972,"Trogoderma grassmani Beal, 1954",Trogoderma grassmani,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma grassmani,0,Trogoderma grassmani,"Trogoderma grassmani Everts, 1899",8295418,SYNONYM,,"Everts, 1899",
4427351,"Trogoderma megatomoides Reitter, 1881",Trogoderma megatomoides,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma megatomoides,0,Entomotrogus megatomoides,"Entomotrogus megatomoides (Reitter, 1881)",9451075,SYNONYM,,"(Reitter, 1881) ",
4427406,"Ctesias serra (Fabricius, 1792)",Ctesias serra,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Ctesias,Ctesias serra,1,Tiresias serra,Tiresias serra (F.),6966655,SYNONYM,,(F.) ,
4427489,"Sefrania bleusei Pic, 1899",Sefrania bleusei,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Sefrania,Sefrania bleusei,1,Fohrer bleusei,"Fohrer bleusei Pic, 1899",9267567,SYNONYM,,"Pic, 1899",
