key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
2693201,Xyris subuniflora Malme,Xyris subuniflora,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris subuniflora,0,Xyris capillaris,Xyris capillaris Steyerm.,7797000,HETEROTYPIC_SYNONYM,,Steyerm.,"Fieldiana, Bot. 28(1): 107 (1951)"
2692868,Xyris erubescens Rendle,Xyris erubescens,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris erubescens,0,Xyris rhodesiana,Xyris rhodesiana Malme,2693012,SYNONYM,,Malme,Bot. Not. 1932: 12 (1932)
2692868,Xyris erubescens Rendle,Xyris erubescens,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris erubescens,0,Xyris theodori,Xyris theodori Malme,2693188,SYNONYM,,Malme,Bot. Not. 1932: 12 (1932)
2693190,Xyris anisophylla Welw. ex Rendle,Xyris anisophylla,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris anisophylla,0,Xyris anisophylla,Xyris anisophylla Welw.,8572121,HOMOTYPIC_SYNONYM,,Welw.,
2692751,Xyris blepharophylla Mart.,Xyris blepharophylla,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris blepharophylla,0,Xyris martiana,Xyris martiana Seub.,2693024,SYNONYM,,Seub.,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 3(1): 216 (1855)"
2692624,Xyris angularis N.E.Br.,Xyris angularis,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris angularis,0,Xyris vanderystii,Xyris vanderystii Malme,2692626,SYNONYM,,Malme,Ark. Bot. 22A(4): 3 (1928)
2692800,Xyris stenophylla L.A.Nilsson,Xyris stenophylla,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris stenophylla,0,Xyris quinquenervis,Xyris quinquenervis Malme,2692801,SYNONYM,,Malme,"Bull. Soc. Bot. Genève, sér. 2, 1: 182 (1909)"
2693071,Xyris spathacea Lanj.,Xyris spathacea,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris spathacea,0,Xyris exserta,Xyris exserta Idrobo & L.B.Sm.,2693072,SYNONYM,,Idrobo & L.B.Sm.,Caldasia 6: 229 (1954)
2693071,Xyris spathacea Lanj.,Xyris spathacea,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris spathacea,0,Xyris yapobodensis,Xyris yapobodensis Idrobo & L.B.Sm.,2693073,SYNONYM,,Idrobo & L.B.Sm.,Caldasia 6: 231 (1954)
2692810,Xyris affinis Welw. ex Rendle,Xyris affinis,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris affinis,0,Xyris affinis,Xyris affinis Welw.,8491202,HOMOTYPIC_SYNONYM,,Welw.,
2693047,Xyris complanata R.Br.,Xyris complanata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris complanata,3,Xyris anceps,Xyris anceps Vahl,7853523,HETEROTYPIC_SYNONYM,,Vahl,Enum. Pl. Obs. 2: 204 (1805)
2693047,Xyris complanata R.Br.,Xyris complanata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris complanata,3,Xyris elongata,Xyris elongata Rudge,2693050,SYNONYM,,Rudge,Trans. Linn. Soc. London 10: 289 (1811)
2693047,Xyris complanata R.Br.,Xyris complanata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris complanata,3,Xyris laevis,Xyris laevis R.Br.,7660523,HETEROTYPIC_SYNONYM,,R.Br.,Prodr. Fl. Nov. Holland.: 256 (1810)
2693047,Xyris complanata R.Br.,Xyris complanata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris complanata,3,Xyris malaccensis,Xyris malaccensis Steud.,2693049,SYNONYM,,Steud.,Syn. Pl. Glumac. 2: 287 (1855)
2693047,Xyris complanata R.Br.,Xyris complanata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris complanata,3,Xyris scabra,Xyris scabra R.Br.,7355406,HETEROTYPIC_SYNONYM,,R.Br.,Prodr. Fl. Nov. Holland.: 256 (1810)
2693047,Xyris complanata R.Br.,Xyris complanata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris complanata,3,Xyris walkeri,Xyris walkeri Wight,8580007,HOMOTYPIC_SYNONYM,,Wight,
2693047,Xyris complanata R.Br.,Xyris complanata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris complanata,3,Xyris walkeri,Xyris walkeri Wight ex Kunth,2693051,SYNONYM,,Wight ex Kunth,Enum. Pl. 4: 19 (1843)
2692942,Xyris fimbriata Elliott,Xyris fimbriata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris fimbriata,0,Jupica albiflora,Jupica albiflora Raf.,2692979,SYNONYM,,Raf.,Autik. Bot.: 190 (1840)
2692942,Xyris fimbriata Elliott,Xyris fimbriata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris fimbriata,0,Xyris albiflora,Xyris albiflora Raf.,2692980,SYNONYM,,Raf.,Autik. Bot.: 190 (1840)
2692942,Xyris fimbriata Elliott,Xyris fimbriata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris fimbriata,0,Xyris spiralis,Xyris spiralis Raf.,7917262,HETEROTYPIC_SYNONYM,,Raf.,Autik. Bot.: 190 (1840)
2693036,Xyris calostachys Paulsen ex Warm.,Xyris calostachys,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris calostachys,0,Xyris calostachys,Xyris calostachys Paulsen,8549682,HOMOTYPIC_SYNONYM,,Paulsen,
2693152,Xyris involucrata Nees,Xyris involucrata,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris involucrata,0,Xyris asterocephala,Xyris asterocephala Seub.,2693153,SYNONYM,,Seub.,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 3(1): 219 (1855)"
2692843,Xyris flabelliformis Chapm.,Xyris flabelliformis,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris flabelliformis,0,Xyris scirpoides,Xyris scirpoides Chapm.,8601175,HOMOTYPIC_SYNONYM,,Chapm.,
2692843,Xyris flabelliformis Chapm.,Xyris flabelliformis,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris flabelliformis,0,Xyris scirpoides,Xyris scirpoides Chapm. ex Ries,2692844,SYNONYM,,Chapm. ex Ries,Bull. Torrey Bot. Club 19: 36 (1892)
2692919,Xyris baldwiniana Schult.,Xyris baldwiniana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris baldwiniana,0,Xuris fistulosa,Xuris fistulosa Raf.,2692922,SYNONYM,,Raf.,Fl. Tellur. 2: 14 (1837)
2692919,Xyris baldwiniana Schult.,Xyris baldwiniana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris baldwiniana,0,Xyris fistulosa,Xyris fistulosa Raf.,2692924,SYNONYM,,Raf.,Autik. Bot.: 190 (1840)
2692919,Xyris baldwiniana Schult.,Xyris baldwiniana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris baldwiniana,0,Xyris juncea,Xyris juncea Baldw.,8292472,SYNONYM,,Baldw.,
2692919,Xyris baldwiniana Schult.,Xyris baldwiniana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris baldwiniana,0,Xyris juncea,Xyris juncea Baldwin ex Elliott,7528423,HETEROTYPIC_SYNONYM,,Baldwin ex Elliott,Sketch Bot. S. Carolina 1: 53 (1816)
2692919,Xyris baldwiniana Schult.,Xyris baldwiniana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris baldwiniana,0,Xyris setacea,Xyris setacea Chapm.,2692923,SYNONYM,,Chapm.,Fl. South. U.S. 2(Suppl.): 658 (1883)
2692919,Xyris baldwiniana Schult.,Xyris baldwiniana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris baldwiniana,0,Xyris stenophylla,Xyris stenophylla Chapm.,8446200,HOMOTYPIC_SYNONYM,,Chapm.,
2692919,Xyris baldwiniana Schult.,Xyris baldwiniana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris baldwiniana,0,Xyris stenophylla,Xyris stenophylla Chapm. ex Ries,7653870,HETEROTYPIC_SYNONYM,,Chapm. ex Ries,Bull. Torrey Bot. Club 19: 42 (1892)
2692919,Xyris baldwiniana Schult.,Xyris baldwiniana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris baldwiniana,0,Xyris tenuifolia,Xyris tenuifolia Chapm.,2692921,SYNONYM,,Chapm.,Fl. South. U.S.: 502 (1860)
2692638,Xyris nivea Welw. ex Rendle,Xyris nivea,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris nivea,0,Xyris nivea,Xyris nivea Welw.,8679645,HOMOTYPIC_SYNONYM,,Welw.,
2692627,Xyris schizachne Mart.,Xyris schizachne,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris schizachne,0,Xyris gracilescens,Xyris gracilescens Malme,2692628,SYNONYM,,Malme,Bih. Kongl. Svenska Vetensk.-Akad. Handl. 24(3): 16 (1898)
2692815,Xyris flexifolia R.Br.,Xyris flexifolia,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris flexifolia,0,Xyris aemula,Xyris aemula Endl.,2692816,SYNONYM,,Endl.,"J.G.C.Lehmann, Pl. Preiss. 2: 54 (1846)"
2693087,Xyris augusto-coburgii Szyszyl. ex Beck,Xyris augusto-coburgii,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris augusto-coburgii,0,Xyris glaziouvii,Xyris glaziouvii L.A.Nilsson,11354153,SYNONYM,,L.A.Nilsson,
2693087,Xyris augusto-coburgii Szyszyl. ex Beck,Xyris augusto-coburgii,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris augusto-coburgii,0,Xyris glaziovii,Xyris glaziovii L.A.Nilsson,2693088,SYNONYM,,L.A.Nilsson,"Kongl. Svenska Vetensk. Acad. Handl., n.s., 24(14): 61 (1892)"
2693096,Xyris paraensis Poepp. ex Kunth,Xyris paraensis,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris paraensis,3,Xyris paraensis,Xyris paraensis Poepp.,8568473,HOMOTYPIC_SYNONYM,,Poepp.,
4008686,Xyris pubescens Poir.,Xyris pubescens,SPECIES,DOUBTFUL,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris pubescens,0,Ramotha pubescens,Ramotha pubescens (Poir.) Raf.,5641932,SYNONYM,,(Poir.) Raf.,Fl. Tellur. 2: 15 (1837)
2692877,Xyris minarum Seub.,Xyris minarum,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris minarum,0,Xyris cristata,Xyris cristata L.A.Nilsson,2692878,SYNONYM,,L.A.Nilsson,"Kongl. Svenska Vetensk. Acad. Handl., n.s., 24(14): 56 (1892)"
2692798,Xyris esmeraldae Steyerm.,Xyris esmeraldae,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris esmeraldae,0,Xyris rugulosa,Xyris rugulosa Maguire & L.B.Sm.,2692799,SYNONYM,,Maguire & L.B.Sm.,Mem. New York Bot. Gard. 10(5): 29 (1964)
2692685,Xyris trachyphylla Mart.,Xyris trachyphylla,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris trachyphylla,0,Xyris asperata,Xyris asperata Kunth,2692690,SYNONYM,,Kunth,Enum. Pl. 4: 6 (1843)
2692685,Xyris trachyphylla Mart.,Xyris trachyphylla,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris trachyphylla,0,Xyris glaucescens,Xyris glaucescens Malme,2692686,SYNONYM,,Malme,Repert. Spec. Nov. Regni Veg. 5: 103 (1908)
2692685,Xyris trachyphylla Mart.,Xyris trachyphylla,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris trachyphylla,0,Xyris montivaga,Xyris montivaga Kunth,2692695,SYNONYM,,Kunth,Enum. Pl. 4: 7 (1843)
2692661,Xyris pilosa Kunth,Xyris pilosa,SPECIES,ACCEPTED,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris pilosa,0,Xyris trichocephala,Xyris trichocephala Paulsen,8626303,HOMOTYPIC_SYNONYM,,Paulsen,
