oldSpeciesCanonicalName,species,key,label
Picus erythrocephalus,Melanerpes erythrocephalus,2478130,1
Picus varius,Sphyrapicus varius,2478605,1
Dryobates affinis,Dryobates pubescens,9149595,0
Picoides lignarius,Veniliornis mixtus,7340156,0
Picumnus fulvescens,Picumnus limae,5228782,1
Hylatomus galeatus,Celeus galeatus,8868834,1
Dryobates cassini,Veniliornis cassini,2478356,1
Hylatomus lineatus,Dryocopus lineatus,5228831,1
Trachyphonus europeus,Melanerpes striatus,2478123,0
Dryobates albolarvatus,Galbula dea,5228256,0
Aulacorhamphus caeruleogularis,Aulacorhynchus caeruleogularis,5229024,1
Picus callonotus,Veniliornis dignus,2478378,0
Picus formicivorus,Melanerpes formicivorus,2478133,1
Dendrocopos pubescens,Dryobates pubescens,9149595,1
Megalaima asiatica,Colaptes auratus,2478259,0
Campethera caroli,Pardipicus caroli,10975405,1
Dendrocopos arizonae,Leuconotopicus arizonae,8721784,1
Bucco nigrifrons,Monasa nigrifrons,2475187,1
Picus martius,Reinwardtipicus validus,2478588,0
Pogonornis dubius,Notharchus macrorhynchos,2475102,0
Picus chrysochloros,Galbula dea,5228256,0
Megalaima faber,Psilopogon faber,7501799,1
Megalaima rubricapillus,Dryocopus schulzii,5228823,0
Cuculus tenebrosus,Dryobates minor,9015784,0
Picus carolinus,Melanerpes carolinus,2478106,1
Bucco collaris,Picus sharpei,9029556,0
Dendropicos pyrrhogaster,Dendrocoptes auriceps,8916767,0
Picoides pubescens,Dryobates pubescens,9149595,1
Megalaima faiostricta,Picumnus dorbignyanus,5228748,0
Picus spilogaster,Melanerpes lewis,2478142,0
Asyndesmus lewisi,Melanerpes lewis,2478142,1
Picoides mixtus,Sphyrapicus varius,2478605,0
Picus campestris,Chelidoptera tenebrosa,5228262,0
Pincus canus,Colaptes auricularis,5789382,0
Chloronerpes dignus,Veniliornis dignus,2478378,1
Dendrocopos kizuki,Psilopogon viridis,7796884,0
Pteroglossus spec,Selenidera nattereri,2478759,1
Pteroglossus sulcatus,Aulacorhynchus sulcatus,5229028,1
Dryocopus major,Dendrocopos major,2477968,1
Sapheopipo noguchii,Psilopogon lineatus,7934047,0
Picus torquatus,Celeus torquatus,5228945,1
Leiopicus auriceps,Dendrocoptes auriceps,8916767,1
Venilornis fumigatus,Leuconotopicus fumigatus,9000455,1
Picoides major,Dendrocopos major,2477968,1
Picus major,Dendrocopos major,2477968,1
Alcedo aurea,Jacamerops aureus,2475080,1
Dendrocopos maculatus,Yungipicus maculatus,8854301,1
Picus undatus,Veniliornis spilogaster,2478382,0
Picumnus micromegas,Nesoctites micromegas,2477839,1
Cuculus ater,Melanerpes superciliaris,2478075,0
Alcedo dea,Chloropicus pyrrhogaster,8841297,0
Dryobates albolarvatus,Leuconotopicus albolarvatus,9128444,1
