oldSpeciesCanonicalName,species,key,label
Celiptera pallidior,Celiptera levina,1792827,1
Phalacra kerara,Gogana kerara,11765486,1
Spilobasis honei,Eupterote mollifera,1868907,0
Odites isosticha,Cyme sexualis,12177010,0
Dysschema funeralis,Macroplectrina apicalis,1752525,0
Tethea duplaris,Soteira altilis,11803531,0
Momopola miltogramma,Argyresthia ivella,1830143,0
Psiloreta obsoleta,Astatochroa sulphurata,1952514,1
Eupterote contaminata,Leucanopsis nebulosa,1809966,0
Oreta loga,Amphitorna olga,11760268,1
Thosea peralbida,Altha peralbida,5105261,1
Eupterote nigricans,Eupterote undata,1868952,1
Euclea interjecta,Euclea delphinii,5105365,1
Parasa atmodes,Eloasa atmodes,10559927,1
Oreta miltodes,Microcolona phanarcha,12204232,0
Wernya fufifasciata,Euclystis angularis,1761693,0
Stenoglene sigyna,Phiala pseudatomaria,5125184,1
Antapistis digestalis,Zauclophora metaphaeella,1838111,0
Psiloreta patiens,Comanula uniformis,9924328,0
Toxoides longipennis,Toxoides undulata,1952672,1
Oreta gonioptera,Aphendala unicolor,11765341,0
Asura coccineoflammeus,Eupterote mollifera,1868907,0
Thosea transversata,Creatonotos gangis,1814913,0
Cymatophora undosa,Ochropacha duplaris,1952532,1
Eupterote lutosa,Eupterote citrina,1868922,1
Phiala curvistriga,Phiala bistrigata,5125189,1
Celiptera variolosa,Celiptera levina,1792827,1
Corycia virgo,Ditrigona micronioides,1952569,0
Iridrepana glaciata,Tridrepana albonotata,1951838,1
Asura bougainvillei,Choerotricha atrosquama,11412164,0
Doratifera hemistaura,Callindra nepos,12203165,0
Dysschema panamensis,Dysschema magdala,5117551,1
Cyligramma intellecta,Cyligramma limacina,1776247,1
Latoia mutifascia,Scieropepla reversella,1837703,0
Apluda syngrapha,Tridrepana lunulata,1951874,0
Palirisa chocolatina,Narosopsis leucospila,1753557,0
Lyclene reticulata,Phiala cunina,5125187,0
Argyresthia inauratella,Argyresthia abdominalis,1830207,1
Susica miltochyta,Comana miltochyta,11918732,1
Thosea duplexa,Hindothosea cervina,11722467,1
Phalacropsis carnosa,Liocrops carnosa,1952201,1
Sangatissa citrinula,Sangatissa subcurvifera,1869008,1
Aganoptila durata,Epipsestis bilineata,1951926,0
Lyclene vagilinea,Circeida mutifascia,11887892,0
Borkhausenia detrimentella,Agnoea colurnella,10523455,0
Eupterote lucia,Eupterote fabia,1868929,1
Euclystis facunda,Telecrates laetiorella,1838084,0
Drepana sadana,Tridrepana sadana,1951850,1
Euclystis polioperas,Argyresthia curvella,1830147,0
Psiloreta rufula,Cyme basitesselata,12174427,0
Eloasa liasarca,Celiptera frustulum,1792831,0
Calonotos aterrima,Calonotos helymus,1811138,1
Chimabacche fagella,Diurnea fagella,8271010,1
Susica fusca,Catoryctis subparallela,1838978,0
Ceratonema fasciatum,Caissa fasciatum,11672069,1
Phalaena lacertula,Falcaria lacertinaria,1952014,1
Diurnea lipsiella,Eupterote undata,1868952,0
Hildala uniformis,Jana strigina,1869288,0
Janomima westwoodi,Alphaea imbuta,10040888,0
Albarracina banghaasi,Albarracina warionis,1819050,1
Ectothyris trifenestrata,Euphalacra trifenestrata,6196759,1
Eupterote pulchra,Eupterote domina,1868968,1
Lyclene diehli,Acantharctia latifusca,1814733,0
Urogonodes inconspicua,Chalcocelis albiguttatus,1752903,0
Asura aureorosea,Cyme miltochristaemorpha,12172840,1
Euclystis epulea,Gonojana dimidiata,9227236,0
Latoia pseudostia,Soteira ostia,11897451,1
Peridrepana derocina,Calonotos triplaga,1811152,0
Pogonias porphyrescens,Trachydora porphyrescens,1843694,1
Sangatissa albipars,Sangatissa subcurvifera,1869008,1
Euclystis sublineata,Trachydora heliotricha,11454895,0
Hemijana distincta,Oreta extensa,1951507,0
Achlya signatipennis,Nordstromia vira,1951795,0
Phalacropsis pseudoluteata,Scopelodes unicolor,1752875,0
Araeogyia phaeopasta,Euphlyctina phaeopasta,1753466,1
Adites maculata,Stenoglene roseus,6114692,0
Poloma angulifera,Poloma angulata,1869043,1
Scirrhoma ethiopica,Hadraphe ethiopica,1752144,1
Epijana lanosa,Epijana cosmia,11877841,1
Lichenaula provisa,Lichenaula phloeochroa,4686888,1
Pseudlepista flavicosta,Agnoea fuscifrontella,10650087,0
Leucanopsis coniata,Alphaea imbuta,10040888,0
Aemene fuscipennis,Cabardites pica,10794987,1
Hibrildes spiritalis,Hibrildes norax,1869138,1
Hibrildes venosa,Agnoea colurnella,10523455,0
Cyrtojana apithana,Cyrtojana trilineata,1869245,1
Aemene fuscipennis,Comana albibasis,1753906,0
Palimpsestis renalis,Thyatira batis,5142870,0
Psiloreta sulphurata,Eupterote domina,1868968,0
Cophomantis pumicata,Cophomantella pumicata,1837697,1
Phyllalia incerta,Eupterote undata,1868952,0
Hibrildes carpenteri,Agnoea langohri,10034457,0
Oreta rotundipex,Susica sinensis,1752373,0
Oglasa afflicta,Sabra harpagula,1952449,0
Bombyx cippus,Euclea cippus,5105393,1
Tadema sinensis,Cyme biagi,12181130,0
Lepidolutzia costistrigata,Drapetodes mitaria,1952685,0
Macrocneme iole,Macrocneme chrysitis,1805197,1
Aemene formosibia,Cabardites limbata,11382064,1
Albarracina autumnalis,Narosoideus flavidorsalis,1753636,0
Thosea luxa,Telecrates melanochrysa,4684680,0
Pachycera catoryctopsis,Gomphoscopa catoryctopsis,1836858,1
Paryphanta personata,Dysschema subapicalis,5117531,0
Melanaema asuroides,Dysschema mariamne,5117422,0
Phyllalia acuta,Cyclidia rectificata,5143078,0
Narosa penicillata,Trachydora fumea,11917263,0
Adiopa marama,Adiopa disgrega,1796488,1
Antiopala moderata,Celiptera levina,1792827,0
Oreta calceolaria,Alphaea imbuta,10040888,0
Phalacropsis semiprotrusa,Liocrops semiprotrusa,1952203,1
Hypercompa similis,Oreta obtusa,1951478,0
Halisidota racema,Ditrigona inconspicua,1952567,0
Plusinia aurea,Spica parallelangula,5142888,1
Parasa repanda,Oglasa lagusalis,1781348,0
Omocena convergens,Tetheella fluctuosa,1951649,0
Spidia fenestriculata,Cyme structa,12180031,0
Drepana dimidiata,Falcaria lacertinaria,1952014,1
Parasa hockingii,Astatochroa fuscimargo,1952510,0
Drepana levis,Zaratha pterodactylella,1853154,0
Eupterote vinosa,Eupterote undata,1868952,1
Eupterote cinnamomea,Comanula uniformis,9924328,0
Narosa takamukui,Cotana kebeae,1869193,0
Phryganopsis nyassana,Agnoea flavifrontella,9768838,0
Miresa nigriplaga,Oreta perfida,1951533,0
Xylodryas cryeranthes,Stenoglene pellucida,6114704,0
Poloma nahor,Thymiatris cephalochra,4684910,0
Narosa baibarana,Sansarea circulifera,11427127,0
Microsetia stephensella,Aergina laeta,11561935,0
Spilosoma mendica,Amphitorna excisa,11917362,0
Psiloreta rufula,Urogonodes patiens,1951763,1
Cryptolechia nivella,Scieropepla reversella,1837703,0
Barsine vivida,Cyme vivida,12256669,1
Cyclura confusata,Amphitorna confusata,11895177,1
Hypercompa similis,Callindra similis,12261900,1
Estigmene sikkimensis,Alphaea imbuta,10040888,1
Thaleridia pruinosa,Ditrigona quinaria,6196460,1
Miresa doriens,Euclea bidiscalis,5105368,1
Parasa symphonistis,Eloasa symphonistis,10030867,1
Adites tibada,Disca arborita,12239968,0
Eupterote lineata,Eupterote hibisci,1868942,1
Thermesia plagifera,Achlya flavicornis,1952229,0
Melanaema asuroides,Cyme asuroides,12235846,1
Hibrildes bicolor,Scieropepla orthosema,4684688,0
Jana grisea,Jana gracilis,1869289,1
Phiala chrysargyra,Phiala nigrolineata,5125162,1
Narosoideus aurisoma,Narosoideus vulpina,5734560,1
Bida crambella,Bida radiosella,4686981,1
Hercyna rufocrinitalis,Janomima dannfelti,1868866,0
Thyatira variabilis,Thyatira batis,5142870,1
Pseudatemelia xanthosoma,Agnoea xanthosoma,11449559,1
Cymatophora obscurata,Ochropacha duplaris,1952532,1
Asura aureorosea,Tetheella fluctuosa,1951649,0
Cophomantis pumicata,Dysschema rosina,5117498,0
Cimatophora duplaris,Ochropacha duplaris,1952532,1
Asura xantherythra,Oreta sublustris,1951499,0
Drepana lacertula,Falcaria lacertinaria,1952014,1
Sugiploca sugitanii,Epipsestis ornata,1951923,1
Oreta semiornata,Eupterote mollifera,1868907,0
Albarracina syriaca,Albarracina warionis,1819050,1
Oreta purpureofasciata,Cyme avernalis,12265390,0
Doliche hilaris,Cophomantella crypsizyga,1837682,0
Onebala crypsizyga,Circeida parapuncta,11452520,0
Oecophora andereggiella,Argyresthia ivella,1830143,1
Phryganopsis nyassana,Icteritilema nyassana,8888027,1
Doratifera nephrochrysa,Chalcocelis albiguttatus,1752903,1
Borkhausenia colurnella,Agnoea colurnella,10523455,1
Albara bicostata,Nordstromia bicostata,1951807,1
Zigera suvarnadivipae,Ctenolita auribasalis,1752230,0
Macrocneme chiriquicola,Kurama galbanus,1952172,0
Parasa liharis,Aergina liharis,11656274,1
Gymnelia odyneroides,Jana gracilis,1869289,0
Tantaliana crepax,Jana tantalus,1869278,1
Syntomactis macrostola,Palaeomystella chalcopeda,1853073,0
Eupterote ignavus,Aergina liharis,11656274,0
Noctua bicolorata,Diurnea lipsiella,4528593,0
Syntomactis fumea,Mimopsestis honei,1951385,0
Celiptera aurinia,Celiptera levina,1792827,1
Amphissa vacillans,Creatonotos transiens,1814928,1
Noctua bicolor,Ochropacha duplaris,1952532,1
Gephyrophora mitis,Eukarschia mitis,1753895,1
Phiala ochritincta,Oreta jaspidea,1951492,0
Apluda incincta,Parapluda incincta,1752325,1
Eudeilinia biseriata,Dasystoma salicella,5880147,0
Cotana turneri,Acantharctia latifusca,1814733,0
Phiala ochrescens,Cyme quadrilineata,12203022,0
Oecophora fissulella,Melinaria campagnei,11532109,0
Cryptolechia afflictella,Lichenaula afflictella,4686879,1
Lepidolutzia dukinfieldia,Heringocena andobo,6122755,0
Peridrepana verticata,Argodrepana verticata,1952487,1
Lithacodes laticlavia,Comana testacea,1753903,0
Ptochoryctis rosaria,Magos xanthopus,1753406,0
Cymatophora clara,Ochropacha duplaris,1952532,1
Hibrildes fuscata,Hibrildes crawshayi,1869147,1
Macrocilix magna,Macrocilix mysticata,1952177,1
Teinorhyncha cerdo,Ctenolita epargyra,1752224,1
Cyligramma consiliatrix,Cyligramma disturbens,1776271,1
Miltochrista unilinea,Adites unilinea,12183571,1
Syntomactis tephronota,Macrocneme chrysitis,1805197,0
Phiala angola,Phiala costipuncta,5125167,1
Psilosceles dichochroa,Callindra similis,12261900,0
Lyclene bizonoides,Adites bizonoides,11600750,1
Oreta castanea,Amphitorna castanea,11724340,1
Nordstromia pallidina,Hibrildes norax,1869138,0
Spilosoma circumpunctata,Adites mindanensis,12188425,0
Stenoglene gregorii,Palirisa mosoensis,1869063,0
Psiloreta pavaca,Tridrepana albonotata,1951838,0
Eupsodosoma bifasciata,Neidalia bifasciata,9851033,1
Asura isabellina,Cyme avernalis,12265390,1
Asura quadrifasciata,Gogana bornormalis,5142891,0
Lichenaula monosema,Liparistis monosema,4685563,1
Bleptina grimsgaardi,Eupterote undata,1868952,0
Colonophora logistica,Nanodacna logistica,1853145,1
Phiala inferiora,Phiala costipuncta,5125167,1
Bombycia griseor,Cyme metascota,12263819,0
Miltochrista phaeoxantha,Barsaurea phaeoxanthia,10711189,1
Oreta rufibrunnea,Phiala costipuncta,5125167,0
Stenoglene evanescens,Ochropacha duplaris,1952532,0
Apluda schaliphlebia,Amphitorna submontana,10465764,0
Thosea recta,Liocrops semiprotrusa,1952203,0
Parasa symphonistis,Soteira vadimi,11556502,0
Parasa altilis,Soteira altilis,11803531,1
Teldenia inconspicua,Ditrigona inconspicua,1952567,1
Borkhausenia pulverisquamis,Agnoea lavandulae,10404747,1
Lethocephala eremospila,Eloasa calida,10070729,1
Eupterote petosiris,Achlya flavicornis,1952229,0
Nordstromia amabilis,Cophomantella homogramma,1837696,0
Urogonodes perrufa,Urogonodes colorata,1951766,1
Xylorycta stercorata,Cabardites limbata,11382064,0
Bombyx lacertula,Falcaria lacertinaria,1952014,1
Eupterote dissimilis,Argyresthia ivella,1830143,0
Dysschema sylvia,Metathrinca rosaria,1833416,0
Lichenaula inscripta,Plectophila discalis,1839604,1
Celiptera magnifica,Celiptera remigioides,1792834,1
Asura crocota,Eupterote mollifera,1868907,0
Limacodes quercicola,Euclea delphinii,5105365,1
Euagra auxo,Antapistis leucospila,1784884,0
Xylorycta pentachroa,Brachybelistis pentachroa,4686552,1
Agriophara encryphias,Aergina paeera,11505266,0
Palirisa chocolatina,Palirisa mosoensis,1869063,1
Thosea interrupta,Avatara interrupta,11622353,1
Lichenaula lichenaea,Lichenaula lichenea,4686910,1
Oreta adona,Oreta extensa,1951507,1
Euclea bifida,Plectophila discalis,1839604,0
Miresa fuscicostalis,Heterochyta aprepta,4684831,0
Auzatella pentesticha,Nemacerota alternata,1952139,0
Toelgyfaloca circumdata,Stephensia cedronellae,8816100,0
Xylorycta thiophanes,Plectophila thiophanes,4685361,1
Euchera cunicaria,Mursa phtisialis,1789820,0
Drepana lacertinaria,Falcaria lacertinaria,1952014,1
