oldSpeciesCanonicalName,species,key,label
Pyrus stankovii,Poikilospermum scabrinervium,4013152,0
Rhamnus terminalis,Sageretia filiformis,3876704,1
Paliurus inermis,Colubrina elliptica,5372458,1
Memorialis mysorensis,Gonostegia triandra,4100795,1
Pourthiaea oldhamii,Pourthiaea villosa,8356787,1
Rubus horsfieldii,Rubus niveus,2989183,1
Laportea torricellensis,Dendrocnide torricellensis,4098431,1
Pyrus lonetalensis,Ficus holosericea,5570480,0
Ficus papyrifera,Sorbaronia arsenii,2987867,0
Forsskaolea eenii,Forsskaolea viridis,8040520,1
Discaria spiculata,Scepocarpus mannii,4100631,0
Ficus todayensis,Berchemia floribunda,3876453,0
Urtica bracteata,Urtica magellanica,7300920,1
Celtis hottlei,Frangula macrocarpa,3877777,0
Pyrus parkmannii,Retanilla ephedra,7273774,0
Elatostema oshimense,Ochetophila trinervis,3877218,0
Photinia pustulata,Ulmus mexicana,5680327,0
Ficus caudatifolia,Maclura tinctoria,2984583,0
Duretia palustris,Boehmeria cylindrica,2984345,1
Phylica stipularis,Scutia arenicola,3875710,0
Vanieria pubescens,Maclura cochinchinensis,7262552,1
Ziziphus abyssinica,Ziziphus abyssinica,3877223,1
Pilea stipulata,Pilea rivularis,7300820,1
Cerasus sachalinensis,Prunus sargentii,3020955,1
Cydonia cydonia,Pouzolzia zeylanica,2984383,0
Pourthiaea tomentosa,Scepocarpus sansibaricus,11828971,0
Stranvaesia benthamiana,Celtis iguanaea,2984498,0
Pouzolzia andongensis,Pouzolzia denudata,4100669,1
Cerasus pseudocerasus,Pilea corymbosa,5670687,0
Photinia glabra,Paratrophis anthropophagorum,12239769,0
Acaena laevigata,Acaena magellanica,5370832,1
Sorbus melanocarpa,Aronia melanocarpa,5363627,1
Tetraglochin buxifolium,Margyricarpus alatus,3030140,1
Bosquiea phoberos,Reissekia smilacina,8188318,0
Boehmeria tibetica,Boehmeria polystachya,4101696,1
Crataegus pratensis,Crataegus punctata,3014805,1
Photinia elliptica,Rhaphiolepis elliptica,10758611,1
Procris paniculata,Dendrocnide densiflora,4098926,0
Potentilla nilgerrensis,Fragaria nilgerrensis,3029934,1
