key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
5669645,Urtica africana L. ex B.D.Jacks.,Urtica africana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica africana,0,Urtica africana,Urtica africana L.,8653131,HOMOTYPIC_SYNONYM,,L.,
7384087,Urtica arborescens Poir. ex Wedd.,Urtica arborescens,SPECIES,DOUBTFUL,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica arborescens,0,Urtica arborescens,Urtica arborescens Poir.,8632626,HOMOTYPIC_SYNONYM,,Poir.,
5671305,Urtica ardens Link,Urtica ardens,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica ardens,0,Laportea ardens,Laportea ardens (Link) Blume,8505877,HOMOTYPIC_SYNONYM,,(Link) Blume,
5671305,Urtica ardens Link,Urtica ardens,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica ardens,0,Laportea ardens,Laportea ardens (Link) Blume ex J.J.Sm.,4100015,SYNONYM,,(Link) Blume ex J.J.Sm.,Blume. (1910). In: Meded. Dept. Landb. Ned.-Indië 10: 684.
5671305,Urtica ardens Link,Urtica ardens,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica ardens,0,Urtica himalayensis,Urtica himalayensis Kunth & C.D.Bouché,5669972,SYNONYM,,Kunth & C.D.Bouché,"Kunth, & Bouché, C. D. (1847). In: Ann. Sci. Nat., Bot., Ser. 3, 7: 182."
5671305,Urtica ardens Link,Urtica ardens,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica ardens,0,Urtica virulenta,Urtica virulenta Wall.,5669633,SYNONYM,,Wall.,"Wall. (1831). In: Numer. List No. 4586, Nomen."
5671305,Urtica ardens Link,Urtica ardens,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica ardens,0,Urtica zayuensis,Urtica zayuensis C.J.Chen,5671431,SYNONYM,,C.J.Chen,"Chen, C. J. (1983). In: Bull. Bot. Res., Harbin 3(2): 123-124."
5671245,Urtica atrovirens Req. ex Loisel.,Urtica atrovirens,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica atrovirens,0,Urtica atrovirens,Urtica atrovirens Req.,8698551,HOMOTYPIC_SYNONYM,,Req.,
5671245,Urtica atrovirens Req. ex Loisel.,Urtica atrovirens,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica atrovirens,0,Urtica grandidentata,Urtica grandidentata Moris,7742914,HETEROTYPIC_SYNONYM,,Moris,Moris. (1827). In: Stirp. Sard. Elench. Fasc 2: 9.
5671222,Urtica australis Hook.fil.,Urtica australis,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica australis,0,Urtica aucklandica,Urtica aucklandica Hook.fil.,5671233,SYNONYM,,Hook.fil.,Hook. fil. (1844). In: Fl. Antarct. 68.
