species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.9516,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.9848,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.9543,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Meloe rugosus,Meloe rugulosus,0.9877,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.941,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Ceracis curtus,Ceracis obesus,0.9606,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Cis tristis,Cis falli,0.9551,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.9751,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Ceracis curtus,Ropalodontus strandi,0.9586,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Ceracis californicus,Cis minutissimus,0.9514,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.9702,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Trogoderma grassmani,Xestocis singularis,0.9575,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.9466,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Ceracis californicus,Ennearthron affine,0.9202,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.9208,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Meloe rugosus,Ceracis laminifrons,0.9484,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.9791,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.9781,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.9333,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Cis ephippiatus,Ennearthron militaris,0.9152,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Palaestra guerini,Telephorus guerinii,0.9812,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.9873,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.9484,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Cis castaneus,Cis alter,0.9213,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Cis festivus,Attagenus megatoma,0.9268,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.996,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.9407,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Hadraule elongatula,Hadraule coarctata,0.9749,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.9721,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Ceracis cornifer,Ennearthron piceus,0.8979,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Eurymeloe murinus,Meloe murinus,0.9794,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.9572,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.9574,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.9349,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.8836,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Attagenus australis,Attagenus elongatus,0.9849,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Ceracis curtus,Cis obesus,0.9536,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Zonitis chrysomeloides,Strigocis davisi,0.966,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Cybocephalus politissimus,Anthribus minimus,0.9369,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Orphinus fulvipes,Ennearthron pallidus,0.8627,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Strigocis bilimeki,Cis bilimeka,0.9702,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Octotemnus laevis,Trachypachus holmbergi,0.9372,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Hycleus phaleratus,Mylabris phalerata,0.9738,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Ceracis californicus,Ennearthron oregonus,0.9578,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Cis striatulus,Cis levellei,0.906,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Ennearthron cornutum,Ennearthron concinnum,0.983,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Meloe brevicollis,Meloe laticollis,0.9779,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Baissophytum amplus,Baissopsis amplus,0.9838,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Tophoderes depontanus,Ropalodontus baudueri,0.9772,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Meloe brevicollis,Shiva taiwanus,0.9563,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Attagenus undulatus,Aethriostoma undulata,0.9655,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Cis castlei,Ceracis simplicicornis,0.9523,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Orthocis linearis,Tiresias serra,0.9655,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Attagenus fasciatus,Dissia membranaceus,0.9227,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Mycterus curculioides,Hadraule striatulus,0.9608,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Ceracis nigricans,Brachycis brevicollis,0.9615,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Dolichocis laricinus,Xylographus rufescens,0.9333,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Cantharis lithophilus,Mycterus curculionides,0.9474,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Heterocerus fenestratus,Xestocis moznettei,0.9431,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Pastillodes areolatus,Meloe ganglbaueri,0.9651,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Hadraule elongatula,Dolichocera tessellatus,0.9426,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Ceracis sallei,Ennearthron sallei,0.9517,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Attagenus fasciatus,Ceracis convergens,0.9598,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Orthocis coluber,Orthocis latifrons,0.9765,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Meloe brevicollis,Meloe puncticollis,0.9861,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Palaestra guerini,Zonitis guerini,0.9801,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Hadraule elongatula,Hadraule striata,0.9709,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Orthocis linearis,Orthocis perrisi,0.9831,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Cantharis lithophilus,Lytta lithophila,0.9621,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Hadraule elongatula,Dzeregia juxta,0.9463,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Sulcacis curtulus,Sulcacis sorror,0.9786,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Cis striatulus,Cerocoma viridis,0.9417,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Meloe brevicollis,Meloe cephalotes,0.9715,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Ceracis californicus,Ennearthron concinnum,0.9477,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Hycleus phaleratus,Meloe phalerata,0.9652,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Ceracis thoracicornis,Ceracis laminifrons,0.9832,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Ceracis monocerus,Ceracis unicornis,0.9789,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Eurymeloe ganglbaueri,Meloe ganglbaueri,0.9798,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Dolichocera tessellata,Xylographus lemoulti,0.9414,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
