species,oldSpeciesCanonicalName,similarity,prediction
Archaeophylax worthyi,Waitomophylax worthyi,0.4764,not synonym
Mycterus curculioides,Mycterus curculionides,0.9069,synonym
Mycterus curculioides,Mycterus curculionoides,0.9446,synonym
Mycterus quadricollis,Mycterus depressus,0.6188,not synonym
Megatoma atypica,Cretomegatoma atypica,0.7072,synonym
Trogoderma glabrum,Anthrenus niger,0.3807,not synonym
Trogoderma glabrum,Trogoderma fuscicornis,0.8183,synonym
Trogoderma glabrum,Trogoderma niger,0.779,synonym
Trogoderma glabrum,Trogoderma nigrum,0.8564,synonym
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym
Trogoderma megatomoides,Entomotrogus megatomoides,0.666,not synonym
Ctesias serra,Tiresias serra,0.5443,not synonym
Sefrania bleusei,Fohrer bleusei,0.5268,not synonym
Phradonoma tricolor,Trogoderma tricolor,0.7497,synonym
Labrocerus concolor,Labrocerus simplex,0.5049,not synonym
Labrocerus depressus,Eocerus depressus,0.6252,not synonym
Labrocerus setosus,Labrocerus affinis,0.7628,synonym
Labrocerus setosus,Labrocerus pallipes,0.7279,synonym
Labrocerus similaris,Argocerus similaris,0.8197,synonym
Labrocerus similaris,Argocerus subguttatus,0.4434,not synonym
Labrocerus vestitus,Labrocerus flavicornis,0.7712,synonym
Attagenus australis,Trinodes australis,0.7859,synonym
Attagenus brunneus,Attagenus elongatulus,0.7,not synonym
Attagenus brunneus,Attagenus elongatus,0.7203,synonym
Attagenus brunneus,Attagenus marginicollis,0.7449,synonym
Attagenus fasciatus,Attagenus anulifer,0.6996,not synonym
Attagenus fasciatus,Attagenus gloriosae,0.7374,synonym
Attagenus fasciatus,Attagenus gloriosus,0.7477,synonym
Attagenus quadrimaculatus,Attagenus 4-maculatus,0.5752,not synonym
Attagenus trifasciatus,Attagenus 3-fasciatus,0.5439,not synonym
Attagenus undulatus,Aethriostoma undulata,0.7729,synonym
Attagenus unicolor,Attagenus megatoma,0.5223,not synonym
Attagenus unicolor,Attagenus piceus,0.5104,not synonym
Thaumaglossa anthrenoides,Pseudothaumaglossa anthrenoides,0.8987,synonym
Orphinus fulvipes,Cryptorhopalum brevicorne,0.4588,not synonym
Orphinus fulvipes,Orphinus brevicorne,0.7929,synonym
Orphinus fulvipes,Orphinus brevicornis,0.7902,synonym
Orphinus fulvipes,Trogoderma fulvipes,0.6034,not synonym
Thorictodes heydeni,Thaumaphrastus heydeni,0.7769,synonym
Thorictodes heydeni,Thorictodes karanisensis,0.8068,synonym
Megatoma alpina,Globicornis alpina,0.7772,synonym
Heterocerus crinitus,Augyles crinitus,0.6187,not synonym
Heterocerus fenestratus,Heterocerus pulchellus,0.7862,synonym
Heterocerus flindersi,Heterocerus caledoniae,0.5457,not synonym
Heterocerus maritimus,Augyles britannicus,0.4826,not synonym
Heterocerus maritimus,Heterocerus basalis,0.5878,not synonym
Heterocerus maritimus,Heterocerus britannicus,0.6038,not synonym
Heterocerus maritimus,Heterocerus burchanensis,0.6027,not synonym
Augyles aureolus,Heterocerus aureolus,0.8033,synonym
Pastillodes areolatus,Cybocephalus areolatus,0.4105,not synonym
Cybocephalus binotatus,Cybocephalus aeneonittens,0.606,not synonym
Cybocephalus membranaceus,Dissia membranaceus,0.6272,not synonym
Cybocephalus politissimus,Cybocephalus flavicapitus,0.725,synonym
Cybocephalus politissimus,Cybocephalus flavocapitis,0.7625,synonym
Cybocephalus amplus,Dissia ampla,0.444,not synonym
Cybocephalus sublucidus,Brachypterus sublucidus,0.7503,synonym
Pacicephalus gressitti,Cybocephalus gressitti,0.7989,synonym
Amedissia argentinus,Pycnocephalus argentinus,0.7301,synonym
Theticephalus aurocupreus,Cybocephalus aurocupreus,0.8882,synonym
Theticephalus decamerus,Cybocephalus decamerus,0.7815,synonym
Theticephalus mesopotamicus,Cybocephalus mesopatamicus,0.7307,synonym
Theticephalus mesopotamicus,Cybocephalus mesopotamicus,0.7307,synonym
Theticephalus mesopotamicus,Theticephalus mesopatamicus,0.7924,synonym
Theticephalus nigriceps,Dissia nigriceps,0.7774,synonym
Theticephalus salsus,Cybocephalus salsus,0.7922,synonym
Cycloderma deplanatum,Critoderma deplanatum,0.9164,synonym
Micromalthus debilis,Micromalthus anansi,0.734,synonym
Eurymeloe baudueri,Meloe baudueri,0.8443,synonym
Eurymeloe ganglbaueri,Meloe ganglbaueri,0.8401,synonym
Eurymeloe mediterraneus,Meloe mediterraneus,0.8741,synonym
Eurymeloe murinus,Meloe murinus,0.9154,synonym
Eurymeloe scabriusculus,Meloe scabriusculus,0.8629,synonym
Palaestra guerini,Telephorus guerinii,0.4541,not synonym
Palaestra guerini,Zonitis guerini,0.4316,not synonym
Hycleus polymorphus,Mylabris polymorpha,0.6754,not synonym
Hycleus phaleratus,Meloe phalerata,0.5811,not synonym
Hycleus phaleratus,Mylabris phalerata,0.6931,not synonym
Hycleus brevetarsalis,Mylabris brevetarsalis,0.7822,synonym
Cantharis lithophilus,Lytta lithophila,0.7155,synonym
Zonitis chrysomeloides,Cantharis chrysomeloides,0.5097,not synonym
Zonitis melanoptera,Zonitis nigripennis,0.6324,not synonym
Cerocoma schaefferi,Cerocoma viridis,0.8656,synonym
Meloe brevicollis,Meloe cephalotes,0.7047,synonym
Meloe brevicollis,Meloe laticollis,0.7509,synonym
Meloe brevicollis,Meloe puncticollis,0.7375,synonym
Meloe brevicollis,Meloe splendens,0.6721,not synonym
Meloe cicatricosus,Meloe cicatricosus,1.0,synonym
Meloe cicatricosus,Meloe punctatoradiatus,0.7272,synonym
Meloe rugosus,Meloe autumnalis,0.6221,not synonym
Meloe rugosus,Meloe punctatus,0.7915,synonym
Meloe rugosus,Meloe rugulosus,0.9657,synonym
Strongylites stygius,Strongulites stygicus,0.89,synonym
Trachypachus gibbsii,Trachypachus alticola,0.6762,not synonym
Trachypachus gibbsii,Trachypachus californicus,0.6405,not synonym
Trachypachus inermis,Trachypachus holmbergi,0.695,not synonym
