species,oldSpeciesCanonicalName,similarity,prediction
Xylorycta castanea,Lichenaula castanea,0.9788,synonym
Xylorycta luteotactella,Cryptolechia cognatella,0.9619,synonym
Xylorycta luteotactella,Cryptolechia luteotactella,0.986,synonym
Xylorycta nivella,Cryptolechia nivella,0.9764,synonym
Xylorycta stereodesma,Xylorycta prospicua,0.9757,synonym
Xylorycta polysticha,Lichenaula polysticha,0.9912,synonym
Xylorycta heliomacula,Telecrates heliomacula,0.9518,synonym
Xylorycta assimilis,Xylorycta terenopis,0.9822,synonym
Xylorycta haplochroa,Lichenaula haplochroa,0.9823,synonym
Xylorycta haplochroa,Lichenaula umbrosa,0.9693,synonym
Xylorycta cygnella,Cryptolechia cygnella,0.975,synonym
Xylorycta calligramma,Telecrates calligramma,0.9285,synonym
Xylorycta streptogramma,Telecrates streptogramma,0.9369,synonym
Xylorycta ovata,Antaeotricha ovata,0.9843,synonym
Xylorycta candescens,Lichenaula dissimilis,0.9715,synonym
Xylorycta strigata,Cryptophasa strigata,0.9792,synonym
Xylorycta apheles,Neodrepta apheles,0.9649,synonym
Xylorycta apheles,Xylorycta lychnobii,0.974,synonym
Xylorycta argentella,Cryptolechia argentella,0.974,synonym
Synchalara rhombota,Agriophara rhombota,0.9786,synonym
Paralecta tinctoria,Xylorycta tinctoria,0.9745,synonym
Sphalerostola epierana,Exapateter epierana,0.9777,synonym
Metathrinca ancistrias,Ptochoryctis ancistrias,0.9843,synonym
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.9903,synonym
Metathrinca illuvialis,Ptochoryctis illuvialis,0.9763,synonym
Metathrinca intacta,Ptochoryctis intacta,0.9591,synonym
Metathrinca loranthivora,Ptochoryctis loranthivora,0.9838,synonym
Metathrinca parabola,Ptochoryctis parabola,0.9788,synonym
Metathrinca rosaria,Ptochoryctis rosaria,0.9651,synonym
Metathrinca tsugensis,Ptochoryctis tsugensis,0.9716,synonym
Liparistis monosema,Lichenaula monosema,0.956,synonym
Athrypsiastis candidella,Topiris candidella,0.9806,synonym
Bida radiosella,Bida crambella,0.9886,synonym
Bida radiosella,Psecadia radiosella,0.9774,synonym
Perixestis rhizophaga,Xylorycta rhizophaga,0.9834,synonym
Phthonerodes scotarcha,Psilosceles dichochroa,0.9683,synonym
Iulactis insignis,Dectobathra insignis,0.9697,synonym
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.9935,synonym
Neospastis encryphias,Agriophara encryphias,0.9815,synonym
Neospastis ichnaea,Stenoma ichnaea,0.9832,synonym
Philarista porphyrinella,Brunia intersecta,0.946,synonym
Philarista porphyrinella,Cryptolechia porphyrinella,0.9755,synonym
Cyanocrates grandis,Cyanocrates signata,0.9334,synonym
Cyanocrates grandis,Ommatothelxis grandis,0.9408,synonym
Lichenaula afflictella,Cryptolechia afflictella,0.9674,synonym
Lichenaula lichenea,Lichenaula lichenaea,0.9947,synonym
Lichenaula cryptoleuca,Phthonerodes cryptoleuca,0.9753,synonym
Lichenaula laniata,Lichenaula sternoides,0.9892,synonym
Lichenaula comparella,Lichenaula callisema,0.9884,synonym
Lichenaula comparella,Oecophora comparella,0.9763,synonym
Lichenaula anthracopsara,Phthonerodes anthracopsara,0.9742,synonym
Lichenaula phloeochroa,Lichenaula provisa,0.9808,synonym
Lichenaula maculosa,Polynesa maculosa,0.9556,synonym
Heterochyta aprepta,Heterochyta abrepta,0.9971,synonym
Heterochyta aprepta,Macrobela aprepta,0.9887,synonym
Heterochyta infesta,Heterobathra infesta,0.9896,synonym
Catoryctis leucomerata,Phthonerodes leucomerata,0.9805,synonym
Catoryctis sciastis,Xylorycta sciastis,0.9795,synonym
Catoryctis subnexella,Oecophora subnexella,0.988,synonym
Catoryctis subparallela,Oecophora fissulella,0.953,synonym
Catoryctis subparallela,Oecophora nexella,0.9452,synonym
Catoryctis subparallela,Oecophora subparallela,0.9838,synonym
Brachybelistis blackburnii,Cryptophaga blackburnii,0.9779,synonym
Brachybelistis pentachroa,Xylorycta pentachroa,0.9843,synonym
Telecrates desmochrysa,Telecrates nigricansella,0.9686,synonym
Telecrates laetiorella,Oecophora laetiorella,0.9307,synonym
Telecrates melanochrysa,Xylorycta melanochrysa,0.9551,synonym
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.9849,synonym
Thymiatris allocrossa,Lichenaula allocrossa,0.9739,synonym
Thymiatris cephalochra,Xylorycta cephalochra,0.9661,synonym
Leptobelistis isthmodes,Oegoconia isthmodes,0.985,synonym
Plectophila acrochroa,Xylorycta acrochroa,0.9783,synonym
Plectophila discalis,Acontia discalis,0.9458,synonym
Plectophila discalis,Lichenaula inscripta,0.9537,synonym
Plectophila discalis,Lichenaula ombralota,0.9479,synonym
Plectophila discalis,Lichenaula oxygona,0.9609,synonym
Plectophila electella,Oecophora electella,0.9565,synonym
Plectophila eucrines,Lichenaula eucrines,0.9667,synonym
Plectophila micradelpha,Lichenaula micradelpha,0.9792,synonym
Plectophila pyrgodes,Plectophila ascripta,0.984,synonym
Plectophila thiophanes,Xylorycta thiophanes,0.9786,synonym
Potniarcha hierastis,Cryptophaga hierastis,0.9734,synonym
Zaphanaula hemileuca,Antiopala moderata,0.9512,synonym
Zaphanaula hemileuca,Oecophora hemileuca,0.99,synonym
Zaphanaula hemileuca,Peltophora leucoplaca,0.9664,synonym
Zaphanaula hemileuca,Zaphanaula diffusa,0.9768,synonym
Zaphanaula hemileuca,Zaphanaula xenophila,0.9655,synonym
Cophomantella aphanozona,Cophomantis aphanozona,0.9933,synonym
Cophomantella artonoma,Cophomantis artonoma,0.9869,synonym
Cophomantella bifrenata,Onebala bifrenata,0.9664,synonym
Cophomantella bythota,Onebala bythota,0.9664,synonym
Cophomantella crypsizyga,Onebala crypsizyga,0.9782,synonym
Cophomantella cubiculata,Onebala cubiculata,0.9744,synonym
Cophomantella cyclopodes,Onebala cyclopodes,0.9753,synonym
Cophomantella elaphopis,Onebala elaphopis,0.9733,synonym
Cophomantella ephanozona,Cophomantis ephanozona,0.9846,synonym
Cophomantella eremota,Onebala eremota,0.971,synonym
Cophomantella furnaria,Lecithocera furnaria,0.9763,synonym
Cophomantella homogramma,Onebala homogramma,0.9697,synonym
Cophomantella lychnocentra,Styloceros lychnocentra,0.9739,synonym
Cophomantella myadelpha,Onebala myadelpha,0.9789,synonym
Cophomantella osphrantica,Cophomantis osphrantica,0.9755,synonym
Cophomantella pumicata,Cophomantis pumicata,0.9759,synonym
Cophomantella syngonarcha,Cophomantis syngonarcha,0.9841,synonym
Hylypnes isosticha,Odites isosticha,0.9672,synonym
Hylypnes leptosticta,Cryptolechia leptosticta,0.9678,synonym
Hylypnes pudica,Odites pudica,0.944,synonym
Eupetochira xystopala,Nephantis xystopala,0.9593,synonym
Xylomimetes trachyptera,Pilostibes trachyptera,0.9813,synonym
Arignota stercorata,Xylorycta stercorata,0.9689,synonym
Zauclophora metaphaeella,Safra metaphaeella,0.9763,synonym
Zauclophora muscerdella,Cryptolechia muscerdella,0.9863,synonym
Zauclophora pelodes,Xylorycta cirrhodes,0.9794,synonym
Zauclophora procellosa,Clerarcha procellosa,0.9857,synonym
Scieropepla orthosema,Procometis orthosema,0.9637,synonym
Scieropepla reversella,Cryptolechia abrosella,0.9437,synonym
Scieropepla reversella,Cryptolechia reversella,0.961,synonym
