species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.9202,synonym,almanach/ModernBERT-bio-large,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.9647,synonym,almanach/ModernBERT-bio-large,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.9119,synonym,almanach/ModernBERT-bio-large,0.7,0
Meloe rugosus,Meloe rugulosus,0.9805,synonym,almanach/ModernBERT-bio-large,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.9193,synonym,almanach/ModernBERT-bio-large,0.7,0
Ceracis curtus,Ceracis obesus,0.9776,synonym,almanach/ModernBERT-bio-large,0.7,1
Cis tristis,Cis falli,0.9414,synonym,almanach/ModernBERT-bio-large,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.9545,synonym,almanach/ModernBERT-bio-large,0.7,1
Ceracis curtus,Ropalodontus strandi,0.9229,synonym,almanach/ModernBERT-bio-large,0.7,0
Ceracis californicus,Cis minutissimus,0.8698,synonym,almanach/ModernBERT-bio-large,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.9733,synonym,almanach/ModernBERT-bio-large,0.7,1
Trogoderma grassmani,Xestocis singularis,0.9072,synonym,almanach/ModernBERT-bio-large,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.9424,synonym,almanach/ModernBERT-bio-large,0.7,0
Ceracis californicus,Ennearthron affine,0.9134,synonym,almanach/ModernBERT-bio-large,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.9384,synonym,almanach/ModernBERT-bio-large,0.7,0
Meloe rugosus,Ceracis laminifrons,0.9109,synonym,almanach/ModernBERT-bio-large,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.9617,synonym,almanach/ModernBERT-bio-large,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.9635,synonym,almanach/ModernBERT-bio-large,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.916,synonym,almanach/ModernBERT-bio-large,0.7,0
Cis ephippiatus,Ennearthron militaris,0.9063,synonym,almanach/ModernBERT-bio-large,0.7,0
Palaestra guerini,Telephorus guerinii,0.9556,synonym,almanach/ModernBERT-bio-large,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.9693,synonym,almanach/ModernBERT-bio-large,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.8969,synonym,almanach/ModernBERT-bio-large,0.7,0
Cis castaneus,Cis alter,0.8216,synonym,almanach/ModernBERT-bio-large,0.7,1
Cis festivus,Attagenus megatoma,0.8733,synonym,almanach/ModernBERT-bio-large,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9924,synonym,almanach/ModernBERT-bio-large,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.9216,synonym,almanach/ModernBERT-bio-large,0.7,0
Hadraule elongatula,Hadraule coarctata,0.9648,synonym,almanach/ModernBERT-bio-large,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.9577,synonym,almanach/ModernBERT-bio-large,0.7,1
Ceracis cornifer,Ennearthron piceus,0.9363,synonym,almanach/ModernBERT-bio-large,0.7,0
Eurymeloe murinus,Meloe murinus,0.9248,synonym,almanach/ModernBERT-bio-large,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.9223,synonym,almanach/ModernBERT-bio-large,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.9715,synonym,almanach/ModernBERT-bio-large,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.9439,synonym,almanach/ModernBERT-bio-large,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.9243,synonym,almanach/ModernBERT-bio-large,0.7,0
Attagenus australis,Attagenus elongatus,0.9617,synonym,almanach/ModernBERT-bio-large,0.7,0
Ceracis curtus,Cis obesus,0.8058,synonym,almanach/ModernBERT-bio-large,0.7,1
Zonitis chrysomeloides,Strigocis davisi,0.937,synonym,almanach/ModernBERT-bio-large,0.7,0
Cybocephalus politissimus,Anthribus minimus,0.9451,synonym,almanach/ModernBERT-bio-large,0.7,0
Orphinus fulvipes,Ennearthron pallidus,0.9337,synonym,almanach/ModernBERT-bio-large,0.7,0
Strigocis bilimeki,Cis bilimeka,0.8618,synonym,almanach/ModernBERT-bio-large,0.7,1
Octotemnus laevis,Trachypachus holmbergi,0.9267,synonym,almanach/ModernBERT-bio-large,0.7,0
