species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.882,synonym,answerdotai/ModernBERT-large,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.8389,synonym,answerdotai/ModernBERT-large,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.8431,synonym,answerdotai/ModernBERT-large,0.7,0
Meloe rugosus,Meloe rugulosus,0.9479,synonym,answerdotai/ModernBERT-large,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.8461,synonym,answerdotai/ModernBERT-large,0.7,0
Ceracis curtus,Ceracis obesus,0.962,synonym,answerdotai/ModernBERT-large,0.7,1
Cis tristis,Cis falli,0.9179,synonym,answerdotai/ModernBERT-large,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.929,synonym,answerdotai/ModernBERT-large,0.7,1
Ceracis curtus,Ropalodontus strandi,0.8192,synonym,answerdotai/ModernBERT-large,0.7,0
Ceracis californicus,Cis minutissimus,0.7556,synonym,answerdotai/ModernBERT-large,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.9476,synonym,answerdotai/ModernBERT-large,0.7,1
Trogoderma grassmani,Xestocis singularis,0.821,synonym,answerdotai/ModernBERT-large,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.7439,synonym,answerdotai/ModernBERT-large,0.7,0
Ceracis californicus,Ennearthron affine,0.7638,synonym,answerdotai/ModernBERT-large,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.761,synonym,answerdotai/ModernBERT-large,0.7,0
Meloe rugosus,Ceracis laminifrons,0.9019,synonym,answerdotai/ModernBERT-large,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.936,synonym,answerdotai/ModernBERT-large,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.9391,synonym,answerdotai/ModernBERT-large,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.8002,synonym,answerdotai/ModernBERT-large,0.7,0
Cis ephippiatus,Ennearthron militaris,0.786,synonym,answerdotai/ModernBERT-large,0.7,0
Palaestra guerini,Telephorus guerinii,0.9323,synonym,answerdotai/ModernBERT-large,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.9035,synonym,answerdotai/ModernBERT-large,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.9175,synonym,answerdotai/ModernBERT-large,0.7,0
Cis castaneus,Cis alter,0.9276,synonym,answerdotai/ModernBERT-large,0.7,1
Cis festivus,Attagenus megatoma,0.8249,synonym,answerdotai/ModernBERT-large,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9333,synonym,answerdotai/ModernBERT-large,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.8096,synonym,answerdotai/ModernBERT-large,0.7,0
Hadraule elongatula,Hadraule coarctata,0.8577,synonym,answerdotai/ModernBERT-large,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.944,synonym,answerdotai/ModernBERT-large,0.7,1
Ceracis cornifer,Ennearthron piceus,0.7208,synonym,answerdotai/ModernBERT-large,0.7,0
Eurymeloe murinus,Meloe murinus,0.9477,synonym,answerdotai/ModernBERT-large,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.9134,synonym,answerdotai/ModernBERT-large,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.9368,synonym,answerdotai/ModernBERT-large,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.7835,synonym,answerdotai/ModernBERT-large,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.8568,synonym,answerdotai/ModernBERT-large,0.7,0
Attagenus australis,Attagenus elongatus,0.9271,synonym,answerdotai/ModernBERT-large,0.7,0
Ceracis curtus,Cis obesus,0.8892,synonym,answerdotai/ModernBERT-large,0.7,1
