species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.4171,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.7275,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.5487,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Meloe rugosus,Meloe rugulosus,0.9287,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.491,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Ceracis curtus,Ceracis obesus,0.8359,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Cis tristis,Cis falli,0.6805,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.8027,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Ceracis curtus,Ropalodontus strandi,0.5106,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Ceracis californicus,Cis minutissimus,0.4369,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.7854,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Trogoderma grassmani,Xestocis singularis,0.4042,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.5386,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Ceracis californicus,Ennearthron affine,0.4355,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.4724,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Meloe rugosus,Ceracis laminifrons,0.5232,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.751,synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.7627,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.5072,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Cis ephippiatus,Ennearthron militaris,0.3143,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Palaestra guerini,Telephorus guerinii,0.6369,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
