species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Celiptera levina,Celiptera pallidior,0.8137,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Gogana kerara,Phalacra kerara,0.6824,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Eupterote mollifera,Spilobasis honei,0.3866,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Cyme sexualis,Odites isosticha,0.4332,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Macroplectrina apicalis,Dysschema funeralis,0.427,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Soteira altilis,Tethea duplaris,0.4564,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Argyresthia ivella,Momopola miltogramma,0.4268,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Astatochroa sulphurata,Psiloreta obsoleta,0.576,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Leucanopsis nebulosa,Eupterote contaminata,0.5447,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Amphitorna olga,Oreta loga,0.4294,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Altha peralbida,Thosea peralbida,0.6914,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Eupterote undata,Eupterote nigricans,0.7652,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Euclea delphinii,Euclea interjecta,0.7144,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Eloasa atmodes,Parasa atmodes,0.7596,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Microcolona phanarcha,Oreta miltodes,0.5306,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Euclystis angularis,Wernya fufifasciata,0.3996,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Phiala pseudatomaria,Stenoglene sigyna,0.3973,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Zauclophora metaphaeella,Antapistis digestalis,0.5493,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Comanula uniformis,Psiloreta patiens,0.4634,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Toxoides undulata,Toxoides longipennis,0.8214,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Aphendala unicolor,Oreta gonioptera,0.4474,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Eupterote mollifera,Asura coccineoflammeus,0.4522,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Creatonotos gangis,Thosea transversata,0.3456,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Ochropacha duplaris,Cymatophora undosa,0.5628,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Eupterote citrina,Eupterote lutosa,0.78,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Phiala bistrigata,Phiala curvistriga,0.7914,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Celiptera levina,Celiptera variolosa,0.7962,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Ditrigona micronioides,Corycia virgo,0.4593,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Tridrepana albonotata,Iridrepana glaciata,0.5429,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Choerotricha atrosquama,Asura bougainvillei,0.5439,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Callindra nepos,Doratifera hemistaura,0.4116,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Dysschema magdala,Dysschema panamensis,0.7332,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Cyligramma limacina,Cyligramma intellecta,0.7943,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Scieropepla reversella,Latoia mutifascia,0.5032,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Tridrepana lunulata,Apluda syngrapha,0.5281,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Narosopsis leucospila,Palirisa chocolatina,0.4768,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Phiala cunina,Lyclene reticulata,0.4804,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Argyresthia abdominalis,Argyresthia inauratella,0.6761,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Comana miltochyta,Susica miltochyta,0.732,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Hindothosea cervina,Thosea duplexa,0.2989,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Liocrops carnosa,Phalacropsis carnosa,0.7217,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Sangatissa subcurvifera,Sangatissa citrinula,0.7527,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
