species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.2422,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.7603,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.1345,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Meloe rugosus,Meloe rugulosus,0.9581,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.4087,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Ceracis curtus,Ceracis obesus,0.4755,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Cis tristis,Cis falli,0.5176,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.5165,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Ceracis curtus,Ropalodontus strandi,0.2205,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Ceracis californicus,Cis minutissimus,0.4362,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.6973,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Trogoderma grassmani,Xestocis singularis,0.1758,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.3761,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Ceracis californicus,Ennearthron affine,0.2305,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.2589,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Meloe rugosus,Ceracis laminifrons,0.2022,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.6149,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.6473,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.3659,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Cis ephippiatus,Ennearthron militaris,0.3542,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Palaestra guerini,Telephorus guerinii,0.4795,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.7103,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.1343,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Cis castaneus,Cis alter,0.4388,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Cis festivus,Attagenus megatoma,0.1574,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9341,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.12,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Hadraule elongatula,Hadraule coarctata,0.6364,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.673,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Ceracis cornifer,Ennearthron piceus,0.425,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
