species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Celiptera levina,Celiptera pallidior,0.6386,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Gogana kerara,Phalacra kerara,0.5564,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Eupterote mollifera,Spilobasis honei,0.2334,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Cyme sexualis,Odites isosticha,0.3598,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Macroplectrina apicalis,Dysschema funeralis,0.0988,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Soteira altilis,Tethea duplaris,0.3207,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Argyresthia ivella,Momopola miltogramma,0.1973,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Astatochroa sulphurata,Psiloreta obsoleta,0.4803,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Leucanopsis nebulosa,Eupterote contaminata,0.3093,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Amphitorna olga,Oreta loga,0.3691,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Altha peralbida,Thosea peralbida,0.7482,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Eupterote undata,Eupterote nigricans,0.4907,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Euclea delphinii,Euclea interjecta,0.6241,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Eloasa atmodes,Parasa atmodes,0.5408,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Microcolona phanarcha,Oreta miltodes,0.3035,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Euclystis angularis,Wernya fufifasciata,0.2696,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Phiala pseudatomaria,Stenoglene sigyna,0.3562,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Zauclophora metaphaeella,Antapistis digestalis,0.2761,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Comanula uniformis,Psiloreta patiens,0.17,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Toxoides undulata,Toxoides longipennis,0.6232,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Aphendala unicolor,Oreta gonioptera,0.2465,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Eupterote mollifera,Asura coccineoflammeus,0.321,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Creatonotos gangis,Thosea transversata,0.2392,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Ochropacha duplaris,Cymatophora undosa,0.4754,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Eupterote citrina,Eupterote lutosa,0.6017,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Phiala bistrigata,Phiala curvistriga,0.568,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Celiptera levina,Celiptera variolosa,0.7485,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Ditrigona micronioides,Corycia virgo,0.2171,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Tridrepana albonotata,Iridrepana glaciata,0.3652,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Choerotricha atrosquama,Asura bougainvillei,0.2741,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Callindra nepos,Doratifera hemistaura,0.278,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Dysschema magdala,Dysschema panamensis,0.4461,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Cyligramma limacina,Cyligramma intellecta,0.6222,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Scieropepla reversella,Latoia mutifascia,0.3149,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Tridrepana lunulata,Apluda syngrapha,0.3234,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Narosopsis leucospila,Palirisa chocolatina,0.3512,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Phiala cunina,Lyclene reticulata,0.2356,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Argyresthia abdominalis,Argyresthia inauratella,0.6615,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Comana miltochyta,Susica miltochyta,0.5631,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Hindothosea cervina,Thosea duplexa,0.2537,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Liocrops carnosa,Phalacropsis carnosa,0.7466,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Sangatissa subcurvifera,Sangatissa citrinula,0.726,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Epipsestis bilineata,Aganoptila durata,0.488,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Circeida mutifascia,Lyclene vagilinea,0.4053,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Agnoea colurnella,Borkhausenia detrimentella,0.2483,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Eupterote fabia,Eupterote lucia,0.415,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Telecrates laetiorella,Euclystis facunda,0.2693,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
