species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.34,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.7,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.4292,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Meloe rugosus,Meloe rugulosus,0.8921,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.2913,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Ceracis curtus,Ceracis obesus,0.7252,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Cis tristis,Cis falli,0.5653,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.7434,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Ceracis curtus,Ropalodontus strandi,0.3904,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Ceracis californicus,Cis minutissimus,0.3348,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.684,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Trogoderma grassmani,Xestocis singularis,0.2641,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.3835,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Ceracis californicus,Ennearthron affine,0.1007,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.2972,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Meloe rugosus,Ceracis laminifrons,0.3338,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.7599,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.543,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.2775,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Cis ephippiatus,Ennearthron militaris,0.2222,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Palaestra guerini,Telephorus guerinii,0.6253,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.6782,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.1626,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Cis castaneus,Cis alter,0.6202,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Cis festivus,Attagenus megatoma,0.2327,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9838,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.339,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Hadraule elongatula,Hadraule coarctata,0.6125,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.7363,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Ceracis cornifer,Ennearthron piceus,0.2761,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Eurymeloe murinus,Meloe murinus,0.7429,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.3314,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.5515,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.2822,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.3692,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Attagenus australis,Attagenus elongatus,0.8069,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Ceracis curtus,Cis obesus,0.3436,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Zonitis chrysomeloides,Strigocis davisi,0.0877,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Cybocephalus politissimus,Anthribus minimus,0.3892,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Orphinus fulvipes,Ennearthron pallidus,0.3887,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Strigocis bilimeki,Cis bilimeka,0.5005,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Octotemnus laevis,Trachypachus holmbergi,0.2877,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Hycleus phaleratus,Mylabris phalerata,0.4206,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Ceracis californicus,Ennearthron oregonus,0.3344,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Cis striatulus,Cis levellei,0.6209,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Ennearthron cornutum,Ennearthron concinnum,0.7414,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Meloe brevicollis,Meloe laticollis,0.8065,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Baissophytum amplus,Baissopsis amplus,0.9171,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Tophoderes depontanus,Ropalodontus baudueri,0.2334,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Meloe brevicollis,Shiva taiwanus,0.1539,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Attagenus undulatus,Aethriostoma undulata,0.443,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Cis castlei,Ceracis simplicicornis,0.2585,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Orthocis linearis,Tiresias serra,0.336,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Attagenus fasciatus,Dissia membranaceus,0.2631,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Mycterus curculioides,Hadraule striatulus,0.2706,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Ceracis nigricans,Brachycis brevicollis,0.4088,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Dolichocis laricinus,Xylographus rufescens,0.3885,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Cantharis lithophilus,Mycterus curculionides,0.3342,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Heterocerus fenestratus,Xestocis moznettei,0.2315,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Pastillodes areolatus,Meloe ganglbaueri,0.2467,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Hadraule elongatula,Dolichocera tessellatus,0.4149,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Ceracis sallei,Ennearthron sallei,0.7216,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Attagenus fasciatus,Ceracis convergens,0.082,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Orthocis coluber,Orthocis latifrons,0.5967,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Meloe brevicollis,Meloe puncticollis,0.7791,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Palaestra guerini,Zonitis guerini,0.3838,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Hadraule elongatula,Hadraule striata,0.7003,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Orthocis linearis,Orthocis perrisi,0.7315,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Cantharis lithophilus,Lytta lithophila,0.5194,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Hadraule elongatula,Dzeregia juxta,0.4844,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
