species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Celiptera levina,Celiptera pallidior,0.5332,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Gogana kerara,Phalacra kerara,0.679,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Eupterote mollifera,Spilobasis honei,0.2364,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Cyme sexualis,Odites isosticha,0.1747,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Macroplectrina apicalis,Dysschema funeralis,0.1289,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Soteira altilis,Tethea duplaris,0.301,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Argyresthia ivella,Momopola miltogramma,0.2755,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Astatochroa sulphurata,Psiloreta obsoleta,0.4799,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Leucanopsis nebulosa,Eupterote contaminata,0.1881,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Amphitorna olga,Oreta loga,0.3831,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Altha peralbida,Thosea peralbida,0.7176,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Eupterote undata,Eupterote nigricans,0.5761,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Euclea delphinii,Euclea interjecta,0.6313,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Eloasa atmodes,Parasa atmodes,0.7512,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Microcolona phanarcha,Oreta miltodes,0.3291,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Euclystis angularis,Wernya fufifasciata,0.1741,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Phiala pseudatomaria,Stenoglene sigyna,0.3555,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Zauclophora metaphaeella,Antapistis digestalis,0.2601,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Comanula uniformis,Psiloreta patiens,0.3416,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Toxoides undulata,Toxoides longipennis,0.737,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Aphendala unicolor,Oreta gonioptera,0.3484,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Eupterote mollifera,Asura coccineoflammeus,0.2847,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Creatonotos gangis,Thosea transversata,0.3161,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Ochropacha duplaris,Cymatophora undosa,0.2964,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Eupterote citrina,Eupterote lutosa,0.641,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Phiala bistrigata,Phiala curvistriga,0.5843,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Celiptera levina,Celiptera variolosa,0.4832,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Ditrigona micronioides,Corycia virgo,0.2404,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Tridrepana albonotata,Iridrepana glaciata,0.5925,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Choerotricha atrosquama,Asura bougainvillei,0.2134,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Callindra nepos,Doratifera hemistaura,0.2682,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
