species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.4199,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.6346,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.4822,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Meloe rugosus,Meloe rugulosus,0.9562,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.4646,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ceracis curtus,Ceracis obesus,0.8535,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cis tristis,Cis falli,0.5193,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.8286,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ceracis curtus,Ropalodontus strandi,0.4453,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ceracis californicus,Cis minutissimus,0.3537,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.8831,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Trogoderma grassmani,Xestocis singularis,0.3273,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.5276,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ceracis californicus,Ennearthron affine,0.1345,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.4824,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Meloe rugosus,Ceracis laminifrons,0.4715,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.8152,synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.5948,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.3343,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cis ephippiatus,Ennearthron militaris,0.3052,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Palaestra guerini,Telephorus guerinii,0.5,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.6861,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.1958,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cis castaneus,Cis alter,0.6569,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cis festivus,Attagenus megatoma,0.2024,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9953,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.4136,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Hadraule elongatula,Hadraule coarctata,0.5918,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.6396,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ceracis cornifer,Ennearthron piceus,0.4813,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Eurymeloe murinus,Meloe murinus,0.6999,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.5164,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.5355,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.4644,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.2333,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Attagenus australis,Attagenus elongatus,0.8504,synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ceracis curtus,Cis obesus,0.4941,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Zonitis chrysomeloides,Strigocis davisi,0.3377,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cybocephalus politissimus,Anthribus minimus,0.3669,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Orphinus fulvipes,Ennearthron pallidus,0.4113,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Strigocis bilimeki,Cis bilimeka,0.5381,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Octotemnus laevis,Trachypachus holmbergi,0.4991,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Hycleus phaleratus,Mylabris phalerata,0.5593,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ceracis californicus,Ennearthron oregonus,0.564,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cis striatulus,Cis levellei,0.4616,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ennearthron cornutum,Ennearthron concinnum,0.631,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Meloe brevicollis,Meloe laticollis,0.9025,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Baissophytum amplus,Baissopsis amplus,0.8697,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Tophoderes depontanus,Ropalodontus baudueri,0.3326,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Meloe brevicollis,Shiva taiwanus,0.2387,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Attagenus undulatus,Aethriostoma undulata,0.6207,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cis castlei,Ceracis simplicicornis,0.2724,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Orthocis linearis,Tiresias serra,0.167,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Attagenus fasciatus,Dissia membranaceus,0.4066,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Mycterus curculioides,Hadraule striatulus,0.3795,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ceracis nigricans,Brachycis brevicollis,0.4912,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dolichocis laricinus,Xylographus rufescens,0.5112,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cantharis lithophilus,Mycterus curculionides,0.5656,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Heterocerus fenestratus,Xestocis moznettei,0.4016,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Pastillodes areolatus,Meloe ganglbaueri,0.2603,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Hadraule elongatula,Dolichocera tessellatus,0.3222,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ceracis sallei,Ennearthron sallei,0.5565,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Attagenus fasciatus,Ceracis convergens,0.2865,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Orthocis coluber,Orthocis latifrons,0.7753,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Meloe brevicollis,Meloe puncticollis,0.8076,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Palaestra guerini,Zonitis guerini,0.3692,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Hadraule elongatula,Hadraule striata,0.625,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Orthocis linearis,Orthocis perrisi,0.6864,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cantharis lithophilus,Lytta lithophila,0.5529,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Hadraule elongatula,Dzeregia juxta,0.3803,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Sulcacis curtulus,Sulcacis sorror,0.86,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cis striatulus,Cerocoma viridis,0.3598,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Meloe brevicollis,Meloe cephalotes,0.8034,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ceracis californicus,Ennearthron concinnum,0.5435,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Hycleus phaleratus,Meloe phalerata,0.5294,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ceracis thoracicornis,Ceracis laminifrons,0.7445,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ceracis monocerus,Ceracis unicornis,0.758,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Eurymeloe ganglbaueri,Meloe ganglbaueri,0.5453,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dolichocera tessellata,Xylographus lemoulti,0.4791,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Theticephalus nigriceps,Dissia nigriceps,0.4386,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ceracis thoracicornis,Cryptorhopalum brevicorne,0.4054,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ademosynoides juxta,Dzeregia juxta,0.4639,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Meloe cicatricosus,Meloe cicatricosus,1.0,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Malacocis brevicollis,Ennearthron coloradensis,0.4281,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Thaumaglossa anthrenoides,Pseudothaumaglossa anthrenoides,0.7313,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Zherikhinia distylia,Ceracis mellyi,0.4705,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Rhopalodontus strandi,Attagenus piceus,0.4444,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Archaeophylax worthyi,Waitomophylax worthyi,0.5412,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ctesias serra,Tiresias serra,0.7952,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dieckmanniellus gracilis,Nanodes gracilis,0.3395,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Attagenus brunneus,Attagenus elongatulus,0.816,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Xylographus corpulentus,Trachypachus alticola,0.5364,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Octotemnus laevis,Octotemnus denudatus,0.9012,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Meloe rugosus,Meloe punctatus,0.8502,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dolichocera tessellata,Dolichocera tessellatus,0.9847,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Idiomerus inflatus,Necromera inflata,0.5132,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Sulcacis curtulus,Cis criddlei,0.2926,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Necronectulus avus,Necronetulus avus,0.9156,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Sulcacis fronticornis,Cis fronticornis,0.464,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Attagenus brunneus,Ennearthron convergens,0.1372,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Labrocerus similaris,Argocerus similaris,0.6735,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ceracis curtus,Ceracis compactus,0.7788,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Sulcacis nitidus,Ennearthron affinis,0.4141,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Labrocerus depressus,Eocerus depressus,0.6612,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Systolosoma breve,Meloe puncticollis,0.3317,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Thorictodes heydeni,Thorictodes karanisensis,0.8718,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cybocephalus amplus,Dissia ampla,0.2677,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Sulcacis nitidus,Sulcacis affinis,0.8903,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Heterocerus maritimus,Heterocerus britannicus,0.819,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Trachypachus gibbsii,Trachypachus californicus,0.8229,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Heterocerus crinitus,Theticephalus mesopatamicus,0.4755,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Sulcacis curtulus,Cis alpinus,0.3514,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ceracis thoracicornis,Ceracis ater,0.6507,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
