species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Celiptera levina,Celiptera pallidior,0.7992,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Gogana kerara,Phalacra kerara,0.6376,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Eupterote mollifera,Spilobasis honei,0.3112,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cyme sexualis,Odites isosticha,0.3989,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Macroplectrina apicalis,Dysschema funeralis,0.232,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Soteira altilis,Tethea duplaris,0.2964,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Argyresthia ivella,Momopola miltogramma,0.4195,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Astatochroa sulphurata,Psiloreta obsoleta,0.423,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Leucanopsis nebulosa,Eupterote contaminata,0.4254,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Amphitorna olga,Oreta loga,0.3801,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Altha peralbida,Thosea peralbida,0.6427,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Eupterote undata,Eupterote nigricans,0.7728,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Euclea delphinii,Euclea interjecta,0.5696,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Eloasa atmodes,Parasa atmodes,0.7157,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Microcolona phanarcha,Oreta miltodes,0.3334,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Euclystis angularis,Wernya fufifasciata,0.2682,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Phiala pseudatomaria,Stenoglene sigyna,0.1923,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Zauclophora metaphaeella,Antapistis digestalis,0.4016,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Comanula uniformis,Psiloreta patiens,0.3255,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Toxoides undulata,Toxoides longipennis,0.8969,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Aphendala unicolor,Oreta gonioptera,0.3876,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Eupterote mollifera,Asura coccineoflammeus,0.3101,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Creatonotos gangis,Thosea transversata,0.1725,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ochropacha duplaris,Cymatophora undosa,0.5079,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Eupterote citrina,Eupterote lutosa,0.8102,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Phiala bistrigata,Phiala curvistriga,0.7392,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Celiptera levina,Celiptera variolosa,0.738,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ditrigona micronioides,Corycia virgo,0.2929,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Tridrepana albonotata,Iridrepana glaciata,0.4592,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Choerotricha atrosquama,Asura bougainvillei,0.4106,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Callindra nepos,Doratifera hemistaura,0.3511,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Dysschema magdala,Dysschema panamensis,0.6045,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cyligramma limacina,Cyligramma intellecta,0.7903,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Scieropepla reversella,Latoia mutifascia,0.3604,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Tridrepana lunulata,Apluda syngrapha,0.412,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Narosopsis leucospila,Palirisa chocolatina,0.29,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Phiala cunina,Lyclene reticulata,0.2409,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Argyresthia abdominalis,Argyresthia inauratella,0.6807,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Comana miltochyta,Susica miltochyta,0.6766,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Hindothosea cervina,Thosea duplexa,0.1136,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Liocrops carnosa,Phalacropsis carnosa,0.5434,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Sangatissa subcurvifera,Sangatissa citrinula,0.7616,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Epipsestis bilineata,Aganoptila durata,0.2565,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Circeida mutifascia,Lyclene vagilinea,0.3783,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Agnoea colurnella,Borkhausenia detrimentella,0.3028,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Eupterote fabia,Eupterote lucia,0.7919,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Telecrates laetiorella,Euclystis facunda,0.2346,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Tridrepana sadana,Drepana sadana,0.6375,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Argyresthia curvella,Euclystis polioperas,0.339,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cyme basitesselata,Psiloreta rufula,0.295,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Celiptera frustulum,Eloasa liasarca,0.2157,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Calonotos helymus,Calonotos aterrima,0.7033,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Diurnea fagella,Chimabacche fagella,0.6583,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Catoryctis subparallela,Susica fusca,0.4566,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Caissa fasciatum,Ceratonema fasciatum,0.5284,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Falcaria lacertinaria,Phalaena lacertula,0.6045,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Eupterote undata,Diurnea lipsiella,0.2682,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Jana strigina,Hildala uniformis,0.2078,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Alphaea imbuta,Janomima westwoodi,0.3041,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Albarracina warionis,Albarracina banghaasi,0.7573,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Euphalacra trifenestrata,Ectothyris trifenestrata,0.6525,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Eupterote domina,Eupterote pulchra,0.7501,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Acantharctia latifusca,Lyclene diehli,0.2127,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Chalcocelis albiguttatus,Urogonodes inconspicua,0.3138,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cyme miltochristaemorpha,Asura aureorosea,0.4452,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Gonojana dimidiata,Euclystis epulea,0.166,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Soteira ostia,Latoia pseudostia,0.4336,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Calonotos triplaga,Peridrepana derocina,0.2946,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Trachydora porphyrescens,Pogonias porphyrescens,0.6137,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Sangatissa subcurvifera,Sangatissa albipars,0.7555,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Trachydora heliotricha,Euclystis sublineata,0.3096,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Oreta extensa,Hemijana distincta,0.4319,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Nordstromia vira,Achlya signatipennis,0.4176,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Scopelodes unicolor,Phalacropsis pseudoluteata,0.2156,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Euphlyctina phaeopasta,Araeogyia phaeopasta,0.6959,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Stenoglene roseus,Adites maculata,0.468,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Poloma angulata,Poloma angulifera,0.9639,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Hadraphe ethiopica,Scirrhoma ethiopica,0.5988,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Epijana cosmia,Epijana lanosa,0.7569,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Lichenaula phloeochroa,Lichenaula provisa,0.8845,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Agnoea fuscifrontella,Pseudlepista flavicosta,0.4616,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Alphaea imbuta,Leucanopsis coniata,0.4166,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cabardites pica,Aemene fuscipennis,0.3217,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Hibrildes norax,Hibrildes spiritalis,0.7012,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Agnoea colurnella,Hibrildes venosa,0.3716,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cyrtojana trilineata,Cyrtojana apithana,0.6455,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Comana albibasis,Aemene fuscipennis,0.4357,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Thyatira batis,Palimpsestis renalis,0.4141,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Eupterote domina,Psiloreta sulphurata,0.4433,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cophomantella pumicata,Cophomantis pumicata,0.9303,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Eupterote undata,Phyllalia incerta,0.4243,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Agnoea langohri,Hibrildes carpenteri,0.39,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Susica sinensis,Oreta rotundipex,0.3843,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Sabra harpagula,Oglasa afflicta,0.3502,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Euclea cippus,Bombyx cippus,0.5596,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cyme biagi,Tadema sinensis,0.2551,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Drapetodes mitaria,Lepidolutzia costistrigata,0.4439,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Macrocneme chrysitis,Macrocneme iole,0.5562,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Cabardites limbata,Aemene formosibia,0.338,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Narosoideus flavidorsalis,Albarracina autumnalis,0.5418,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Telecrates melanochrysa,Thosea luxa,0.2068,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.5307,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dysschema subapicalis,Paryphanta personata,0.1308,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Dysschema mariamne,Melanaema asuroides,0.4449,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cyclidia rectificata,Phyllalia acuta,0.5023,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Trachydora fumea,Narosa penicillata,0.4848,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Adiopa disgrega,Adiopa marama,0.7829,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Celiptera levina,Antiopala moderata,0.3358,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Alphaea imbuta,Oreta calceolaria,0.5371,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Liocrops semiprotrusa,Phalacropsis semiprotrusa,0.562,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Oreta obtusa,Hypercompa similis,0.2211,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ditrigona inconspicua,Halisidota racema,0.4836,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Spica parallelangula,Plusinia aurea,0.3065,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Oglasa lagusalis,Parasa repanda,0.3539,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Tetheella fluctuosa,Omocena convergens,0.1627,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cyme structa,Spidia fenestriculata,0.3393,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Falcaria lacertinaria,Drepana dimidiata,0.2848,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Astatochroa fuscimargo,Parasa hockingii,0.5004,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Zaratha pterodactylella,Drepana levis,0.1818,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Eupterote undata,Eupterote vinosa,0.8241,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Comanula uniformis,Eupterote cinnamomea,0.4211,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Cotana kebeae,Narosa takamukui,0.2999,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Agnoea flavifrontella,Phryganopsis nyassana,0.485,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Oreta perfida,Miresa nigriplaga,0.3597,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Stenoglene pellucida,Xylodryas cryeranthes,0.2149,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Thymiatris cephalochra,Poloma nahor,0.1512,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Sansarea circulifera,Narosa baibarana,0.4109,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Aergina laeta,Microsetia stephensella,0.1868,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
