species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Archaeophylax worthyi,Waitomophylax worthyi,0.815,synonym,BAAI/bge-base-en-v1.5,0.7
Mycterus curculioides,Mycterus curculionides,0.94,synonym,BAAI/bge-base-en-v1.5,0.7
Mycterus curculioides,Mycterus curculionoides,0.9339,synonym,BAAI/bge-base-en-v1.5,0.7
Mycterus quadricollis,Mycterus depressus,0.6965,not synonym,BAAI/bge-base-en-v1.5,0.7
Megatoma atypica,Cretomegatoma atypica,0.8212,synonym,BAAI/bge-base-en-v1.5,0.7
Trogoderma glabrum,Anthrenus niger,0.4882,not synonym,BAAI/bge-base-en-v1.5,0.7
Trogoderma glabrum,Trogoderma fuscicornis,0.7096,synonym,BAAI/bge-base-en-v1.5,0.7
Trogoderma glabrum,Trogoderma niger,0.7781,synonym,BAAI/bge-base-en-v1.5,0.7
Trogoderma glabrum,Trogoderma nigrum,0.8073,synonym,BAAI/bge-base-en-v1.5,0.7
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,BAAI/bge-base-en-v1.5,0.7
Trogoderma megatomoides,Entomotrogus megatomoides,0.8422,synonym,BAAI/bge-base-en-v1.5,0.7
Ctesias serra,Tiresias serra,0.756,synonym,BAAI/bge-base-en-v1.5,0.7
Sefrania bleusei,Fohrer bleusei,0.7885,synonym,BAAI/bge-base-en-v1.5,0.7
Phradonoma tricolor,Trogoderma tricolor,0.8272,synonym,BAAI/bge-base-en-v1.5,0.7
Labrocerus concolor,Labrocerus simplex,0.7429,synonym,BAAI/bge-base-en-v1.5,0.7
Labrocerus depressus,Eocerus depressus,0.7738,synonym,BAAI/bge-base-en-v1.5,0.7
Labrocerus setosus,Labrocerus affinis,0.6924,not synonym,BAAI/bge-base-en-v1.5,0.7
Labrocerus setosus,Labrocerus pallipes,0.7084,synonym,BAAI/bge-base-en-v1.5,0.7
Labrocerus similaris,Argocerus similaris,0.8699,synonym,BAAI/bge-base-en-v1.5,0.7
Labrocerus similaris,Argocerus subguttatus,0.6223,not synonym,BAAI/bge-base-en-v1.5,0.7
Labrocerus vestitus,Labrocerus flavicornis,0.6785,not synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus australis,Trinodes australis,0.7618,synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus brunneus,Attagenus elongatulus,0.72,synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus brunneus,Attagenus elongatus,0.7192,synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus brunneus,Attagenus marginicollis,0.6559,not synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus fasciatus,Attagenus anulifer,0.7351,synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus fasciatus,Attagenus gloriosae,0.7039,synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus fasciatus,Attagenus gloriosus,0.737,synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus quadrimaculatus,Attagenus 4-maculatus,0.7699,synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus trifasciatus,Attagenus 3-fasciatus,0.8958,synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus undulatus,Aethriostoma undulata,0.7182,synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus unicolor,Attagenus megatoma,0.6801,not synonym,BAAI/bge-base-en-v1.5,0.7
Attagenus unicolor,Attagenus piceus,0.7476,synonym,BAAI/bge-base-en-v1.5,0.7
Thaumaglossa anthrenoides,Pseudothaumaglossa anthrenoides,0.9255,synonym,BAAI/bge-base-en-v1.5,0.7
Orphinus fulvipes,Cryptorhopalum brevicorne,0.5797,not synonym,BAAI/bge-base-en-v1.5,0.7
Orphinus fulvipes,Orphinus brevicorne,0.7475,synonym,BAAI/bge-base-en-v1.5,0.7
Orphinus fulvipes,Orphinus brevicornis,0.7281,synonym,BAAI/bge-base-en-v1.5,0.7
Orphinus fulvipes,Trogoderma fulvipes,0.8121,synonym,BAAI/bge-base-en-v1.5,0.7
Thorictodes heydeni,Thaumaphrastus heydeni,0.7416,synonym,BAAI/bge-base-en-v1.5,0.7
Thorictodes heydeni,Thorictodes karanisensis,0.7094,synonym,BAAI/bge-base-en-v1.5,0.7
Megatoma alpina,Globicornis alpina,0.7868,synonym,BAAI/bge-base-en-v1.5,0.7
Heterocerus crinitus,Augyles crinitus,0.7572,synonym,BAAI/bge-base-en-v1.5,0.7
Heterocerus fenestratus,Heterocerus pulchellus,0.6669,not synonym,BAAI/bge-base-en-v1.5,0.7
Heterocerus flindersi,Heterocerus caledoniae,0.714,synonym,BAAI/bge-base-en-v1.5,0.7
Heterocerus maritimus,Augyles britannicus,0.5229,not synonym,BAAI/bge-base-en-v1.5,0.7
Heterocerus maritimus,Heterocerus basalis,0.7113,synonym,BAAI/bge-base-en-v1.5,0.7
Heterocerus maritimus,Heterocerus britannicus,0.747,synonym,BAAI/bge-base-en-v1.5,0.7
Heterocerus maritimus,Heterocerus burchanensis,0.7022,synonym,BAAI/bge-base-en-v1.5,0.7
Augyles aureolus,Heterocerus aureolus,0.7811,synonym,BAAI/bge-base-en-v1.5,0.7
Pastillodes areolatus,Cybocephalus areolatus,0.8229,synonym,BAAI/bge-base-en-v1.5,0.7
Cybocephalus binotatus,Cybocephalus aeneonittens,0.6956,not synonym,BAAI/bge-base-en-v1.5,0.7
Cybocephalus membranaceus,Dissia membranaceus,0.7939,synonym,BAAI/bge-base-en-v1.5,0.7
Cybocephalus politissimus,Cybocephalus flavicapitus,0.6707,not synonym,BAAI/bge-base-en-v1.5,0.7
Cybocephalus politissimus,Cybocephalus flavocapitis,0.6154,not synonym,BAAI/bge-base-en-v1.5,0.7
Cybocephalus amplus,Dissia ampla,0.6677,not synonym,BAAI/bge-base-en-v1.5,0.7
Cybocephalus sublucidus,Brachypterus sublucidus,0.8513,synonym,BAAI/bge-base-en-v1.5,0.7
Pacicephalus gressitti,Cybocephalus gressitti,0.8641,synonym,BAAI/bge-base-en-v1.5,0.7
Amedissia argentinus,Pycnocephalus argentinus,0.752,synonym,BAAI/bge-base-en-v1.5,0.7
Theticephalus aurocupreus,Cybocephalus aurocupreus,0.8838,synonym,BAAI/bge-base-en-v1.5,0.7
Theticephalus decamerus,Cybocephalus decamerus,0.8653,synonym,BAAI/bge-base-en-v1.5,0.7
Theticephalus mesopotamicus,Cybocephalus mesopatamicus,0.8211,synonym,BAAI/bge-base-en-v1.5,0.7
Theticephalus mesopotamicus,Cybocephalus mesopotamicus,0.8765,synonym,BAAI/bge-base-en-v1.5,0.7
Theticephalus mesopotamicus,Theticephalus mesopatamicus,0.9483,synonym,BAAI/bge-base-en-v1.5,0.7
Theticephalus nigriceps,Dissia nigriceps,0.7879,synonym,BAAI/bge-base-en-v1.5,0.7
Theticephalus salsus,Cybocephalus salsus,0.8162,synonym,BAAI/bge-base-en-v1.5,0.7
Cycloderma deplanatum,Critoderma deplanatum,0.8611,synonym,BAAI/bge-base-en-v1.5,0.7
Micromalthus debilis,Micromalthus anansi,0.7358,synonym,BAAI/bge-base-en-v1.5,0.7
Eurymeloe baudueri,Meloe baudueri,0.826,synonym,BAAI/bge-base-en-v1.5,0.7
Eurymeloe ganglbaueri,Meloe ganglbaueri,0.8239,synonym,BAAI/bge-base-en-v1.5,0.7
Eurymeloe mediterraneus,Meloe mediterraneus,0.887,synonym,BAAI/bge-base-en-v1.5,0.7
Eurymeloe murinus,Meloe murinus,0.8404,synonym,BAAI/bge-base-en-v1.5,0.7
Eurymeloe scabriusculus,Meloe scabriusculus,0.8554,synonym,BAAI/bge-base-en-v1.5,0.7
Palaestra guerini,Telephorus guerinii,0.7275,synonym,BAAI/bge-base-en-v1.5,0.7
Palaestra guerini,Zonitis guerini,0.771,synonym,BAAI/bge-base-en-v1.5,0.7
Hycleus polymorphus,Mylabris polymorpha,0.7306,synonym,BAAI/bge-base-en-v1.5,0.7
Hycleus phaleratus,Meloe phalerata,0.7057,synonym,BAAI/bge-base-en-v1.5,0.7
Hycleus phaleratus,Mylabris phalerata,0.7001,synonym,BAAI/bge-base-en-v1.5,0.7
Hycleus brevetarsalis,Mylabris brevetarsalis,0.8483,synonym,BAAI/bge-base-en-v1.5,0.7
Cantharis lithophilus,Lytta lithophila,0.6993,not synonym,BAAI/bge-base-en-v1.5,0.7
Zonitis chrysomeloides,Cantharis chrysomeloides,0.7974,synonym,BAAI/bge-base-en-v1.5,0.7
Zonitis melanoptera,Zonitis nigripennis,0.7339,synonym,BAAI/bge-base-en-v1.5,0.7
Cerocoma schaefferi,Cerocoma viridis,0.7229,synonym,BAAI/bge-base-en-v1.5,0.7
Meloe brevicollis,Meloe cephalotes,0.7358,synonym,BAAI/bge-base-en-v1.5,0.7
Meloe brevicollis,Meloe laticollis,0.8142,synonym,BAAI/bge-base-en-v1.5,0.7
Meloe brevicollis,Meloe puncticollis,0.83,synonym,BAAI/bge-base-en-v1.5,0.7
Meloe brevicollis,Meloe splendens,0.7403,synonym,BAAI/bge-base-en-v1.5,0.7
Meloe cicatricosus,Meloe cicatricosus,1.0,synonym,BAAI/bge-base-en-v1.5,0.7
Meloe cicatricosus,Meloe punctatoradiatus,0.6959,not synonym,BAAI/bge-base-en-v1.5,0.7
Meloe rugosus,Meloe autumnalis,0.7018,synonym,BAAI/bge-base-en-v1.5,0.7
Meloe rugosus,Meloe punctatus,0.6924,not synonym,BAAI/bge-base-en-v1.5,0.7
Meloe rugosus,Meloe rugulosus,0.891,synonym,BAAI/bge-base-en-v1.5,0.7
Strongylites stygius,Strongulites stygicus,0.8755,synonym,BAAI/bge-base-en-v1.5,0.7
Trachypachus gibbsii,Trachypachus alticola,0.655,not synonym,BAAI/bge-base-en-v1.5,0.7
