species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Xylorycta castanea,Lichenaula castanea,0.8124,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta luteotactella,Cryptolechia cognatella,0.6031,not synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta luteotactella,Cryptolechia luteotactella,0.8855,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta nivella,Cryptolechia nivella,0.8128,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta stereodesma,Xylorycta prospicua,0.671,not synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta polysticha,Lichenaula polysticha,0.7934,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta heliomacula,Telecrates heliomacula,0.767,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta assimilis,Xylorycta terenopis,0.6983,not synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta haplochroa,Lichenaula haplochroa,0.8117,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta haplochroa,Lichenaula umbrosa,0.528,not synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta cygnella,Cryptolechia cygnella,0.8272,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta calligramma,Telecrates calligramma,0.7779,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta streptogramma,Telecrates streptogramma,0.7892,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta ovata,Antaeotricha ovata,0.7804,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta candescens,Lichenaula dissimilis,0.5328,not synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta strigata,Cryptophasa strigata,0.7743,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta apheles,Neodrepta apheles,0.7461,synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta apheles,Xylorycta lychnobii,0.6797,not synonym,BAAI/bge-base-en-v1.5,0.7
Xylorycta argentella,Cryptolechia argentella,0.8493,synonym,BAAI/bge-base-en-v1.5,0.7
Synchalara rhombota,Agriophara rhombota,0.8069,synonym,BAAI/bge-base-en-v1.5,0.7
Paralecta tinctoria,Xylorycta tinctoria,0.7951,synonym,BAAI/bge-base-en-v1.5,0.7
Sphalerostola epierana,Exapateter epierana,0.7907,synonym,BAAI/bge-base-en-v1.5,0.7
Metathrinca ancistrias,Ptochoryctis ancistrias,0.815,synonym,BAAI/bge-base-en-v1.5,0.7
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.8292,synonym,BAAI/bge-base-en-v1.5,0.7
Metathrinca illuvialis,Ptochoryctis illuvialis,0.8204,synonym,BAAI/bge-base-en-v1.5,0.7
Metathrinca intacta,Ptochoryctis intacta,0.8069,synonym,BAAI/bge-base-en-v1.5,0.7
Metathrinca loranthivora,Ptochoryctis loranthivora,0.858,synonym,BAAI/bge-base-en-v1.5,0.7
Metathrinca parabola,Ptochoryctis parabola,0.7802,synonym,BAAI/bge-base-en-v1.5,0.7
Metathrinca rosaria,Ptochoryctis rosaria,0.8262,synonym,BAAI/bge-base-en-v1.5,0.7
Metathrinca tsugensis,Ptochoryctis tsugensis,0.8138,synonym,BAAI/bge-base-en-v1.5,0.7
Liparistis monosema,Lichenaula monosema,0.7951,synonym,BAAI/bge-base-en-v1.5,0.7
Athrypsiastis candidella,Topiris candidella,0.7639,synonym,BAAI/bge-base-en-v1.5,0.7
Bida radiosella,Bida crambella,0.7648,synonym,BAAI/bge-base-en-v1.5,0.7
Bida radiosella,Psecadia radiosella,0.7954,synonym,BAAI/bge-base-en-v1.5,0.7
Perixestis rhizophaga,Xylorycta rhizophaga,0.7936,synonym,BAAI/bge-base-en-v1.5,0.7
Phthonerodes scotarcha,Psilosceles dichochroa,0.4776,not synonym,BAAI/bge-base-en-v1.5,0.7
Iulactis insignis,Dectobathra insignis,0.8072,synonym,BAAI/bge-base-en-v1.5,0.7
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.9535,synonym,BAAI/bge-base-en-v1.5,0.7
Neospastis encryphias,Agriophara encryphias,0.7729,synonym,BAAI/bge-base-en-v1.5,0.7
Neospastis ichnaea,Stenoma ichnaea,0.7752,synonym,BAAI/bge-base-en-v1.5,0.7
Philarista porphyrinella,Brunia intersecta,0.5407,not synonym,BAAI/bge-base-en-v1.5,0.7
Philarista porphyrinella,Cryptolechia porphyrinella,0.809,synonym,BAAI/bge-base-en-v1.5,0.7
Cyanocrates grandis,Cyanocrates signata,0.6811,not synonym,BAAI/bge-base-en-v1.5,0.7
Cyanocrates grandis,Ommatothelxis grandis,0.7129,synonym,BAAI/bge-base-en-v1.5,0.7
Lichenaula afflictella,Cryptolechia afflictella,0.8621,synonym,BAAI/bge-base-en-v1.5,0.7
