species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.7599,synonym,BAAI/bge-large-en,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.9143,synonym,BAAI/bge-large-en,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.7651,synonym,BAAI/bge-large-en,0.7,0
Meloe rugosus,Meloe rugulosus,0.9654,synonym,BAAI/bge-large-en,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.8096,synonym,BAAI/bge-large-en,0.7,0
Ceracis curtus,Ceracis obesus,0.8914,synonym,BAAI/bge-large-en,0.7,1
Cis tristis,Cis falli,0.8416,synonym,BAAI/bge-large-en,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.8589,synonym,BAAI/bge-large-en,0.7,1
Ceracis curtus,Ropalodontus strandi,0.7543,synonym,BAAI/bge-large-en,0.7,0
Ceracis californicus,Cis minutissimus,0.7748,synonym,BAAI/bge-large-en,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.8895,synonym,BAAI/bge-large-en,0.7,1
Trogoderma grassmani,Xestocis singularis,0.7796,synonym,BAAI/bge-large-en,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.7909,synonym,BAAI/bge-large-en,0.7,0
Ceracis californicus,Ennearthron affine,0.7398,synonym,BAAI/bge-large-en,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.7767,synonym,BAAI/bge-large-en,0.7,0
Meloe rugosus,Ceracis laminifrons,0.7844,synonym,BAAI/bge-large-en,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.8633,synonym,BAAI/bge-large-en,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.8967,synonym,BAAI/bge-large-en,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.788,synonym,BAAI/bge-large-en,0.7,0
Cis ephippiatus,Ennearthron militaris,0.791,synonym,BAAI/bge-large-en,0.7,0
Palaestra guerini,Telephorus guerinii,0.8159,synonym,BAAI/bge-large-en,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.9398,synonym,BAAI/bge-large-en,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.7284,synonym,BAAI/bge-large-en,0.7,0
Cis castaneus,Cis alter,0.8614,synonym,BAAI/bge-large-en,0.7,1
Cis festivus,Attagenus megatoma,0.7536,synonym,BAAI/bge-large-en,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9759,synonym,BAAI/bge-large-en,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.7168,synonym,BAAI/bge-large-en,0.7,0
Hadraule elongatula,Hadraule coarctata,0.8569,synonym,BAAI/bge-large-en,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.934,synonym,BAAI/bge-large-en,0.7,1
Ceracis cornifer,Ennearthron piceus,0.821,synonym,BAAI/bge-large-en,0.7,0
Eurymeloe murinus,Meloe murinus,0.9449,synonym,BAAI/bge-large-en,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.7603,synonym,BAAI/bge-large-en,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.8969,synonym,BAAI/bge-large-en,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.8075,synonym,BAAI/bge-large-en,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.7846,synonym,BAAI/bge-large-en,0.7,0
Attagenus australis,Attagenus elongatus,0.8989,synonym,BAAI/bge-large-en,0.7,0
Ceracis curtus,Cis obesus,0.7886,synonym,BAAI/bge-large-en,0.7,1
Zonitis chrysomeloides,Strigocis davisi,0.7714,synonym,BAAI/bge-large-en,0.7,0
Cybocephalus politissimus,Anthribus minimus,0.7626,synonym,BAAI/bge-large-en,0.7,0
Orphinus fulvipes,Ennearthron pallidus,0.7848,synonym,BAAI/bge-large-en,0.7,0
Strigocis bilimeki,Cis bilimeka,0.8694,synonym,BAAI/bge-large-en,0.7,1
Octotemnus laevis,Trachypachus holmbergi,0.7743,synonym,BAAI/bge-large-en,0.7,0
Hycleus phaleratus,Mylabris phalerata,0.8328,synonym,BAAI/bge-large-en,0.7,1
Ceracis californicus,Ennearthron oregonus,0.8267,synonym,BAAI/bge-large-en,0.7,1
Cis striatulus,Cis levellei,0.8339,synonym,BAAI/bge-large-en,0.7,0
Ennearthron cornutum,Ennearthron concinnum,0.9222,synonym,BAAI/bge-large-en,0.7,1
Meloe brevicollis,Meloe laticollis,0.9358,synonym,BAAI/bge-large-en,0.7,1
Baissophytum amplus,Baissopsis amplus,0.9699,synonym,BAAI/bge-large-en,0.7,1
Tophoderes depontanus,Ropalodontus baudueri,0.7746,synonym,BAAI/bge-large-en,0.7,0
Meloe brevicollis,Shiva taiwanus,0.7411,synonym,BAAI/bge-large-en,0.7,0
Attagenus undulatus,Aethriostoma undulata,0.8451,synonym,BAAI/bge-large-en,0.7,1
Cis castlei,Ceracis simplicicornis,0.736,synonym,BAAI/bge-large-en,0.7,0
Orthocis linearis,Tiresias serra,0.7459,synonym,BAAI/bge-large-en,0.7,0
Attagenus fasciatus,Dissia membranaceus,0.7806,synonym,BAAI/bge-large-en,0.7,0
Mycterus curculioides,Hadraule striatulus,0.8088,synonym,BAAI/bge-large-en,0.7,0
Ceracis nigricans,Brachycis brevicollis,0.8377,synonym,BAAI/bge-large-en,0.7,0
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,BAAI/bge-large-en,0.7,1
Dolichocis laricinus,Xylographus rufescens,0.766,synonym,BAAI/bge-large-en,0.7,0
Cantharis lithophilus,Mycterus curculionides,0.773,synonym,BAAI/bge-large-en,0.7,0
Heterocerus fenestratus,Xestocis moznettei,0.7712,synonym,BAAI/bge-large-en,0.7,0
Pastillodes areolatus,Meloe ganglbaueri,0.736,synonym,BAAI/bge-large-en,0.7,0
Hadraule elongatula,Dolichocera tessellatus,0.7605,synonym,BAAI/bge-large-en,0.7,0
Ceracis sallei,Ennearthron sallei,0.8666,synonym,BAAI/bge-large-en,0.7,1
Attagenus fasciatus,Ceracis convergens,0.7939,synonym,BAAI/bge-large-en,0.7,0
Orthocis coluber,Orthocis latifrons,0.8427,synonym,BAAI/bge-large-en,0.7,1
Meloe brevicollis,Meloe puncticollis,0.9262,synonym,BAAI/bge-large-en,0.7,1
Palaestra guerini,Zonitis guerini,0.8631,synonym,BAAI/bge-large-en,0.7,1
Hadraule elongatula,Hadraule striata,0.8931,synonym,BAAI/bge-large-en,0.7,1
Orthocis linearis,Orthocis perrisi,0.8313,synonym,BAAI/bge-large-en,0.7,1
Cantharis lithophilus,Lytta lithophila,0.8554,synonym,BAAI/bge-large-en,0.7,1
Hadraule elongatula,Dzeregia juxta,0.755,synonym,BAAI/bge-large-en,0.7,0
Sulcacis curtulus,Sulcacis sorror,0.8644,synonym,BAAI/bge-large-en,0.7,1
Cis striatulus,Cerocoma viridis,0.7246,synonym,BAAI/bge-large-en,0.7,0
Meloe brevicollis,Meloe cephalotes,0.8601,synonym,BAAI/bge-large-en,0.7,1
Ceracis californicus,Ennearthron concinnum,0.8128,synonym,BAAI/bge-large-en,0.7,0
Hycleus phaleratus,Meloe phalerata,0.8205,synonym,BAAI/bge-large-en,0.7,1
Ceracis thoracicornis,Ceracis laminifrons,0.8613,synonym,BAAI/bge-large-en,0.7,1
Ceracis monocerus,Ceracis unicornis,0.8845,synonym,BAAI/bge-large-en,0.7,1
Eurymeloe ganglbaueri,Meloe ganglbaueri,0.9437,synonym,BAAI/bge-large-en,0.7,1
Dolichocera tessellata,Xylographus lemoulti,0.7662,synonym,BAAI/bge-large-en,0.7,0
