species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.4905,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.6866,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.4675,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Meloe rugosus,Meloe rugulosus,0.8884,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.401,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ceracis curtus,Ceracis obesus,0.7849,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Cis tristis,Cis falli,0.6021,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.78,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ceracis curtus,Ropalodontus strandi,0.4085,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ceracis californicus,Cis minutissimus,0.5191,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.7633,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Trogoderma grassmani,Xestocis singularis,0.3382,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.5158,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ceracis californicus,Ennearthron affine,0.3321,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.3466,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Meloe rugosus,Ceracis laminifrons,0.4148,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.7948,synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.7886,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.4106,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cis ephippiatus,Ennearthron militaris,0.3746,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Palaestra guerini,Telephorus guerinii,0.5011,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.8544,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.3351,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cis castaneus,Cis alter,0.6128,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Cis festivus,Attagenus megatoma,0.2955,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9404,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.4647,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Hadraule elongatula,Hadraule coarctata,0.7026,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.758,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ceracis cornifer,Ennearthron piceus,0.4443,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Eurymeloe murinus,Meloe murinus,0.6847,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.4637,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.7416,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.4115,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.3272,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Attagenus australis,Attagenus elongatus,0.7954,synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ceracis curtus,Cis obesus,0.5573,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Zonitis chrysomeloides,Strigocis davisi,0.4297,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cybocephalus politissimus,Anthribus minimus,0.4763,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Orphinus fulvipes,Ennearthron pallidus,0.3818,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Strigocis bilimeki,Cis bilimeka,0.719,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Octotemnus laevis,Trachypachus holmbergi,0.4188,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Hycleus phaleratus,Mylabris phalerata,0.6038,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ceracis californicus,Ennearthron oregonus,0.3911,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Cis striatulus,Cis levellei,0.623,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ennearthron cornutum,Ennearthron concinnum,0.8421,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Meloe brevicollis,Meloe laticollis,0.6878,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Baissophytum amplus,Baissopsis amplus,0.9036,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Tophoderes depontanus,Ropalodontus baudueri,0.4726,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Meloe brevicollis,Shiva taiwanus,0.295,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Attagenus undulatus,Aethriostoma undulata,0.6173,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Cis castlei,Ceracis simplicicornis,0.429,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Orthocis linearis,Tiresias serra,0.3692,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Attagenus fasciatus,Dissia membranaceus,0.5181,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Mycterus curculioides,Hadraule striatulus,0.4272,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ceracis nigricans,Brachycis brevicollis,0.4944,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Dolichocis laricinus,Xylographus rufescens,0.3523,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cantharis lithophilus,Mycterus curculionides,0.4852,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Heterocerus fenestratus,Xestocis moznettei,0.5472,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Pastillodes areolatus,Meloe ganglbaueri,0.3203,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Hadraule elongatula,Dolichocera tessellatus,0.3663,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ceracis sallei,Ennearthron sallei,0.5832,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Attagenus fasciatus,Ceracis convergens,0.4615,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Orthocis coluber,Orthocis latifrons,0.7046,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Meloe brevicollis,Meloe puncticollis,0.6886,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Palaestra guerini,Zonitis guerini,0.6047,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Hadraule elongatula,Hadraule striata,0.677,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Orthocis linearis,Orthocis perrisi,0.6864,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Cantharis lithophilus,Lytta lithophila,0.6736,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Hadraule elongatula,Dzeregia juxta,0.4103,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Sulcacis curtulus,Sulcacis sorror,0.7425,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Cis striatulus,Cerocoma viridis,0.4415,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Meloe brevicollis,Meloe cephalotes,0.6419,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ceracis californicus,Ennearthron concinnum,0.37,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Hycleus phaleratus,Meloe phalerata,0.5229,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ceracis thoracicornis,Ceracis laminifrons,0.7095,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ceracis monocerus,Ceracis unicornis,0.696,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Eurymeloe ganglbaueri,Meloe ganglbaueri,0.7028,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Dolichocera tessellata,Xylographus lemoulti,0.2918,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Theticephalus nigriceps,Dissia nigriceps,0.6959,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ceracis thoracicornis,Cryptorhopalum brevicorne,0.416,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ademosynoides juxta,Dzeregia juxta,0.6859,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Meloe cicatricosus,Meloe cicatricosus,1.0,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Malacocis brevicollis,Ennearthron coloradensis,0.2531,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Thaumaglossa anthrenoides,Pseudothaumaglossa anthrenoides,0.8192,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Zherikhinia distylia,Ceracis mellyi,0.4712,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
