species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Celiptera levina,Celiptera pallidior,0.7057,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Gogana kerara,Phalacra kerara,0.7643,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Eupterote mollifera,Spilobasis honei,0.4164,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cyme sexualis,Odites isosticha,0.431,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Macroplectrina apicalis,Dysschema funeralis,0.4217,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Soteira altilis,Tethea duplaris,0.513,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Argyresthia ivella,Momopola miltogramma,0.3815,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Astatochroa sulphurata,Psiloreta obsoleta,0.5844,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Leucanopsis nebulosa,Eupterote contaminata,0.4142,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Amphitorna olga,Oreta loga,0.5296,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Altha peralbida,Thosea peralbida,0.7257,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Eupterote undata,Eupterote nigricans,0.6546,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Euclea delphinii,Euclea interjecta,0.6998,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Eloasa atmodes,Parasa atmodes,0.7283,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Microcolona phanarcha,Oreta miltodes,0.3898,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Euclystis angularis,Wernya fufifasciata,0.3973,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Phiala pseudatomaria,Stenoglene sigyna,0.3994,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Zauclophora metaphaeella,Antapistis digestalis,0.3789,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Comanula uniformis,Psiloreta patiens,0.4163,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Toxoides undulata,Toxoides longipennis,0.7376,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Aphendala unicolor,Oreta gonioptera,0.5217,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Eupterote mollifera,Asura coccineoflammeus,0.4362,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Creatonotos gangis,Thosea transversata,0.4036,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ochropacha duplaris,Cymatophora undosa,0.4004,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Eupterote citrina,Eupterote lutosa,0.7498,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Phiala bistrigata,Phiala curvistriga,0.7161,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Celiptera levina,Celiptera variolosa,0.7069,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ditrigona micronioides,Corycia virgo,0.4592,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Tridrepana albonotata,Iridrepana glaciata,0.6512,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Choerotricha atrosquama,Asura bougainvillei,0.3906,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Callindra nepos,Doratifera hemistaura,0.4459,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Dysschema magdala,Dysschema panamensis,0.6577,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Cyligramma limacina,Cyligramma intellecta,0.7248,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Scieropepla reversella,Latoia mutifascia,0.4398,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Tridrepana lunulata,Apluda syngrapha,0.4308,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Narosopsis leucospila,Palirisa chocolatina,0.5224,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Phiala cunina,Lyclene reticulata,0.3763,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Argyresthia abdominalis,Argyresthia inauratella,0.77,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Comana miltochyta,Susica miltochyta,0.7453,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Hindothosea cervina,Thosea duplexa,0.6141,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Liocrops carnosa,Phalacropsis carnosa,0.6687,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Sangatissa subcurvifera,Sangatissa citrinula,0.7638,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Epipsestis bilineata,Aganoptila durata,0.4675,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Circeida mutifascia,Lyclene vagilinea,0.4049,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Agnoea colurnella,Borkhausenia detrimentella,0.4821,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Eupterote fabia,Eupterote lucia,0.6915,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Telecrates laetiorella,Euclystis facunda,0.4345,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Tridrepana sadana,Drepana sadana,0.6402,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Argyresthia curvella,Euclystis polioperas,0.4737,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cyme basitesselata,Psiloreta rufula,0.4889,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Celiptera frustulum,Eloasa liasarca,0.459,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Calonotos helymus,Calonotos aterrima,0.6452,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Diurnea fagella,Chimabacche fagella,0.5744,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Catoryctis subparallela,Susica fusca,0.5055,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Caissa fasciatum,Ceratonema fasciatum,0.6345,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Falcaria lacertinaria,Phalaena lacertula,0.6825,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Eupterote undata,Diurnea lipsiella,0.2614,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Jana strigina,Hildala uniformis,0.3885,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Alphaea imbuta,Janomima westwoodi,0.2767,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Albarracina warionis,Albarracina banghaasi,0.7358,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Euphalacra trifenestrata,Ectothyris trifenestrata,0.7749,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Eupterote domina,Eupterote pulchra,0.6902,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Acantharctia latifusca,Lyclene diehli,0.3052,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Chalcocelis albiguttatus,Urogonodes inconspicua,0.4583,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cyme miltochristaemorpha,Asura aureorosea,0.3773,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Gonojana dimidiata,Euclystis epulea,0.3426,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Soteira ostia,Latoia pseudostia,0.4869,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Calonotos triplaga,Peridrepana derocina,0.4544,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Trachydora porphyrescens,Pogonias porphyrescens,0.668,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Sangatissa subcurvifera,Sangatissa albipars,0.7331,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Trachydora heliotricha,Euclystis sublineata,0.3558,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Oreta extensa,Hemijana distincta,0.3916,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Nordstromia vira,Achlya signatipennis,0.3331,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Scopelodes unicolor,Phalacropsis pseudoluteata,0.482,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Euphlyctina phaeopasta,Araeogyia phaeopasta,0.742,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Stenoglene roseus,Adites maculata,0.2716,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Poloma angulata,Poloma angulifera,0.8967,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Hadraphe ethiopica,Scirrhoma ethiopica,0.6801,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Epijana cosmia,Epijana lanosa,0.7578,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Lichenaula phloeochroa,Lichenaula provisa,0.6938,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Agnoea fuscifrontella,Pseudlepista flavicosta,0.5275,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Alphaea imbuta,Leucanopsis coniata,0.4632,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cabardites pica,Aemene fuscipennis,0.3298,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Hibrildes norax,Hibrildes spiritalis,0.7117,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Agnoea colurnella,Hibrildes venosa,0.4484,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cyrtojana trilineata,Cyrtojana apithana,0.7864,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Comana albibasis,Aemene fuscipennis,0.3125,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Thyatira batis,Palimpsestis renalis,0.4208,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Eupterote domina,Psiloreta sulphurata,0.4275,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Cophomantella pumicata,Cophomantis pumicata,0.89,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Eupterote undata,Phyllalia incerta,0.4094,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Agnoea langohri,Hibrildes carpenteri,0.3493,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Susica sinensis,Oreta rotundipex,0.3238,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Sabra harpagula,Oglasa afflicta,0.4378,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Euclea cippus,Bombyx cippus,0.5826,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Cyme biagi,Tadema sinensis,0.2333,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Drapetodes mitaria,Lepidolutzia costistrigata,0.5274,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Macrocneme chrysitis,Macrocneme iole,0.7455,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Cabardites limbata,Aemene formosibia,0.3563,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Narosoideus flavidorsalis,Albarracina autumnalis,0.4682,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Telecrates melanochrysa,Thosea luxa,0.3774,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.6908,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Dysschema subapicalis,Paryphanta personata,0.4068,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
