species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.9886,synonym,BAAI/bge-reranker-base,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.996,synonym,BAAI/bge-reranker-base,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.8986,synonym,BAAI/bge-reranker-base,0.7,0
Meloe rugosus,Meloe rugulosus,0.8223,synonym,BAAI/bge-reranker-base,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.7996,synonym,BAAI/bge-reranker-base,0.7,0
Ceracis curtus,Ceracis obesus,0.7014,synonym,BAAI/bge-reranker-base,0.7,1
Cis tristis,Cis falli,0.9991,synonym,BAAI/bge-reranker-base,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.983,synonym,BAAI/bge-reranker-base,0.7,1
Ceracis curtus,Ropalodontus strandi,0.999,synonym,BAAI/bge-reranker-base,0.7,0
Ceracis californicus,Cis minutissimus,0.9946,synonym,BAAI/bge-reranker-base,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.9824,synonym,BAAI/bge-reranker-base,0.7,1
Trogoderma grassmani,Xestocis singularis,0.9637,synonym,BAAI/bge-reranker-base,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.7353,synonym,BAAI/bge-reranker-base,0.7,0
Ceracis californicus,Ennearthron affine,0.9506,synonym,BAAI/bge-reranker-base,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.9213,synonym,BAAI/bge-reranker-base,0.7,0
Meloe rugosus,Ceracis laminifrons,0.8974,synonym,BAAI/bge-reranker-base,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.9175,synonym,BAAI/bge-reranker-base,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.973,synonym,BAAI/bge-reranker-base,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.9971,synonym,BAAI/bge-reranker-base,0.7,0
Cis ephippiatus,Ennearthron militaris,0.7335,synonym,BAAI/bge-reranker-base,0.7,0
Palaestra guerini,Telephorus guerinii,0.9662,synonym,BAAI/bge-reranker-base,0.7,1
