species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Celiptera levina,Celiptera pallidior,0.9189,synonym,BAAI/bge-reranker-base,0.7,1
Gogana kerara,Phalacra kerara,1.0,synonym,BAAI/bge-reranker-base,0.7,1
Eupterote mollifera,Spilobasis honei,0.86,synonym,BAAI/bge-reranker-base,0.7,0
Cyme sexualis,Odites isosticha,0.9842,synonym,BAAI/bge-reranker-base,0.7,0
Macroplectrina apicalis,Dysschema funeralis,0.8795,synonym,BAAI/bge-reranker-base,0.7,0
Soteira altilis,Tethea duplaris,0.8823,synonym,BAAI/bge-reranker-base,0.7,0
Argyresthia ivella,Momopola miltogramma,0.9014,synonym,BAAI/bge-reranker-base,0.7,0
Astatochroa sulphurata,Psiloreta obsoleta,0.7101,synonym,BAAI/bge-reranker-base,0.7,1
Leucanopsis nebulosa,Eupterote contaminata,0.9944,synonym,BAAI/bge-reranker-base,0.7,0
Amphitorna olga,Oreta loga,0.7163,synonym,BAAI/bge-reranker-base,0.7,1
Altha peralbida,Thosea peralbida,0.9784,synonym,BAAI/bge-reranker-base,0.7,1
Eupterote undata,Eupterote nigricans,0.7666,synonym,BAAI/bge-reranker-base,0.7,1
Euclea delphinii,Euclea interjecta,0.9814,synonym,BAAI/bge-reranker-base,0.7,1
Eloasa atmodes,Parasa atmodes,0.9999,synonym,BAAI/bge-reranker-base,0.7,1
Microcolona phanarcha,Oreta miltodes,0.8649,synonym,BAAI/bge-reranker-base,0.7,0
Euclystis angularis,Wernya fufifasciata,0.5448,not synonym,BAAI/bge-reranker-base,0.7,0
Phiala pseudatomaria,Stenoglene sigyna,0.9939,synonym,BAAI/bge-reranker-base,0.7,1
Zauclophora metaphaeella,Antapistis digestalis,0.7099,synonym,BAAI/bge-reranker-base,0.7,0
Comanula uniformis,Psiloreta patiens,0.9991,synonym,BAAI/bge-reranker-base,0.7,0
Toxoides undulata,Toxoides longipennis,0.9663,synonym,BAAI/bge-reranker-base,0.7,1
Aphendala unicolor,Oreta gonioptera,0.897,synonym,BAAI/bge-reranker-base,0.7,0
Eupterote mollifera,Asura coccineoflammeus,0.9499,synonym,BAAI/bge-reranker-base,0.7,0
Creatonotos gangis,Thosea transversata,0.9686,synonym,BAAI/bge-reranker-base,0.7,0
Ochropacha duplaris,Cymatophora undosa,0.9767,synonym,BAAI/bge-reranker-base,0.7,1
Eupterote citrina,Eupterote lutosa,0.8957,synonym,BAAI/bge-reranker-base,0.7,1
Phiala bistrigata,Phiala curvistriga,0.8245,synonym,BAAI/bge-reranker-base,0.7,1
Celiptera levina,Celiptera variolosa,0.9634,synonym,BAAI/bge-reranker-base,0.7,1
Ditrigona micronioides,Corycia virgo,0.795,synonym,BAAI/bge-reranker-base,0.7,0
Tridrepana albonotata,Iridrepana glaciata,0.9937,synonym,BAAI/bge-reranker-base,0.7,1
Choerotricha atrosquama,Asura bougainvillei,0.8882,synonym,BAAI/bge-reranker-base,0.7,0
Callindra nepos,Doratifera hemistaura,0.8482,synonym,BAAI/bge-reranker-base,0.7,0
Dysschema magdala,Dysschema panamensis,0.7998,synonym,BAAI/bge-reranker-base,0.7,1
Cyligramma limacina,Cyligramma intellecta,0.9706,synonym,BAAI/bge-reranker-base,0.7,1
Scieropepla reversella,Latoia mutifascia,0.9966,synonym,BAAI/bge-reranker-base,0.7,0
Tridrepana lunulata,Apluda syngrapha,0.9812,synonym,BAAI/bge-reranker-base,0.7,0
Narosopsis leucospila,Palirisa chocolatina,0.8306,synonym,BAAI/bge-reranker-base,0.7,0
Phiala cunina,Lyclene reticulata,0.9789,synonym,BAAI/bge-reranker-base,0.7,0
Argyresthia abdominalis,Argyresthia inauratella,0.5836,not synonym,BAAI/bge-reranker-base,0.7,1
Comana miltochyta,Susica miltochyta,0.9897,synonym,BAAI/bge-reranker-base,0.7,1
Hindothosea cervina,Thosea duplexa,0.853,synonym,BAAI/bge-reranker-base,0.7,1
Liocrops carnosa,Phalacropsis carnosa,0.9253,synonym,BAAI/bge-reranker-base,0.7,1
Sangatissa subcurvifera,Sangatissa citrinula,0.9988,synonym,BAAI/bge-reranker-base,0.7,1
Epipsestis bilineata,Aganoptila durata,0.966,synonym,BAAI/bge-reranker-base,0.7,0
Circeida mutifascia,Lyclene vagilinea,0.9994,synonym,BAAI/bge-reranker-base,0.7,0
Agnoea colurnella,Borkhausenia detrimentella,0.9071,synonym,BAAI/bge-reranker-base,0.7,0
Eupterote fabia,Eupterote lucia,0.9984,synonym,BAAI/bge-reranker-base,0.7,1
Telecrates laetiorella,Euclystis facunda,0.9353,synonym,BAAI/bge-reranker-base,0.7,0
Tridrepana sadana,Drepana sadana,0.998,synonym,BAAI/bge-reranker-base,0.7,1
Argyresthia curvella,Euclystis polioperas,0.9659,synonym,BAAI/bge-reranker-base,0.7,0
Cyme basitesselata,Psiloreta rufula,0.9929,synonym,BAAI/bge-reranker-base,0.7,0
Celiptera frustulum,Eloasa liasarca,0.949,synonym,BAAI/bge-reranker-base,0.7,0
Calonotos helymus,Calonotos aterrima,0.9988,synonym,BAAI/bge-reranker-base,0.7,1
Diurnea fagella,Chimabacche fagella,0.9669,synonym,BAAI/bge-reranker-base,0.7,1
Catoryctis subparallela,Susica fusca,0.9998,synonym,BAAI/bge-reranker-base,0.7,0
Caissa fasciatum,Ceratonema fasciatum,0.9998,synonym,BAAI/bge-reranker-base,0.7,1
Falcaria lacertinaria,Phalaena lacertula,0.9999,synonym,BAAI/bge-reranker-base,0.7,1
Eupterote undata,Diurnea lipsiella,0.9968,synonym,BAAI/bge-reranker-base,0.7,0
Jana strigina,Hildala uniformis,0.9957,synonym,BAAI/bge-reranker-base,0.7,0
Alphaea imbuta,Janomima westwoodi,0.9108,synonym,BAAI/bge-reranker-base,0.7,0
Albarracina warionis,Albarracina banghaasi,0.9065,synonym,BAAI/bge-reranker-base,0.7,1
Euphalacra trifenestrata,Ectothyris trifenestrata,0.7043,synonym,BAAI/bge-reranker-base,0.7,1
Eupterote domina,Eupterote pulchra,0.9442,synonym,BAAI/bge-reranker-base,0.7,1
Acantharctia latifusca,Lyclene diehli,0.9533,synonym,BAAI/bge-reranker-base,0.7,0
Chalcocelis albiguttatus,Urogonodes inconspicua,0.9764,synonym,BAAI/bge-reranker-base,0.7,0
Cyme miltochristaemorpha,Asura aureorosea,0.9147,synonym,BAAI/bge-reranker-base,0.7,1
Gonojana dimidiata,Euclystis epulea,0.9461,synonym,BAAI/bge-reranker-base,0.7,0
Soteira ostia,Latoia pseudostia,0.9975,synonym,BAAI/bge-reranker-base,0.7,1
Calonotos triplaga,Peridrepana derocina,0.9957,synonym,BAAI/bge-reranker-base,0.7,0
Trachydora porphyrescens,Pogonias porphyrescens,0.8891,synonym,BAAI/bge-reranker-base,0.7,1
Sangatissa subcurvifera,Sangatissa albipars,0.9576,synonym,BAAI/bge-reranker-base,0.7,1
Trachydora heliotricha,Euclystis sublineata,0.9985,synonym,BAAI/bge-reranker-base,0.7,0
Oreta extensa,Hemijana distincta,0.3831,not synonym,BAAI/bge-reranker-base,0.7,0
Nordstromia vira,Achlya signatipennis,0.9998,synonym,BAAI/bge-reranker-base,0.7,0
Scopelodes unicolor,Phalacropsis pseudoluteata,0.9559,synonym,BAAI/bge-reranker-base,0.7,0
Euphlyctina phaeopasta,Araeogyia phaeopasta,0.9095,synonym,BAAI/bge-reranker-base,0.7,1
Stenoglene roseus,Adites maculata,0.9679,synonym,BAAI/bge-reranker-base,0.7,0
Poloma angulata,Poloma angulifera,0.9975,synonym,BAAI/bge-reranker-base,0.7,1
Hadraphe ethiopica,Scirrhoma ethiopica,0.9852,synonym,BAAI/bge-reranker-base,0.7,1
Epijana cosmia,Epijana lanosa,0.8342,synonym,BAAI/bge-reranker-base,0.7,1
Lichenaula phloeochroa,Lichenaula provisa,0.899,synonym,BAAI/bge-reranker-base,0.7,1
Agnoea fuscifrontella,Pseudlepista flavicosta,0.8962,synonym,BAAI/bge-reranker-base,0.7,0
Alphaea imbuta,Leucanopsis coniata,0.9269,synonym,BAAI/bge-reranker-base,0.7,0
Cabardites pica,Aemene fuscipennis,0.8728,synonym,BAAI/bge-reranker-base,0.7,1
Hibrildes norax,Hibrildes spiritalis,0.9998,synonym,BAAI/bge-reranker-base,0.7,1
Agnoea colurnella,Hibrildes venosa,0.9469,synonym,BAAI/bge-reranker-base,0.7,0
Cyrtojana trilineata,Cyrtojana apithana,0.9553,synonym,BAAI/bge-reranker-base,0.7,1
Comana albibasis,Aemene fuscipennis,0.9877,synonym,BAAI/bge-reranker-base,0.7,0
Thyatira batis,Palimpsestis renalis,0.9056,synonym,BAAI/bge-reranker-base,0.7,0
Eupterote domina,Psiloreta sulphurata,0.9993,synonym,BAAI/bge-reranker-base,0.7,0
Cophomantella pumicata,Cophomantis pumicata,0.9689,synonym,BAAI/bge-reranker-base,0.7,1
Eupterote undata,Phyllalia incerta,0.8505,synonym,BAAI/bge-reranker-base,0.7,0
Agnoea langohri,Hibrildes carpenteri,0.9469,synonym,BAAI/bge-reranker-base,0.7,0
Susica sinensis,Oreta rotundipex,0.4362,not synonym,BAAI/bge-reranker-base,0.7,0
Sabra harpagula,Oglasa afflicta,0.7719,synonym,BAAI/bge-reranker-base,0.7,0
Euclea cippus,Bombyx cippus,0.9975,synonym,BAAI/bge-reranker-base,0.7,1
Cyme biagi,Tadema sinensis,0.933,synonym,BAAI/bge-reranker-base,0.7,0
Drapetodes mitaria,Lepidolutzia costistrigata,0.7751,synonym,BAAI/bge-reranker-base,0.7,0
Macrocneme chrysitis,Macrocneme iole,0.8104,synonym,BAAI/bge-reranker-base,0.7,1
Cabardites limbata,Aemene formosibia,0.9418,synonym,BAAI/bge-reranker-base,0.7,1
Narosoideus flavidorsalis,Albarracina autumnalis,0.9585,synonym,BAAI/bge-reranker-base,0.7,0
Telecrates melanochrysa,Thosea luxa,0.9922,synonym,BAAI/bge-reranker-base,0.7,0
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.9243,synonym,BAAI/bge-reranker-base,0.7,1
Dysschema subapicalis,Paryphanta personata,0.8146,synonym,BAAI/bge-reranker-base,0.7,0
Dysschema mariamne,Melanaema asuroides,0.6217,not synonym,BAAI/bge-reranker-base,0.7,0
Cyclidia rectificata,Phyllalia acuta,0.9997,synonym,BAAI/bge-reranker-base,0.7,0
