species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.9144,synonym,BAAI/bge-reranker-large,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.9925,synonym,BAAI/bge-reranker-large,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.9998,synonym,BAAI/bge-reranker-large,0.7,0
Meloe rugosus,Meloe rugulosus,0.9891,synonym,BAAI/bge-reranker-large,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.961,synonym,BAAI/bge-reranker-large,0.7,0
Ceracis curtus,Ceracis obesus,0.9841,synonym,BAAI/bge-reranker-large,0.7,1
Cis tristis,Cis falli,0.9938,synonym,BAAI/bge-reranker-large,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.9681,synonym,BAAI/bge-reranker-large,0.7,1
Ceracis curtus,Ropalodontus strandi,0.9956,synonym,BAAI/bge-reranker-large,0.7,0
Ceracis californicus,Cis minutissimus,0.9472,synonym,BAAI/bge-reranker-large,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.9052,synonym,BAAI/bge-reranker-large,0.7,1
Trogoderma grassmani,Xestocis singularis,0.8897,synonym,BAAI/bge-reranker-large,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.9799,synonym,BAAI/bge-reranker-large,0.7,0
Ceracis californicus,Ennearthron affine,0.9952,synonym,BAAI/bge-reranker-large,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.9941,synonym,BAAI/bge-reranker-large,0.7,0
Meloe rugosus,Ceracis laminifrons,0.9392,synonym,BAAI/bge-reranker-large,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.9567,synonym,BAAI/bge-reranker-large,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.984,synonym,BAAI/bge-reranker-large,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.7824,synonym,BAAI/bge-reranker-large,0.7,0
Cis ephippiatus,Ennearthron militaris,0.9417,synonym,BAAI/bge-reranker-large,0.7,0
Palaestra guerini,Telephorus guerinii,0.995,synonym,BAAI/bge-reranker-large,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.9876,synonym,BAAI/bge-reranker-large,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.734,synonym,BAAI/bge-reranker-large,0.7,0
Cis castaneus,Cis alter,0.9799,synonym,BAAI/bge-reranker-large,0.7,1
Cis festivus,Attagenus megatoma,0.837,synonym,BAAI/bge-reranker-large,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9962,synonym,BAAI/bge-reranker-large,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.9198,synonym,BAAI/bge-reranker-large,0.7,0
Hadraule elongatula,Hadraule coarctata,0.9984,synonym,BAAI/bge-reranker-large,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.9875,synonym,BAAI/bge-reranker-large,0.7,1
Ceracis cornifer,Ennearthron piceus,0.9996,synonym,BAAI/bge-reranker-large,0.7,0
Eurymeloe murinus,Meloe murinus,0.9462,synonym,BAAI/bge-reranker-large,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.9944,synonym,BAAI/bge-reranker-large,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.9886,synonym,BAAI/bge-reranker-large,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.8789,synonym,BAAI/bge-reranker-large,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.9851,synonym,BAAI/bge-reranker-large,0.7,0
Attagenus australis,Attagenus elongatus,0.7413,synonym,BAAI/bge-reranker-large,0.7,0
Ceracis curtus,Cis obesus,0.9936,synonym,BAAI/bge-reranker-large,0.7,1
Zonitis chrysomeloides,Strigocis davisi,0.9995,synonym,BAAI/bge-reranker-large,0.7,0
Cybocephalus politissimus,Anthribus minimus,0.8334,synonym,BAAI/bge-reranker-large,0.7,0
Orphinus fulvipes,Ennearthron pallidus,0.8378,synonym,BAAI/bge-reranker-large,0.7,0
