species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.9962,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.9963,synonym,BAAI/bge-reranker-v2-m3,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.9905,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Meloe rugosus,Meloe rugulosus,0.9953,synonym,BAAI/bge-reranker-v2-m3,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.989,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Ceracis curtus,Ceracis obesus,0.9976,synonym,BAAI/bge-reranker-v2-m3,0.7,1
Cis tristis,Cis falli,0.9521,synonym,BAAI/bge-reranker-v2-m3,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.9976,synonym,BAAI/bge-reranker-v2-m3,0.7,1
Ceracis curtus,Ropalodontus strandi,0.9626,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Ceracis californicus,Cis minutissimus,0.9868,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.998,synonym,BAAI/bge-reranker-v2-m3,0.7,1
Trogoderma grassmani,Xestocis singularis,0.9943,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.9855,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Ceracis californicus,Ennearthron affine,0.9122,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.9944,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Meloe rugosus,Ceracis laminifrons,0.9942,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.9968,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.9682,synonym,BAAI/bge-reranker-v2-m3,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.9828,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Cis ephippiatus,Ennearthron militaris,0.9467,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Palaestra guerini,Telephorus guerinii,0.9969,synonym,BAAI/bge-reranker-v2-m3,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.9904,synonym,BAAI/bge-reranker-v2-m3,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.9142,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Cis castaneus,Cis alter,0.8955,synonym,BAAI/bge-reranker-v2-m3,0.7,1
Cis festivus,Attagenus megatoma,0.9791,synonym,BAAI/bge-reranker-v2-m3,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9996,synonym,BAAI/bge-reranker-v2-m3,0.7,1
