species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.7757,synonym,intfloat/e5-base-v2,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.895,synonym,intfloat/e5-base-v2,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.7922,synonym,intfloat/e5-base-v2,0.7,0
Meloe rugosus,Meloe rugulosus,0.9787,synonym,intfloat/e5-base-v2,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.7841,synonym,intfloat/e5-base-v2,0.7,0
Ceracis curtus,Ceracis obesus,0.9103,synonym,intfloat/e5-base-v2,0.7,1
Cis tristis,Cis falli,0.8835,synonym,intfloat/e5-base-v2,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.8859,synonym,intfloat/e5-base-v2,0.7,1
Ceracis curtus,Ropalodontus strandi,0.7652,synonym,intfloat/e5-base-v2,0.7,0
Ceracis californicus,Cis minutissimus,0.786,synonym,intfloat/e5-base-v2,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.9108,synonym,intfloat/e5-base-v2,0.7,1
Trogoderma grassmani,Xestocis singularis,0.7705,synonym,intfloat/e5-base-v2,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.7946,synonym,intfloat/e5-base-v2,0.7,0
Ceracis californicus,Ennearthron affine,0.7514,synonym,intfloat/e5-base-v2,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.7687,synonym,intfloat/e5-base-v2,0.7,0
Meloe rugosus,Ceracis laminifrons,0.7965,synonym,intfloat/e5-base-v2,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.9081,synonym,intfloat/e5-base-v2,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.8874,synonym,intfloat/e5-base-v2,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.8085,synonym,intfloat/e5-base-v2,0.7,0
Cis ephippiatus,Ennearthron militaris,0.8249,synonym,intfloat/e5-base-v2,0.7,0
Palaestra guerini,Telephorus guerinii,0.8678,synonym,intfloat/e5-base-v2,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.9287,synonym,intfloat/e5-base-v2,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.753,synonym,intfloat/e5-base-v2,0.7,0
Cis castaneus,Cis alter,0.8769,synonym,intfloat/e5-base-v2,0.7,1
Cis festivus,Attagenus megatoma,0.7761,synonym,intfloat/e5-base-v2,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9907,synonym,intfloat/e5-base-v2,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.7295,synonym,intfloat/e5-base-v2,0.7,0
Hadraule elongatula,Hadraule coarctata,0.8722,synonym,intfloat/e5-base-v2,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.9046,synonym,intfloat/e5-base-v2,0.7,1
Ceracis cornifer,Ennearthron piceus,0.8003,synonym,intfloat/e5-base-v2,0.7,0
Eurymeloe murinus,Meloe murinus,0.9268,synonym,intfloat/e5-base-v2,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.7801,synonym,intfloat/e5-base-v2,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.8623,synonym,intfloat/e5-base-v2,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.7951,synonym,intfloat/e5-base-v2,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.7897,synonym,intfloat/e5-base-v2,0.7,0
Attagenus australis,Attagenus elongatus,0.9179,synonym,intfloat/e5-base-v2,0.7,0
Ceracis curtus,Cis obesus,0.8253,synonym,intfloat/e5-base-v2,0.7,1
Zonitis chrysomeloides,Strigocis davisi,0.7922,synonym,intfloat/e5-base-v2,0.7,0
Cybocephalus politissimus,Anthribus minimus,0.8022,synonym,intfloat/e5-base-v2,0.7,0
Orphinus fulvipes,Ennearthron pallidus,0.8122,synonym,intfloat/e5-base-v2,0.7,0
Strigocis bilimeki,Cis bilimeka,0.8658,synonym,intfloat/e5-base-v2,0.7,1
Octotemnus laevis,Trachypachus holmbergi,0.7765,synonym,intfloat/e5-base-v2,0.7,0
Hycleus phaleratus,Mylabris phalerata,0.8714,synonym,intfloat/e5-base-v2,0.7,1
Ceracis californicus,Ennearthron oregonus,0.808,synonym,intfloat/e5-base-v2,0.7,1
