species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,pooling
Xylorycta castanea,Lichenaula castanea,0.9997,synonym,gpt2-medium,0.7,last_token
Xylorycta luteotactella,Cryptolechia cognatella,0.9977,synonym,gpt2-medium,0.7,last_token
Xylorycta luteotactella,Cryptolechia luteotactella,0.9994,synonym,gpt2-medium,0.7,last_token
Xylorycta nivella,Cryptolechia nivella,0.9996,synonym,gpt2-medium,0.7,last_token
Xylorycta stereodesma,Xylorycta prospicua,0.9984,synonym,gpt2-medium,0.7,last_token
Xylorycta polysticha,Lichenaula polysticha,0.9948,synonym,gpt2-medium,0.7,last_token
Xylorycta heliomacula,Telecrates heliomacula,0.9977,synonym,gpt2-medium,0.7,last_token
Xylorycta assimilis,Xylorycta terenopis,0.999,synonym,gpt2-medium,0.7,last_token
Xylorycta haplochroa,Lichenaula haplochroa,0.9986,synonym,gpt2-medium,0.7,last_token
Xylorycta haplochroa,Lichenaula umbrosa,0.9841,synonym,gpt2-medium,0.7,last_token
Xylorycta cygnella,Cryptolechia cygnella,0.9995,synonym,gpt2-medium,0.7,last_token
Xylorycta calligramma,Telecrates calligramma,0.9967,synonym,gpt2-medium,0.7,last_token
Xylorycta streptogramma,Telecrates streptogramma,0.9992,synonym,gpt2-medium,0.7,last_token
Xylorycta ovata,Antaeotricha ovata,0.9997,synonym,gpt2-medium,0.7,last_token
Xylorycta candescens,Lichenaula dissimilis,0.9981,synonym,gpt2-medium,0.7,last_token
Xylorycta strigata,Cryptophasa strigata,0.9993,synonym,gpt2-medium,0.7,last_token
Xylorycta apheles,Neodrepta apheles,0.9968,synonym,gpt2-medium,0.7,last_token
Xylorycta apheles,Xylorycta lychnobii,0.9912,synonym,gpt2-medium,0.7,last_token
Xylorycta argentella,Cryptolechia argentella,0.9992,synonym,gpt2-medium,0.7,last_token
Synchalara rhombota,Agriophara rhombota,0.9994,synonym,gpt2-medium,0.7,last_token
Paralecta tinctoria,Xylorycta tinctoria,0.9997,synonym,gpt2-medium,0.7,last_token
Sphalerostola epierana,Exapateter epierana,0.9973,synonym,gpt2-medium,0.7,last_token
Metathrinca ancistrias,Ptochoryctis ancistrias,0.9991,synonym,gpt2-medium,0.7,last_token
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.9993,synonym,gpt2-medium,0.7,last_token
Metathrinca illuvialis,Ptochoryctis illuvialis,0.9996,synonym,gpt2-medium,0.7,last_token
Metathrinca intacta,Ptochoryctis intacta,0.9996,synonym,gpt2-medium,0.7,last_token
Metathrinca loranthivora,Ptochoryctis loranthivora,0.9994,synonym,gpt2-medium,0.7,last_token
Metathrinca parabola,Ptochoryctis parabola,0.9966,synonym,gpt2-medium,0.7,last_token
Metathrinca rosaria,Ptochoryctis rosaria,0.9995,synonym,gpt2-medium,0.7,last_token
Metathrinca tsugensis,Ptochoryctis tsugensis,0.9993,synonym,gpt2-medium,0.7,last_token
Liparistis monosema,Lichenaula monosema,0.9988,synonym,gpt2-medium,0.7,last_token
Athrypsiastis candidella,Topiris candidella,0.9983,synonym,gpt2-medium,0.7,last_token
Bida radiosella,Bida crambella,0.9973,synonym,gpt2-medium,0.7,last_token
Bida radiosella,Psecadia radiosella,0.9998,synonym,gpt2-medium,0.7,last_token
Perixestis rhizophaga,Xylorycta rhizophaga,0.9994,synonym,gpt2-medium,0.7,last_token
Phthonerodes scotarcha,Psilosceles dichochroa,0.9964,synonym,gpt2-medium,0.7,last_token
Iulactis insignis,Dectobathra insignis,0.9992,synonym,gpt2-medium,0.7,last_token
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.9978,synonym,gpt2-medium,0.7,last_token
Neospastis encryphias,Agriophara encryphias,0.9995,synonym,gpt2-medium,0.7,last_token
Neospastis ichnaea,Stenoma ichnaea,0.9998,synonym,gpt2-medium,0.7,last_token
Philarista porphyrinella,Brunia intersecta,0.9975,synonym,gpt2-medium,0.7,last_token
Philarista porphyrinella,Cryptolechia porphyrinella,0.9997,synonym,gpt2-medium,0.7,last_token
Cyanocrates grandis,Cyanocrates signata,0.9986,synonym,gpt2-medium,0.7,last_token
Cyanocrates grandis,Ommatothelxis grandis,0.9996,synonym,gpt2-medium,0.7,last_token
Lichenaula afflictella,Cryptolechia afflictella,0.9989,synonym,gpt2-medium,0.7,last_token
Lichenaula lichenea,Lichenaula lichenaea,0.9994,synonym,gpt2-medium,0.7,last_token
Lichenaula cryptoleuca,Phthonerodes cryptoleuca,0.9895,synonym,gpt2-medium,0.7,last_token
Lichenaula laniata,Lichenaula sternoides,0.9991,synonym,gpt2-medium,0.7,last_token
Lichenaula comparella,Lichenaula callisema,0.9978,synonym,gpt2-medium,0.7,last_token
Lichenaula comparella,Oecophora comparella,0.9997,synonym,gpt2-medium,0.7,last_token
Lichenaula anthracopsara,Phthonerodes anthracopsara,0.9971,synonym,gpt2-medium,0.7,last_token
Lichenaula phloeochroa,Lichenaula provisa,0.9976,synonym,gpt2-medium,0.7,last_token
Lichenaula maculosa,Polynesa maculosa,0.9993,synonym,gpt2-medium,0.7,last_token
Heterochyta aprepta,Heterochyta abrepta,0.9998,synonym,gpt2-medium,0.7,last_token
Heterochyta aprepta,Macrobela aprepta,0.9997,synonym,gpt2-medium,0.7,last_token
Heterochyta infesta,Heterobathra infesta,0.9998,synonym,gpt2-medium,0.7,last_token
Catoryctis leucomerata,Phthonerodes leucomerata,0.9996,synonym,gpt2-medium,0.7,last_token
Catoryctis sciastis,Xylorycta sciastis,0.9997,synonym,gpt2-medium,0.7,last_token
Catoryctis subnexella,Oecophora subnexella,0.9998,synonym,gpt2-medium,0.7,last_token
Catoryctis subparallela,Oecophora fissulella,0.9979,synonym,gpt2-medium,0.7,last_token
Catoryctis subparallela,Oecophora nexella,0.9986,synonym,gpt2-medium,0.7,last_token
Catoryctis subparallela,Oecophora subparallela,0.9996,synonym,gpt2-medium,0.7,last_token
Brachybelistis blackburnii,Cryptophaga blackburnii,0.9993,synonym,gpt2-medium,0.7,last_token
Brachybelistis pentachroa,Xylorycta pentachroa,0.9995,synonym,gpt2-medium,0.7,last_token
Telecrates desmochrysa,Telecrates nigricansella,0.992,synonym,gpt2-medium,0.7,last_token
Telecrates laetiorella,Oecophora laetiorella,0.9951,synonym,gpt2-medium,0.7,last_token
Telecrates melanochrysa,Xylorycta melanochrysa,0.9971,synonym,gpt2-medium,0.7,last_token
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.9996,synonym,gpt2-medium,0.7,last_token
Thymiatris allocrossa,Lichenaula allocrossa,0.9981,synonym,gpt2-medium,0.7,last_token
Thymiatris cephalochra,Xylorycta cephalochra,0.9991,synonym,gpt2-medium,0.7,last_token
Leptobelistis isthmodes,Oegoconia isthmodes,0.9976,synonym,gpt2-medium,0.7,last_token
Plectophila acrochroa,Xylorycta acrochroa,0.9991,synonym,gpt2-medium,0.7,last_token
Plectophila discalis,Acontia discalis,0.9988,synonym,gpt2-medium,0.7,last_token
Plectophila discalis,Lichenaula inscripta,0.9987,synonym,gpt2-medium,0.7,last_token
Plectophila discalis,Lichenaula ombralota,0.9954,synonym,gpt2-medium,0.7,last_token
Plectophila discalis,Lichenaula oxygona,0.9974,synonym,gpt2-medium,0.7,last_token
Plectophila electella,Oecophora electella,0.9994,synonym,gpt2-medium,0.7,last_token
Plectophila eucrines,Lichenaula eucrines,0.9993,synonym,gpt2-medium,0.7,last_token
Plectophila micradelpha,Lichenaula micradelpha,0.999,synonym,gpt2-medium,0.7,last_token
Plectophila pyrgodes,Plectophila ascripta,0.9954,synonym,gpt2-medium,0.7,last_token
Plectophila thiophanes,Xylorycta thiophanes,0.9993,synonym,gpt2-medium,0.7,last_token
Potniarcha hierastis,Cryptophaga hierastis,0.999,synonym,gpt2-medium,0.7,last_token
Zaphanaula hemileuca,Antiopala moderata,0.9986,synonym,gpt2-medium,0.7,last_token
Zaphanaula hemileuca,Oecophora hemileuca,0.9996,synonym,gpt2-medium,0.7,last_token
Zaphanaula hemileuca,Peltophora leucoplaca,0.9982,synonym,gpt2-medium,0.7,last_token
Zaphanaula hemileuca,Zaphanaula diffusa,0.9988,synonym,gpt2-medium,0.7,last_token
Zaphanaula hemileuca,Zaphanaula xenophila,0.9987,synonym,gpt2-medium,0.7,last_token
Cophomantella aphanozona,Cophomantis aphanozona,0.9991,synonym,gpt2-medium,0.7,last_token
Cophomantella artonoma,Cophomantis artonoma,0.9991,synonym,gpt2-medium,0.7,last_token
Cophomantella bifrenata,Onebala bifrenata,0.9966,synonym,gpt2-medium,0.7,last_token
Cophomantella bythota,Onebala bythota,0.9984,synonym,gpt2-medium,0.7,last_token
Cophomantella crypsizyga,Onebala crypsizyga,0.9947,synonym,gpt2-medium,0.7,last_token
Cophomantella cubiculata,Onebala cubiculata,0.9992,synonym,gpt2-medium,0.7,last_token
Cophomantella cyclopodes,Onebala cyclopodes,0.9936,synonym,gpt2-medium,0.7,last_token
Cophomantella elaphopis,Onebala elaphopis,0.9989,synonym,gpt2-medium,0.7,last_token
Cophomantella ephanozona,Cophomantis ephanozona,0.9986,synonym,gpt2-medium,0.7,last_token
Cophomantella eremota,Onebala eremota,0.9956,synonym,gpt2-medium,0.7,last_token
Cophomantella furnaria,Lecithocera furnaria,0.9994,synonym,gpt2-medium,0.7,last_token
Cophomantella homogramma,Onebala homogramma,0.9974,synonym,gpt2-medium,0.7,last_token
Cophomantella lychnocentra,Styloceros lychnocentra,0.9949,synonym,gpt2-medium,0.7,last_token
Cophomantella myadelpha,Onebala myadelpha,0.9967,synonym,gpt2-medium,0.7,last_token
Cophomantella osphrantica,Cophomantis osphrantica,0.9968,synonym,gpt2-medium,0.7,last_token
Cophomantella pumicata,Cophomantis pumicata,0.998,synonym,gpt2-medium,0.7,last_token
Cophomantella syngonarcha,Cophomantis syngonarcha,0.9979,synonym,gpt2-medium,0.7,last_token
Hylypnes isosticha,Odites isosticha,0.9999,synonym,gpt2-medium,0.7,last_token
Hylypnes leptosticta,Cryptolechia leptosticta,0.9996,synonym,gpt2-medium,0.7,last_token
Hylypnes pudica,Odites pudica,0.9996,synonym,gpt2-medium,0.7,last_token
Eupetochira xystopala,Nephantis xystopala,0.9997,synonym,gpt2-medium,0.7,last_token
Xylomimetes trachyptera,Pilostibes trachyptera,0.9994,synonym,gpt2-medium,0.7,last_token
Arignota stercorata,Xylorycta stercorata,0.9995,synonym,gpt2-medium,0.7,last_token
Zauclophora metaphaeella,Safra metaphaeella,0.9991,synonym,gpt2-medium,0.7,last_token
Zauclophora muscerdella,Cryptolechia muscerdella,0.9993,synonym,gpt2-medium,0.7,last_token
Zauclophora pelodes,Xylorycta cirrhodes,0.9887,synonym,gpt2-medium,0.7,last_token
Zauclophora procellosa,Clerarcha procellosa,0.9992,synonym,gpt2-medium,0.7,last_token
Scieropepla orthosema,Procometis orthosema,0.9997,synonym,gpt2-medium,0.7,last_token
Scieropepla reversella,Cryptolechia abrosella,0.9991,synonym,gpt2-medium,0.7,last_token
Scieropepla reversella,Cryptolechia reversella,0.9994,synonym,gpt2-medium,0.7,last_token
Scieropepla serica,Tanyzancla serica,0.9997,synonym,gpt2-medium,0.7,last_token
Scieropepla serina,Procometis trispora,0.9976,synonym,gpt2-medium,0.7,last_token
Scieropepla typhicola,Scieropepla typicola,0.9972,synonym,gpt2-medium,0.7,last_token
Pilostibes basivitta,Marisba basivitta,0.9992,synonym,gpt2-medium,0.7,last_token
Pilostibes basivitta,Pilostibes enchidias,0.9984,synonym,gpt2-medium,0.7,last_token
Thysiarcha ecclesiastis,Cryptophasa ecclesiastis,0.9995,synonym,gpt2-medium,0.7,last_token
Paralypusa chinensis,Pseudatemelia chinensis,0.9992,synonym,gpt2-medium,0.7,last_token
Diurnea fagella,Chimabacche fagella,0.9991,synonym,gpt2-medium,0.7,last_token
Diurnea fagella,Chimabacche nolckenella,0.9965,synonym,gpt2-medium,0.7,last_token
Diurnea fagella,Diurnea dormoyella,0.9996,synonym,gpt2-medium,0.7,last_token
Diurnea fagella,Diurnea nolckenella,0.9974,synonym,gpt2-medium,0.7,last_token
Diurnea fagella,Tinea fagella,0.9977,synonym,gpt2-medium,0.7,last_token
Diurnea fumida,Dasystoma fumida,0.9991,synonym,gpt2-medium,0.7,last_token
Diurnea fumida,Sciaphila fumida,0.9997,synonym,gpt2-medium,0.7,last_token
Diurnea lipsiella,Chimabacche phryganella,0.9963,synonym,gpt2-medium,0.7,last_token
Diurnea lipsiella,Diurnea lipsiella,1.0,synonym,gpt2-medium,0.7,last_token
Diurnea lipsiella,Diurnea novembris,0.998,synonym,gpt2-medium,0.7,last_token
Diurnea lipsiella,Diurnea phryganella,0.9963,synonym,gpt2-medium,0.7,last_token
Diurnea lipsiella,Lemmatophila phryganella,0.996,synonym,gpt2-medium,0.7,last_token
Dasystoma kurentzovi,Cheimophila kurentzovi,0.9994,synonym,gpt2-medium,0.7,last_token
Dasystoma salicella,Cheimophila salicella,0.9997,synonym,gpt2-medium,0.7,last_token
Dasystoma salicella,Hercyna rufocrinitalis,0.9993,synonym,gpt2-medium,0.7,last_token
Dasystoma salicella,Lemmatophila salicella,0.9995,synonym,gpt2-medium,0.7,last_token
Agnoea aeneella,Borkhausenia aeneella,0.9992,synonym,gpt2-medium,0.7,last_token
Agnoea colurnella,Borkhausenia colurnella,0.9996,synonym,gpt2-medium,0.7,last_token
Agnoea colurnella,Borkhausenia pulverosella,0.999,synonym,gpt2-medium,0.7,last_token
Agnoea colurnella,Pseudatemelia colurnella,0.9995,synonym,gpt2-medium,0.7,last_token
Agnoea detrimentella,Borkhausenia detrimentella,0.9989,synonym,gpt2-medium,0.7,last_token
Agnoea detrimentella,Pseudatemelia detrimentella,0.9994,synonym,gpt2-medium,0.7,last_token
Agnoea elsae,Borkhausenia elsae,0.9991,synonym,gpt2-medium,0.7,last_token
Agnoea elsae,Pseudatemelia elsae,0.9995,synonym,gpt2-medium,0.7,last_token
Agnoea filiella,Borkhausenia filiella,0.9995,synonym,gpt2-medium,0.7,last_token
Agnoea filiella,Pseudatemelia filiella,0.9994,synonym,gpt2-medium,0.7,last_token
Agnoea flavifrontella,Borkhausenia flavifrontella,0.9995,synonym,gpt2-medium,0.7,last_token
Agnoea flavifrontella,Pseudatemelia flavifrontella,0.9996,synonym,gpt2-medium,0.7,last_token
Agnoea flavifrontella,Tubuliferola flavifrontella,0.9996,synonym,gpt2-medium,0.7,last_token
Agnoea fuscifrontella,Agnoea evanescens,0.9982,synonym,gpt2-medium,0.7,last_token
Agnoea fuscifrontella,Blastobasis evanescens,0.9978,synonym,gpt2-medium,0.7,last_token
Agnoea fuscifrontella,Borkhausenia fuscifrontella,0.9989,synonym,gpt2-medium,0.7,last_token
Agnoea fuscifrontella,Pseudatemelia fuscifrontella,0.9995,synonym,gpt2-medium,0.7,last_token
Agnoea josephinae,Pseudatemelia josephinae,0.9995,synonym,gpt2-medium,0.7,last_token
Agnoea langohri,Pseudatemelia langohri,0.9957,synonym,gpt2-medium,0.7,last_token
Agnoea latipennella,Pseudatemelia latipennella,0.9993,synonym,gpt2-medium,0.7,last_token
