species,oldSpeciesCanonicalName,similarity,prediction,label,model,threshold
Orphinus fulvipes,Heterocerus caledoniae,0.2727,not synonym,not synonym,Levenshtein,0.7
Hycleus brevetarsalis,Mylabris brevetarsalis,0.7273,synonym,synonym,Levenshtein,0.7
Ceracis californicus,Meloe punctatoradiatus,0.2727,not synonym,not synonym,Levenshtein,0.7
Meloe rugosus,Meloe rugulosus,0.8667,synonym,synonym,Levenshtein,0.7
Heterocerus crinitus,Ennearthron nigricans,0.2381,not synonym,not synonym,Levenshtein,0.7
Ceracis curtus,Ceracis obesus,0.7143,synonym,synonym,Levenshtein,0.7
Cis tristis,Cis falli,0.4545,not synonym,synonym,Levenshtein,0.7
Orthocis punctatus,Orthocis aterrimus,0.6111,not synonym,synonym,Levenshtein,0.7
Ceracis curtus,Ropalodontus strandi,0.2,not synonym,not synonym,Levenshtein,0.7
Ceracis californicus,Cis minutissimus,0.35,not synonym,not synonym,Levenshtein,0.7
Trogoderma glabrum,Trogoderma fuscicornis,0.5455,not synonym,synonym,Levenshtein,0.7
Trogoderma grassmani,Xestocis singularis,0.15,not synonym,not synonym,Levenshtein,0.7
Labrocerus similaris,Rhopalodontus fronticornis,0.3077,not synonym,not synonym,Levenshtein,0.7
Ceracis californicus,Ennearthron affine,0.1,not synonym,not synonym,Levenshtein,0.7
Ceracis thoracicornis,Ennearthron filum,0.1905,not synonym,not synonym,Levenshtein,0.7
Meloe rugosus,Ceracis laminifrons,0.1579,not synonym,not synonym,Levenshtein,0.7
Ceracis californicus,Ceracis bifoveatus,0.65,not synonym,not synonym,Levenshtein,0.7
Cybocephalus sublucidus,Brachypterus sublucidus,0.6087,not synonym,synonym,Levenshtein,0.7
Xylographus subsinuatus,Ennearthron cylindricum,0.1739,not synonym,not synonym,Levenshtein,0.7
Cis ephippiatus,Ennearthron militaris,0.1905,not synonym,not synonym,Levenshtein,0.7
Palaestra guerini,Telephorus guerinii,0.5263,not synonym,synonym,Levenshtein,0.7
Malacocis brevicollis,Brachycis brevicollis,0.7619,synonym,synonym,Levenshtein,0.7
Cycloderma deplanatum,Nanophyes miwai,0.1429,not synonym,not synonym,Levenshtein,0.7
Cis castaneus,Cis alter,0.5385,not synonym,synonym,Levenshtein,0.7
Cis festivus,Attagenus megatoma,0.1667,not synonym,not synonym,Levenshtein,0.7
Mycterus curculioides,Mycterus curculionoides,0.913,synonym,synonym,Levenshtein,0.7
Zherikhinia distylia,Ceracis grossulus,0.25,not synonym,not synonym,Levenshtein,0.7
Hadraule elongatula,Hadraule coarctata,0.6316,not synonym,synonym,Levenshtein,0.7
Trogoderma megatomoides,Entomotrogus megatomoides,0.6,not synonym,synonym,Levenshtein,0.7
Ceracis cornifer,Ennearthron piceus,0.1667,not synonym,not synonym,Levenshtein,0.7
Eurymeloe murinus,Meloe murinus,0.7647,synonym,synonym,Levenshtein,0.7
Theticephalus mesopotamicus,Brachytarsus rosae,0.2222,not synonym,not synonym,Levenshtein,0.7
Zonitis chrysomeloides,Cantharis chrysomeloides,0.75,synonym,synonym,Levenshtein,0.7
Protaedus robusticornis,Ennearthron curtus,0.2609,not synonym,not synonym,Levenshtein,0.7
Sulcacis curtulus,Ennearthron furcifer,0.2,not synonym,not synonym,Levenshtein,0.7
Attagenus australis,Attagenus elongatus,0.6316,not synonym,not synonym,Levenshtein,0.7
Ceracis curtus,Cis obesus,0.4286,not synonym,synonym,Levenshtein,0.7
Zonitis chrysomeloides,Strigocis davisi,0.1818,not synonym,not synonym,Levenshtein,0.7
Cybocephalus politissimus,Anthribus minimus,0.32,not synonym,not synonym,Levenshtein,0.7
Orphinus fulvipes,Ennearthron pallidus,0.25,not synonym,not synonym,Levenshtein,0.7
Strigocis bilimeki,Cis bilimeka,0.6111,not synonym,synonym,Levenshtein,0.7
Octotemnus laevis,Trachypachus holmbergi,0.2727,not synonym,not synonym,Levenshtein,0.7
Hycleus phaleratus,Mylabris phalerata,0.5556,not synonym,synonym,Levenshtein,0.7
Ceracis californicus,Ennearthron oregonus,0.2,not synonym,synonym,Levenshtein,0.7
Cis striatulus,Cis levellei,0.3571,not synonym,not synonym,Levenshtein,0.7
Ennearthron cornutum,Ennearthron concinnum,0.7619,synonym,synonym,Levenshtein,0.7
Meloe brevicollis,Meloe laticollis,0.7647,synonym,synonym,Levenshtein,0.7
Baissophytum amplus,Baissopsis amplus,0.7368,synonym,synonym,Levenshtein,0.7
Tophoderes depontanus,Ropalodontus baudueri,0.1905,not synonym,not synonym,Levenshtein,0.7
Meloe brevicollis,Shiva taiwanus,0.1765,not synonym,not synonym,Levenshtein,0.7
Attagenus undulatus,Aethriostoma undulata,0.4286,not synonym,synonym,Levenshtein,0.7
Cis castlei,Ceracis simplicicornis,0.2727,not synonym,not synonym,Levenshtein,0.7
Orthocis linearis,Tiresias serra,0.2353,not synonym,not synonym,Levenshtein,0.7
Attagenus fasciatus,Dissia membranaceus,0.1579,not synonym,not synonym,Levenshtein,0.7
Mycterus curculioides,Hadraule striatulus,0.1429,not synonym,not synonym,Levenshtein,0.7
Ceracis nigricans,Brachycis brevicollis,0.381,not synonym,not synonym,Levenshtein,0.7
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,synonym,Levenshtein,0.7
Dolichocis laricinus,Xylographus rufescens,0.2381,not synonym,not synonym,Levenshtein,0.7
Cantharis lithophilus,Mycterus curculionides,0.2273,not synonym,not synonym,Levenshtein,0.7
Heterocerus fenestratus,Xestocis moznettei,0.3478,not synonym,not synonym,Levenshtein,0.7
Pastillodes areolatus,Meloe ganglbaueri,0.1905,not synonym,not synonym,Levenshtein,0.7
Hadraule elongatula,Dolichocera tessellatus,0.2609,not synonym,not synonym,Levenshtein,0.7
Ceracis sallei,Ennearthron sallei,0.5,not synonym,synonym,Levenshtein,0.7
Attagenus fasciatus,Ceracis convergens,0.1579,not synonym,not synonym,Levenshtein,0.7
Orthocis coluber,Orthocis latifrons,0.5,not synonym,synonym,Levenshtein,0.7
Meloe brevicollis,Meloe puncticollis,0.7222,synonym,synonym,Levenshtein,0.7
Palaestra guerini,Zonitis guerini,0.5294,not synonym,synonym,Levenshtein,0.7
Hadraule elongatula,Hadraule striata,0.6316,not synonym,synonym,Levenshtein,0.7
Orthocis linearis,Orthocis perrisi,0.7059,synonym,synonym,Levenshtein,0.7
Cantharis lithophilus,Lytta lithophila,0.5714,not synonym,synonym,Levenshtein,0.7
Hadraule elongatula,Dzeregia juxta,0.2105,not synonym,not synonym,Levenshtein,0.7
Sulcacis curtulus,Sulcacis sorror,0.5882,not synonym,synonym,Levenshtein,0.7
Cis striatulus,Cerocoma viridis,0.125,not synonym,not synonym,Levenshtein,0.7
Meloe brevicollis,Meloe cephalotes,0.4706,not synonym,synonym,Levenshtein,0.7
Ceracis californicus,Ennearthron concinnum,0.1429,not synonym,not synonym,Levenshtein,0.7
Hycleus phaleratus,Meloe phalerata,0.5556,not synonym,synonym,Levenshtein,0.7
Ceracis thoracicornis,Ceracis laminifrons,0.5238,not synonym,synonym,Levenshtein,0.7
Ceracis monocerus,Ceracis unicornis,0.6471,not synonym,synonym,Levenshtein,0.7
Eurymeloe ganglbaueri,Meloe ganglbaueri,0.8095,synonym,synonym,Levenshtein,0.7
Dolichocera tessellata,Xylographus lemoulti,0.2273,not synonym,not synonym,Levenshtein,0.7
Theticephalus nigriceps,Dissia nigriceps,0.5217,not synonym,synonym,Levenshtein,0.7
Ceracis thoracicornis,Cryptorhopalum brevicorne,0.28,not synonym,not synonym,Levenshtein,0.7
Ademosynoides juxta,Dzeregia juxta,0.4211,not synonym,synonym,Levenshtein,0.7
Meloe cicatricosus,Meloe cicatricosus,1.0,synonym,synonym,Levenshtein,0.7
Malacocis brevicollis,Ennearthron coloradensis,0.1667,not synonym,not synonym,Levenshtein,0.7
Thaumaglossa anthrenoides,Pseudothaumaglossa anthrenoides,0.8065,synonym,synonym,Levenshtein,0.7
Zherikhinia distylia,Ceracis mellyi,0.3,not synonym,not synonym,Levenshtein,0.7
Rhopalodontus strandi,Attagenus piceus,0.2381,not synonym,not synonym,Levenshtein,0.7
Archaeophylax worthyi,Waitomophylax worthyi,0.7143,synonym,synonym,Levenshtein,0.7
