species,oldSpeciesCanonicalName,similarity,prediction,label,model,threshold
Celiptera levina,Celiptera pallidior,0.6316,not synonym,synonym,Levenshtein,0.7
Gogana kerara,Phalacra kerara,0.6,not synonym,synonym,Levenshtein,0.7
Eupterote mollifera,Spilobasis honei,0.1579,not synonym,not synonym,Levenshtein,0.7
Cyme sexualis,Odites isosticha,0.1875,not synonym,not synonym,Levenshtein,0.7
Macroplectrina apicalis,Dysschema funeralis,0.2609,not synonym,not synonym,Levenshtein,0.7
Soteira altilis,Tethea duplaris,0.2667,not synonym,not synonym,Levenshtein,0.7
Argyresthia ivella,Momopola miltogramma,0.1,not synonym,not synonym,Levenshtein,0.7
Astatochroa sulphurata,Psiloreta obsoleta,0.2727,not synonym,synonym,Levenshtein,0.7
Leucanopsis nebulosa,Eupterote contaminata,0.1905,not synonym,not synonym,Levenshtein,0.7
Amphitorna olga,Oreta loga,0.3333,not synonym,synonym,Levenshtein,0.7
Altha peralbida,Thosea peralbida,0.6875,not synonym,synonym,Levenshtein,0.7
Eupterote undata,Eupterote nigricans,0.5789,not synonym,synonym,Levenshtein,0.7
Euclea delphinii,Euclea interjecta,0.4118,not synonym,synonym,Levenshtein,0.7
Eloasa atmodes,Parasa atmodes,0.7857,synonym,synonym,Levenshtein,0.7
Microcolona phanarcha,Oreta miltodes,0.1429,not synonym,not synonym,Levenshtein,0.7
Euclystis angularis,Wernya fufifasciata,0.0526,not synonym,not synonym,Levenshtein,0.7
Phiala pseudatomaria,Stenoglene sigyna,0.1,not synonym,synonym,Levenshtein,0.7
Zauclophora metaphaeella,Antapistis digestalis,0.1667,not synonym,not synonym,Levenshtein,0.7
Comanula uniformis,Psiloreta patiens,0.1111,not synonym,not synonym,Levenshtein,0.7
Toxoides undulata,Toxoides longipennis,0.5,not synonym,synonym,Levenshtein,0.7
Aphendala unicolor,Oreta gonioptera,0.2222,not synonym,not synonym,Levenshtein,0.7
Eupterote mollifera,Asura coccineoflammeus,0.2273,not synonym,not synonym,Levenshtein,0.7
Creatonotos gangis,Thosea transversata,0.1053,not synonym,not synonym,Levenshtein,0.7
Ochropacha duplaris,Cymatophora undosa,0.2105,not synonym,synonym,Levenshtein,0.7
Eupterote citrina,Eupterote lutosa,0.7059,synonym,synonym,Levenshtein,0.7
Phiala bistrigata,Phiala curvistriga,0.6667,not synonym,synonym,Levenshtein,0.7
Celiptera levina,Celiptera variolosa,0.6316,not synonym,synonym,Levenshtein,0.7
Ditrigona micronioides,Corycia virgo,0.2727,not synonym,not synonym,Levenshtein,0.7
Tridrepana albonotata,Iridrepana glaciata,0.6667,not synonym,synonym,Levenshtein,0.7
Choerotricha atrosquama,Asura bougainvillei,0.087,not synonym,not synonym,Levenshtein,0.7
Callindra nepos,Doratifera hemistaura,0.2857,not synonym,not synonym,Levenshtein,0.7
Dysschema magdala,Dysschema panamensis,0.55,not synonym,synonym,Levenshtein,0.7
Cyligramma limacina,Cyligramma intellecta,0.5714,not synonym,synonym,Levenshtein,0.7
Scieropepla reversella,Latoia mutifascia,0.1818,not synonym,not synonym,Levenshtein,0.7
Tridrepana lunulata,Apluda syngrapha,0.2105,not synonym,not synonym,Levenshtein,0.7
Narosopsis leucospila,Palirisa chocolatina,0.2857,not synonym,not synonym,Levenshtein,0.7
Phiala cunina,Lyclene reticulata,0.2222,not synonym,not synonym,Levenshtein,0.7
Argyresthia abdominalis,Argyresthia inauratella,0.5652,not synonym,synonym,Levenshtein,0.7
Comana miltochyta,Susica miltochyta,0.7059,synonym,synonym,Levenshtein,0.7
Hindothosea cervina,Thosea duplexa,0.4211,not synonym,synonym,Levenshtein,0.7
Liocrops carnosa,Phalacropsis carnosa,0.65,not synonym,synonym,Levenshtein,0.7
Sangatissa subcurvifera,Sangatissa citrinula,0.6087,not synonym,synonym,Levenshtein,0.7
Epipsestis bilineata,Aganoptila durata,0.25,not synonym,not synonym,Levenshtein,0.7
Circeida mutifascia,Lyclene vagilinea,0.2105,not synonym,not synonym,Levenshtein,0.7
Agnoea colurnella,Borkhausenia detrimentella,0.3077,not synonym,not synonym,Levenshtein,0.7
Eupterote fabia,Eupterote lucia,0.8,synonym,synonym,Levenshtein,0.7
Telecrates laetiorella,Euclystis facunda,0.2727,not synonym,not synonym,Levenshtein,0.7
Tridrepana sadana,Drepana sadana,0.8235,synonym,synonym,Levenshtein,0.7
Argyresthia curvella,Euclystis polioperas,0.15,not synonym,not synonym,Levenshtein,0.7
Cyme basitesselata,Psiloreta rufula,0.1111,not synonym,not synonym,Levenshtein,0.7
Celiptera frustulum,Eloasa liasarca,0.2632,not synonym,not synonym,Levenshtein,0.7
Calonotos helymus,Calonotos aterrima,0.6111,not synonym,synonym,Levenshtein,0.7
Diurnea fagella,Chimabacche fagella,0.4737,not synonym,synonym,Levenshtein,0.7
Catoryctis subparallela,Susica fusca,0.1739,not synonym,not synonym,Levenshtein,0.7
Caissa fasciatum,Ceratonema fasciatum,0.65,not synonym,synonym,Levenshtein,0.7
Falcaria lacertinaria,Phalaena lacertula,0.5238,not synonym,synonym,Levenshtein,0.7
Eupterote undata,Diurnea lipsiella,0.1765,not synonym,not synonym,Levenshtein,0.7
Jana strigina,Hildala uniformis,0.1765,not synonym,not synonym,Levenshtein,0.7
Alphaea imbuta,Janomima westwoodi,0.1667,not synonym,not synonym,Levenshtein,0.7
Albarracina warionis,Albarracina banghaasi,0.6667,not synonym,synonym,Levenshtein,0.7
Euphalacra trifenestrata,Ectothyris trifenestrata,0.625,not synonym,synonym,Levenshtein,0.7
Eupterote domina,Eupterote pulchra,0.6471,not synonym,synonym,Levenshtein,0.7
Acantharctia latifusca,Lyclene diehli,0.1364,not synonym,not synonym,Levenshtein,0.7
Chalcocelis albiguttatus,Urogonodes inconspicua,0.1667,not synonym,not synonym,Levenshtein,0.7
Cyme miltochristaemorpha,Asura aureorosea,0.2083,not synonym,synonym,Levenshtein,0.7
Gonojana dimidiata,Euclystis epulea,0.0556,not synonym,not synonym,Levenshtein,0.7
Soteira ostia,Latoia pseudostia,0.4706,not synonym,synonym,Levenshtein,0.7
Calonotos triplaga,Peridrepana derocina,0.1,not synonym,not synonym,Levenshtein,0.7
Trachydora porphyrescens,Pogonias porphyrescens,0.5833,not synonym,synonym,Levenshtein,0.7
Sangatissa subcurvifera,Sangatissa albipars,0.6087,not synonym,synonym,Levenshtein,0.7
Trachydora heliotricha,Euclystis sublineata,0.2273,not synonym,not synonym,Levenshtein,0.7
Oreta extensa,Hemijana distincta,0.2778,not synonym,not synonym,Levenshtein,0.7
Nordstromia vira,Achlya signatipennis,0.1,not synonym,not synonym,Levenshtein,0.7
Scopelodes unicolor,Phalacropsis pseudoluteata,0.1923,not synonym,not synonym,Levenshtein,0.7
Euphlyctina phaeopasta,Araeogyia phaeopasta,0.5909,not synonym,synonym,Levenshtein,0.7
Stenoglene roseus,Adites maculata,0.0,not synonym,not synonym,Levenshtein,0.7
Poloma angulata,Poloma angulifera,0.7647,synonym,synonym,Levenshtein,0.7
Hadraphe ethiopica,Scirrhoma ethiopica,0.5789,not synonym,synonym,Levenshtein,0.7
Epijana cosmia,Epijana lanosa,0.6429,not synonym,synonym,Levenshtein,0.7
Lichenaula phloeochroa,Lichenaula provisa,0.6364,not synonym,synonym,Levenshtein,0.7
Agnoea fuscifrontella,Pseudlepista flavicosta,0.1739,not synonym,not synonym,Levenshtein,0.7
Alphaea imbuta,Leucanopsis coniata,0.2105,not synonym,not synonym,Levenshtein,0.7
Cabardites pica,Aemene fuscipennis,0.1111,not synonym,synonym,Levenshtein,0.7
Hibrildes norax,Hibrildes spiritalis,0.6,not synonym,synonym,Levenshtein,0.7
Agnoea colurnella,Hibrildes venosa,0.1176,not synonym,not synonym,Levenshtein,0.7
Cyrtojana trilineata,Cyrtojana apithana,0.65,not synonym,synonym,Levenshtein,0.7
Comana albibasis,Aemene fuscipennis,0.3333,not synonym,not synonym,Levenshtein,0.7
Thyatira batis,Palimpsestis renalis,0.25,not synonym,not synonym,Levenshtein,0.7
Eupterote domina,Psiloreta sulphurata,0.2,not synonym,not synonym,Levenshtein,0.7
Cophomantella pumicata,Cophomantis pumicata,0.8182,synonym,synonym,Levenshtein,0.7
Eupterote undata,Phyllalia incerta,0.2353,not synonym,not synonym,Levenshtein,0.7
Agnoea langohri,Hibrildes carpenteri,0.25,not synonym,not synonym,Levenshtein,0.7
Susica sinensis,Oreta rotundipex,0.1875,not synonym,not synonym,Levenshtein,0.7
Sabra harpagula,Oglasa afflicta,0.2,not synonym,not synonym,Levenshtein,0.7
Euclea cippus,Bombyx cippus,0.5385,not synonym,synonym,Levenshtein,0.7
Cyme biagi,Tadema sinensis,0.2667,not synonym,not synonym,Levenshtein,0.7
Drapetodes mitaria,Lepidolutzia costistrigata,0.2308,not synonym,not synonym,Levenshtein,0.7
Macrocneme chrysitis,Macrocneme iole,0.6,not synonym,synonym,Levenshtein,0.7
Cabardites limbata,Aemene formosibia,0.1111,not synonym,synonym,Levenshtein,0.7
Narosoideus flavidorsalis,Albarracina autumnalis,0.28,not synonym,not synonym,Levenshtein,0.7
Telecrates melanochrysa,Thosea luxa,0.2174,not synonym,not synonym,Levenshtein,0.7
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.68,not synonym,synonym,Levenshtein,0.7
Dysschema subapicalis,Paryphanta personata,0.1429,not synonym,not synonym,Levenshtein,0.7
Dysschema mariamne,Melanaema asuroides,0.2632,not synonym,not synonym,Levenshtein,0.7
Cyclidia rectificata,Phyllalia acuta,0.35,not synonym,not synonym,Levenshtein,0.7
Trachydora fumea,Narosa penicillata,0.1111,not synonym,not synonym,Levenshtein,0.7
Adiopa disgrega,Adiopa marama,0.6,not synonym,synonym,Levenshtein,0.7
Celiptera levina,Antiopala moderata,0.2778,not synonym,not synonym,Levenshtein,0.7
Alphaea imbuta,Oreta calceolaria,0.1765,not synonym,not synonym,Levenshtein,0.7
Liocrops semiprotrusa,Phalacropsis semiprotrusa,0.72,synonym,synonym,Levenshtein,0.7
Oreta obtusa,Hypercompa similis,0.1667,not synonym,not synonym,Levenshtein,0.7
Ditrigona inconspicua,Halisidota racema,0.2381,not synonym,not synonym,Levenshtein,0.7
Spica parallelangula,Plusinia aurea,0.2,not synonym,synonym,Levenshtein,0.7
Oglasa lagusalis,Parasa repanda,0.3125,not synonym,not synonym,Levenshtein,0.7
Tetheella fluctuosa,Omocena convergens,0.1053,not synonym,not synonym,Levenshtein,0.7
Cyme structa,Spidia fenestriculata,0.3333,not synonym,not synonym,Levenshtein,0.7
Falcaria lacertinaria,Drepana dimidiata,0.2857,not synonym,synonym,Levenshtein,0.7
Astatochroa fuscimargo,Parasa hockingii,0.1818,not synonym,not synonym,Levenshtein,0.7
Zaratha pterodactylella,Drepana levis,0.2174,not synonym,not synonym,Levenshtein,0.7
Eupterote undata,Eupterote vinosa,0.6875,not synonym,synonym,Levenshtein,0.7
Comanula uniformis,Eupterote cinnamomea,0.15,not synonym,not synonym,Levenshtein,0.7
Cotana kebeae,Narosa takamukui,0.1875,not synonym,not synonym,Levenshtein,0.7
Agnoea flavifrontella,Phryganopsis nyassana,0.0952,not synonym,not synonym,Levenshtein,0.7
Oreta perfida,Miresa nigriplaga,0.3529,not synonym,not synonym,Levenshtein,0.7
Stenoglene pellucida,Xylodryas cryeranthes,0.0952,not synonym,not synonym,Levenshtein,0.7
Thymiatris cephalochra,Poloma nahor,0.2273,not synonym,not synonym,Levenshtein,0.7
Sansarea circulifera,Narosa baibarana,0.25,not synonym,not synonym,Levenshtein,0.7
Aergina laeta,Microsetia stephensella,0.2174,not synonym,not synonym,Levenshtein,0.7
Amphitorna excisa,Spilosoma mendica,0.3529,not synonym,not synonym,Levenshtein,0.7
Urogonodes patiens,Psiloreta rufula,0.1111,not synonym,synonym,Levenshtein,0.7
Scieropepla reversella,Cryptolechia nivella,0.3636,not synonym,not synonym,Levenshtein,0.7
Cyme vivida,Barsine vivida,0.5714,not synonym,synonym,Levenshtein,0.7
Amphitorna confusata,Cyclura confusata,0.6,not synonym,synonym,Levenshtein,0.7
Callindra similis,Hypercompa similis,0.5,not synonym,synonym,Levenshtein,0.7
Alphaea imbuta,Estigmene sikkimensis,0.1905,not synonym,synonym,Levenshtein,0.7
Ditrigona quinaria,Thaleridia pruinosa,0.3158,not synonym,synonym,Levenshtein,0.7
Euclea bidiscalis,Miresa doriens,0.2353,not synonym,synonym,Levenshtein,0.7
Eloasa symphonistis,Parasa symphonistis,0.8421,synonym,synonym,Levenshtein,0.7
Disca arborita,Adites tibada,0.2857,not synonym,not synonym,Levenshtein,0.7
Eupterote hibisci,Eupterote lineata,0.6471,not synonym,synonym,Levenshtein,0.7
Achlya flavicornis,Thermesia plagifera,0.2105,not synonym,not synonym,Levenshtein,0.7
Cyme asuroides,Melanaema asuroides,0.5789,not synonym,synonym,Levenshtein,0.7
Scieropepla orthosema,Hibrildes bicolor,0.1905,not synonym,not synonym,Levenshtein,0.7
Jana gracilis,Jana grisea,0.6154,not synonym,synonym,Levenshtein,0.7
Phiala nigrolineata,Phiala chrysargyra,0.4737,not synonym,synonym,Levenshtein,0.7
Narosoideus vulpina,Narosoideus aurisoma,0.7,synonym,synonym,Levenshtein,0.7
Bida radiosella,Bida crambella,0.6667,not synonym,synonym,Levenshtein,0.7
Janomima dannfelti,Hercyna rufocrinitalis,0.1364,not synonym,not synonym,Levenshtein,0.7
Thyatira batis,Thyatira variabilis,0.6316,not synonym,synonym,Levenshtein,0.7
Agnoea xanthosoma,Pseudatemelia xanthosoma,0.5833,not synonym,synonym,Levenshtein,0.7
Ochropacha duplaris,Cymatophora obscurata,0.2381,not synonym,synonym,Levenshtein,0.7
Tetheella fluctuosa,Asura aureorosea,0.2105,not synonym,not synonym,Levenshtein,0.7
Dysschema rosina,Cophomantis pumicata,0.2,not synonym,not synonym,Levenshtein,0.7
Ochropacha duplaris,Cimatophora duplaris,0.6,not synonym,synonym,Levenshtein,0.7
Oreta sublustris,Asura xantherythra,0.1667,not synonym,not synonym,Levenshtein,0.7
Falcaria lacertinaria,Drepana lacertula,0.4762,not synonym,synonym,Levenshtein,0.7
Epipsestis ornata,Sugiploca sugitanii,0.2105,not synonym,synonym,Levenshtein,0.7
Eupterote mollifera,Oreta semiornata,0.2105,not synonym,not synonym,Levenshtein,0.7
Albarracina warionis,Albarracina syriaca,0.7,synonym,synonym,Levenshtein,0.7
Cyme avernalis,Oreta purpureofasciata,0.1818,not synonym,not synonym,Levenshtein,0.7
Cophomantella crypsizyga,Doliche hilaris,0.2083,not synonym,not synonym,Levenshtein,0.7
