species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.7482,synonym,BAAI/llm-embedder,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.9077,synonym,BAAI/llm-embedder,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.7457,synonym,BAAI/llm-embedder,0.7,0
Meloe rugosus,Meloe rugulosus,0.9493,synonym,BAAI/llm-embedder,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.7417,synonym,BAAI/llm-embedder,0.7,0
Ceracis curtus,Ceracis obesus,0.8653,synonym,BAAI/llm-embedder,0.7,1
Cis tristis,Cis falli,0.8354,synonym,BAAI/llm-embedder,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.8491,synonym,BAAI/llm-embedder,0.7,1
Ceracis curtus,Ropalodontus strandi,0.7628,synonym,BAAI/llm-embedder,0.7,0
Ceracis californicus,Cis minutissimus,0.7738,synonym,BAAI/llm-embedder,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.8279,synonym,BAAI/llm-embedder,0.7,1
Trogoderma grassmani,Xestocis singularis,0.7396,synonym,BAAI/llm-embedder,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.7641,synonym,BAAI/llm-embedder,0.7,0
Ceracis californicus,Ennearthron affine,0.7472,synonym,BAAI/llm-embedder,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.6987,not synonym,BAAI/llm-embedder,0.7,0
Meloe rugosus,Ceracis laminifrons,0.7064,synonym,BAAI/llm-embedder,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.8628,synonym,BAAI/llm-embedder,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.9015,synonym,BAAI/llm-embedder,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.7183,synonym,BAAI/llm-embedder,0.7,0
Cis ephippiatus,Ennearthron militaris,0.7428,synonym,BAAI/llm-embedder,0.7,0
Palaestra guerini,Telephorus guerinii,0.8584,synonym,BAAI/llm-embedder,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.9399,synonym,BAAI/llm-embedder,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.7266,synonym,BAAI/llm-embedder,0.7,0
Cis castaneus,Cis alter,0.8425,synonym,BAAI/llm-embedder,0.7,1
Cis festivus,Attagenus megatoma,0.7187,synonym,BAAI/llm-embedder,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9688,synonym,BAAI/llm-embedder,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.7121,synonym,BAAI/llm-embedder,0.7,0
Hadraule elongatula,Hadraule coarctata,0.8645,synonym,BAAI/llm-embedder,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.9166,synonym,BAAI/llm-embedder,0.7,1
Ceracis cornifer,Ennearthron piceus,0.7401,synonym,BAAI/llm-embedder,0.7,0
Eurymeloe murinus,Meloe murinus,0.9203,synonym,BAAI/llm-embedder,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.7129,synonym,BAAI/llm-embedder,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.8749,synonym,BAAI/llm-embedder,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.7503,synonym,BAAI/llm-embedder,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.7546,synonym,BAAI/llm-embedder,0.7,0
Attagenus australis,Attagenus elongatus,0.8632,synonym,BAAI/llm-embedder,0.7,0
Ceracis curtus,Cis obesus,0.7657,synonym,BAAI/llm-embedder,0.7,1
Zonitis chrysomeloides,Strigocis davisi,0.7617,synonym,BAAI/llm-embedder,0.7,0
Cybocephalus politissimus,Anthribus minimus,0.7291,synonym,BAAI/llm-embedder,0.7,0
Orphinus fulvipes,Ennearthron pallidus,0.7556,synonym,BAAI/llm-embedder,0.7,0
Strigocis bilimeki,Cis bilimeka,0.867,synonym,BAAI/llm-embedder,0.7,1
Octotemnus laevis,Trachypachus holmbergi,0.7446,synonym,BAAI/llm-embedder,0.7,0
Hycleus phaleratus,Mylabris phalerata,0.8284,synonym,BAAI/llm-embedder,0.7,1
Ceracis californicus,Ennearthron oregonus,0.7168,synonym,BAAI/llm-embedder,0.7,1
Cis striatulus,Cis levellei,0.8437,synonym,BAAI/llm-embedder,0.7,0
Ennearthron cornutum,Ennearthron concinnum,0.8782,synonym,BAAI/llm-embedder,0.7,1
Meloe brevicollis,Meloe laticollis,0.9017,synonym,BAAI/llm-embedder,0.7,1
Baissophytum amplus,Baissopsis amplus,0.9662,synonym,BAAI/llm-embedder,0.7,1
Tophoderes depontanus,Ropalodontus baudueri,0.7651,synonym,BAAI/llm-embedder,0.7,0
Meloe brevicollis,Shiva taiwanus,0.7268,synonym,BAAI/llm-embedder,0.7,0
Attagenus undulatus,Aethriostoma undulata,0.8512,synonym,BAAI/llm-embedder,0.7,1
Cis castlei,Ceracis simplicicornis,0.7492,synonym,BAAI/llm-embedder,0.7,0
Orthocis linearis,Tiresias serra,0.7648,synonym,BAAI/llm-embedder,0.7,0
Attagenus fasciatus,Dissia membranaceus,0.7565,synonym,BAAI/llm-embedder,0.7,0
Mycterus curculioides,Hadraule striatulus,0.7819,synonym,BAAI/llm-embedder,0.7,0
Ceracis nigricans,Brachycis brevicollis,0.7643,synonym,BAAI/llm-embedder,0.7,0
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,BAAI/llm-embedder,0.7,1
Dolichocis laricinus,Xylographus rufescens,0.7645,synonym,BAAI/llm-embedder,0.7,0
Cantharis lithophilus,Mycterus curculionides,0.7663,synonym,BAAI/llm-embedder,0.7,0
Heterocerus fenestratus,Xestocis moznettei,0.7535,synonym,BAAI/llm-embedder,0.7,0
Pastillodes areolatus,Meloe ganglbaueri,0.7014,synonym,BAAI/llm-embedder,0.7,0
Hadraule elongatula,Dolichocera tessellatus,0.7333,synonym,BAAI/llm-embedder,0.7,0
Ceracis sallei,Ennearthron sallei,0.8679,synonym,BAAI/llm-embedder,0.7,1
Attagenus fasciatus,Ceracis convergens,0.7294,synonym,BAAI/llm-embedder,0.7,0
Orthocis coluber,Orthocis latifrons,0.8382,synonym,BAAI/llm-embedder,0.7,1
Meloe brevicollis,Meloe puncticollis,0.9066,synonym,BAAI/llm-embedder,0.7,1
Palaestra guerini,Zonitis guerini,0.8757,synonym,BAAI/llm-embedder,0.7,1
Hadraule elongatula,Hadraule striata,0.8601,synonym,BAAI/llm-embedder,0.7,1
Orthocis linearis,Orthocis perrisi,0.8681,synonym,BAAI/llm-embedder,0.7,1
Cantharis lithophilus,Lytta lithophila,0.8348,synonym,BAAI/llm-embedder,0.7,1
Hadraule elongatula,Dzeregia juxta,0.7203,synonym,BAAI/llm-embedder,0.7,0
Sulcacis curtulus,Sulcacis sorror,0.8304,synonym,BAAI/llm-embedder,0.7,1
Cis striatulus,Cerocoma viridis,0.748,synonym,BAAI/llm-embedder,0.7,0
Meloe brevicollis,Meloe cephalotes,0.8514,synonym,BAAI/llm-embedder,0.7,1
Ceracis californicus,Ennearthron concinnum,0.7392,synonym,BAAI/llm-embedder,0.7,0
Hycleus phaleratus,Meloe phalerata,0.8359,synonym,BAAI/llm-embedder,0.7,1
Ceracis thoracicornis,Ceracis laminifrons,0.8658,synonym,BAAI/llm-embedder,0.7,1
Ceracis monocerus,Ceracis unicornis,0.8534,synonym,BAAI/llm-embedder,0.7,1
