species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Celiptera levina,Celiptera pallidior,0.8777,synonym,BAAI/llm-embedder,0.7,1
Gogana kerara,Phalacra kerara,0.8866,synonym,BAAI/llm-embedder,0.7,1
Eupterote mollifera,Spilobasis honei,0.7166,synonym,BAAI/llm-embedder,0.7,0
Cyme sexualis,Odites isosticha,0.7623,synonym,BAAI/llm-embedder,0.7,0
Macroplectrina apicalis,Dysschema funeralis,0.7392,synonym,BAAI/llm-embedder,0.7,0
Soteira altilis,Tethea duplaris,0.7524,synonym,BAAI/llm-embedder,0.7,0
Argyresthia ivella,Momopola miltogramma,0.7448,synonym,BAAI/llm-embedder,0.7,0
Astatochroa sulphurata,Psiloreta obsoleta,0.7779,synonym,BAAI/llm-embedder,0.7,1
Leucanopsis nebulosa,Eupterote contaminata,0.7227,synonym,BAAI/llm-embedder,0.7,0
Amphitorna olga,Oreta loga,0.7542,synonym,BAAI/llm-embedder,0.7,1
Altha peralbida,Thosea peralbida,0.9002,synonym,BAAI/llm-embedder,0.7,1
Eupterote undata,Eupterote nigricans,0.8502,synonym,BAAI/llm-embedder,0.7,1
Euclea delphinii,Euclea interjecta,0.8236,synonym,BAAI/llm-embedder,0.7,1
Eloasa atmodes,Parasa atmodes,0.8837,synonym,BAAI/llm-embedder,0.7,1
Microcolona phanarcha,Oreta miltodes,0.7515,synonym,BAAI/llm-embedder,0.7,0
Euclystis angularis,Wernya fufifasciata,0.7469,synonym,BAAI/llm-embedder,0.7,0
Phiala pseudatomaria,Stenoglene sigyna,0.7603,synonym,BAAI/llm-embedder,0.7,1
Zauclophora metaphaeella,Antapistis digestalis,0.6934,not synonym,BAAI/llm-embedder,0.7,0
Comanula uniformis,Psiloreta patiens,0.7312,synonym,BAAI/llm-embedder,0.7,0
Toxoides undulata,Toxoides longipennis,0.859,synonym,BAAI/llm-embedder,0.7,1
Aphendala unicolor,Oreta gonioptera,0.7579,synonym,BAAI/llm-embedder,0.7,0
Eupterote mollifera,Asura coccineoflammeus,0.7511,synonym,BAAI/llm-embedder,0.7,0
Creatonotos gangis,Thosea transversata,0.7485,synonym,BAAI/llm-embedder,0.7,0
Ochropacha duplaris,Cymatophora undosa,0.7815,synonym,BAAI/llm-embedder,0.7,1
Eupterote citrina,Eupterote lutosa,0.8804,synonym,BAAI/llm-embedder,0.7,1
Phiala bistrigata,Phiala curvistriga,0.8944,synonym,BAAI/llm-embedder,0.7,1
Celiptera levina,Celiptera variolosa,0.8653,synonym,BAAI/llm-embedder,0.7,1
Ditrigona micronioides,Corycia virgo,0.7274,synonym,BAAI/llm-embedder,0.7,0
Tridrepana albonotata,Iridrepana glaciata,0.8142,synonym,BAAI/llm-embedder,0.7,1
Choerotricha atrosquama,Asura bougainvillei,0.744,synonym,BAAI/llm-embedder,0.7,0
Callindra nepos,Doratifera hemistaura,0.7121,synonym,BAAI/llm-embedder,0.7,0
Dysschema magdala,Dysschema panamensis,0.8161,synonym,BAAI/llm-embedder,0.7,1
Cyligramma limacina,Cyligramma intellecta,0.8267,synonym,BAAI/llm-embedder,0.7,1
Scieropepla reversella,Latoia mutifascia,0.7643,synonym,BAAI/llm-embedder,0.7,0
Tridrepana lunulata,Apluda syngrapha,0.7575,synonym,BAAI/llm-embedder,0.7,0
Narosopsis leucospila,Palirisa chocolatina,0.7591,synonym,BAAI/llm-embedder,0.7,0
Phiala cunina,Lyclene reticulata,0.7489,synonym,BAAI/llm-embedder,0.7,0
Argyresthia abdominalis,Argyresthia inauratella,0.8634,synonym,BAAI/llm-embedder,0.7,1
Comana miltochyta,Susica miltochyta,0.8986,synonym,BAAI/llm-embedder,0.7,1
Hindothosea cervina,Thosea duplexa,0.7597,synonym,BAAI/llm-embedder,0.7,1
Liocrops carnosa,Phalacropsis carnosa,0.8927,synonym,BAAI/llm-embedder,0.7,1
Sangatissa subcurvifera,Sangatissa citrinula,0.8764,synonym,BAAI/llm-embedder,0.7,1
Epipsestis bilineata,Aganoptila durata,0.743,synonym,BAAI/llm-embedder,0.7,0
Circeida mutifascia,Lyclene vagilinea,0.767,synonym,BAAI/llm-embedder,0.7,0
Agnoea colurnella,Borkhausenia detrimentella,0.7507,synonym,BAAI/llm-embedder,0.7,0
Eupterote fabia,Eupterote lucia,0.868,synonym,BAAI/llm-embedder,0.7,1
Telecrates laetiorella,Euclystis facunda,0.7597,synonym,BAAI/llm-embedder,0.7,0
Tridrepana sadana,Drepana sadana,0.892,synonym,BAAI/llm-embedder,0.7,1
Argyresthia curvella,Euclystis polioperas,0.7255,synonym,BAAI/llm-embedder,0.7,0
Cyme basitesselata,Psiloreta rufula,0.7734,synonym,BAAI/llm-embedder,0.7,0
Celiptera frustulum,Eloasa liasarca,0.7232,synonym,BAAI/llm-embedder,0.7,0
Calonotos helymus,Calonotos aterrima,0.8627,synonym,BAAI/llm-embedder,0.7,1
Diurnea fagella,Chimabacche fagella,0.8549,synonym,BAAI/llm-embedder,0.7,1
Catoryctis subparallela,Susica fusca,0.7263,synonym,BAAI/llm-embedder,0.7,0
Caissa fasciatum,Ceratonema fasciatum,0.8913,synonym,BAAI/llm-embedder,0.7,1
Falcaria lacertinaria,Phalaena lacertula,0.7996,synonym,BAAI/llm-embedder,0.7,1
Eupterote undata,Diurnea lipsiella,0.7425,synonym,BAAI/llm-embedder,0.7,0
Jana strigina,Hildala uniformis,0.7263,synonym,BAAI/llm-embedder,0.7,0
Alphaea imbuta,Janomima westwoodi,0.744,synonym,BAAI/llm-embedder,0.7,0
Albarracina warionis,Albarracina banghaasi,0.8592,synonym,BAAI/llm-embedder,0.7,1
Euphalacra trifenestrata,Ectothyris trifenestrata,0.9339,synonym,BAAI/llm-embedder,0.7,1
Eupterote domina,Eupterote pulchra,0.8906,synonym,BAAI/llm-embedder,0.7,1
Acantharctia latifusca,Lyclene diehli,0.7374,synonym,BAAI/llm-embedder,0.7,0
Chalcocelis albiguttatus,Urogonodes inconspicua,0.7319,synonym,BAAI/llm-embedder,0.7,0
Cyme miltochristaemorpha,Asura aureorosea,0.7482,synonym,BAAI/llm-embedder,0.7,1
Gonojana dimidiata,Euclystis epulea,0.7284,synonym,BAAI/llm-embedder,0.7,0
Soteira ostia,Latoia pseudostia,0.7713,synonym,BAAI/llm-embedder,0.7,1
Calonotos triplaga,Peridrepana derocina,0.7594,synonym,BAAI/llm-embedder,0.7,0
