species,oldSpeciesCanonicalName,similarity,prediction
Archaeophylax worthyi,Waitomophylax worthyi,0.9755,synonym
Mycterus curculioides,Mycterus curculionides,0.97,synonym
Mycterus curculioides,Mycterus curculionoides,0.9642,synonym
Mycterus quadricollis,Mycterus depressus,0.8984,synonym
Megatoma atypica,Cretomegatoma atypica,0.9395,synonym
Trogoderma glabrum,Anthrenus niger,0.8879,synonym
Trogoderma glabrum,Trogoderma fuscicornis,0.9553,synonym
Trogoderma glabrum,Trogoderma niger,0.9659,synonym
Trogoderma glabrum,Trogoderma nigrum,0.9639,synonym
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym
Trogoderma megatomoides,Entomotrogus megatomoides,0.9335,synonym
Ctesias serra,Tiresias serra,0.9636,synonym
Sefrania bleusei,Fohrer bleusei,0.8168,synonym
Phradonoma tricolor,Trogoderma tricolor,0.9654,synonym
Labrocerus concolor,Labrocerus simplex,0.9075,synonym
Labrocerus depressus,Eocerus depressus,0.9375,synonym
Labrocerus setosus,Labrocerus affinis,0.922,synonym
Labrocerus setosus,Labrocerus pallipes,0.8988,synonym
Labrocerus similaris,Argocerus similaris,0.9711,synonym
Labrocerus similaris,Argocerus subguttatus,0.9153,synonym
Labrocerus vestitus,Labrocerus flavicornis,0.9214,synonym
Attagenus australis,Trinodes australis,0.937,synonym
Attagenus brunneus,Attagenus elongatulus,0.942,synonym
Attagenus brunneus,Attagenus elongatus,0.8918,synonym
Attagenus brunneus,Attagenus marginicollis,0.9369,synonym
Attagenus fasciatus,Attagenus anulifer,0.8957,synonym
Attagenus fasciatus,Attagenus gloriosae,0.8503,synonym
Attagenus fasciatus,Attagenus gloriosus,0.9072,synonym
Attagenus quadrimaculatus,Attagenus 4-maculatus,0.8985,synonym
Attagenus trifasciatus,Attagenus 3-fasciatus,0.8368,synonym
Attagenus undulatus,Aethriostoma undulata,0.7967,synonym
Attagenus unicolor,Attagenus megatoma,0.8906,synonym
Attagenus unicolor,Attagenus piceus,0.9426,synonym
Thaumaglossa anthrenoides,Pseudothaumaglossa anthrenoides,0.9677,synonym
Orphinus fulvipes,Cryptorhopalum brevicorne,0.9086,synonym
Orphinus fulvipes,Orphinus brevicorne,0.9501,synonym
Orphinus fulvipes,Orphinus brevicornis,0.9634,synonym
Orphinus fulvipes,Trogoderma fulvipes,0.8917,synonym
Thorictodes heydeni,Thaumaphrastus heydeni,0.8991,synonym
Thorictodes heydeni,Thorictodes karanisensis,0.9147,synonym
Megatoma alpina,Globicornis alpina,0.923,synonym
Heterocerus crinitus,Augyles crinitus,0.9249,synonym
Heterocerus fenestratus,Heterocerus pulchellus,0.9384,synonym
Heterocerus flindersi,Heterocerus caledoniae,0.9262,synonym
Heterocerus maritimus,Augyles britannicus,0.8795,synonym
Heterocerus maritimus,Heterocerus basalis,0.8657,synonym
Heterocerus maritimus,Heterocerus britannicus,0.9456,synonym
Heterocerus maritimus,Heterocerus burchanensis,0.9433,synonym
Augyles aureolus,Heterocerus aureolus,0.8685,synonym
Pastillodes areolatus,Cybocephalus areolatus,0.9045,synonym
Cybocephalus binotatus,Cybocephalus aeneonittens,0.9657,synonym
Cybocephalus membranaceus,Dissia membranaceus,0.8835,synonym
Cybocephalus politissimus,Cybocephalus flavicapitus,0.9718,synonym
Cybocephalus politissimus,Cybocephalus flavocapitis,0.969,synonym
Cybocephalus amplus,Dissia ampla,0.7437,synonym
Cybocephalus sublucidus,Brachypterus sublucidus,0.8697,synonym
Pacicephalus gressitti,Cybocephalus gressitti,0.9669,synonym
Amedissia argentinus,Pycnocephalus argentinus,0.8658,synonym
Theticephalus aurocupreus,Cybocephalus aurocupreus,0.9477,synonym
Theticephalus decamerus,Cybocephalus decamerus,0.9708,synonym
Theticephalus mesopotamicus,Cybocephalus mesopatamicus,0.9098,synonym
Theticephalus mesopotamicus,Cybocephalus mesopotamicus,0.9587,synonym
Theticephalus mesopotamicus,Theticephalus mesopatamicus,0.9838,synonym
Theticephalus nigriceps,Dissia nigriceps,0.8875,synonym
Theticephalus salsus,Cybocephalus salsus,0.9629,synonym
Cycloderma deplanatum,Critoderma deplanatum,0.9432,synonym
Micromalthus debilis,Micromalthus anansi,0.9403,synonym
Eurymeloe baudueri,Meloe baudueri,0.8912,synonym
Eurymeloe ganglbaueri,Meloe ganglbaueri,0.9105,synonym
Eurymeloe mediterraneus,Meloe mediterraneus,0.9172,synonym
Eurymeloe murinus,Meloe murinus,0.9224,synonym
Eurymeloe scabriusculus,Meloe scabriusculus,0.9534,synonym
Palaestra guerini,Telephorus guerinii,0.8628,synonym
Palaestra guerini,Zonitis guerini,0.9503,synonym
Hycleus polymorphus,Mylabris polymorpha,0.8719,synonym
Hycleus phaleratus,Meloe phalerata,0.9276,synonym
Hycleus phaleratus,Mylabris phalerata,0.9343,synonym
Hycleus brevetarsalis,Mylabris brevetarsalis,0.9589,synonym
Cantharis lithophilus,Lytta lithophila,0.9247,synonym
Zonitis chrysomeloides,Cantharis chrysomeloides,0.9369,synonym
Zonitis melanoptera,Zonitis nigripennis,0.8776,synonym
Cerocoma schaefferi,Cerocoma viridis,0.9312,synonym
Meloe brevicollis,Meloe cephalotes,0.8412,synonym
Meloe brevicollis,Meloe laticollis,0.9316,synonym
Meloe brevicollis,Meloe puncticollis,0.9082,synonym
Meloe brevicollis,Meloe splendens,0.9403,synonym
Meloe cicatricosus,Meloe cicatricosus,1.0,synonym
Meloe cicatricosus,Meloe punctatoradiatus,0.9233,synonym
Meloe rugosus,Meloe autumnalis,0.9103,synonym
Meloe rugosus,Meloe punctatus,0.9155,synonym
Meloe rugosus,Meloe rugulosus,0.9432,synonym
Strongylites stygius,Strongulites stygicus,0.9663,synonym
Trachypachus gibbsii,Trachypachus alticola,0.9504,synonym
Trachypachus gibbsii,Trachypachus californicus,0.9627,synonym
Trachypachus inermis,Trachypachus holmbergi,0.9338,synonym
Trachypachus inermis,Trachypachus oregonus,0.915,synonym
Trachypachus inermis,Trachypachus specularis,0.9629,synonym
Trachypachus zetterstedtii,Trachypachus laticollis,0.7931,synonym
Trachypachus zetterstedtii,Trachypachus transversicollis,0.8566,synonym
Systolosoma breve,Notioxenus bilunulatus,0.78,synonym
Systolosoma breve,Systolosoma bilunulatum,0.9261,synonym
Necronectulus avus,Necronetulus avus,0.9893,synonym
Ademosynoides asiatica,Petrodromeus asiaticus,0.921,synonym
Ademosynoides chinatica,Toksunius chinaticus,0.9115,synonym
Ademosynoides juxta,Dzeregia juxta,0.8943,synonym
Gyrinites minimus,Phaulogyrinus minimus,0.9222,synonym
Epicerastes exstans,Epicerastes extans,0.8645,synonym
Epicerastes viridescens,Epicerastes viridanus,0.9572,synonym
Protaedus butoniensis,Protaedus butoniense,0.9633,synonym
Protaedus frontaltus,Protaedus fontaltus,0.9378,synonym
Protaedus matertera,Protaedus materta,0.9717,synonym
Protaedus robusticornis,Protaedus robusticorne,0.9721,synonym
Bothrus taiwanus,Physopterus taiwanus,0.9417,synonym
Hucus numatus,Hucus numatus,1.0,synonym
Exillis aeruginosus,Exillis aeroginosus,0.9458,synonym
Dolichocera harmandi,Dolichocera hermandi,0.9221,synonym
Dolichocera schanus,Dolichocera schanus,1.0,synonym
Dolichocera tessellata,Dolichocera tessellatus,0.9717,synonym
Tophoderes depontanus,Syntophoderes depontanus,0.9488,synonym
Tophoderes sinuatocollis,Tophoderes sinuaticollis,0.9681,synonym
Anthribus moussonii,Anthribus moussoni,0.9603,synonym
Anthribus nebulosus,Anthribus minimus,0.8931,synonym
Anthribus nebulosus,Anthribus tesselatus,0.8988,synonym
Anthribus nebulosus,Anthribus variegatus,0.8364,synonym
Anthribus nebulosus,Brachytarsus kusteri,0.7621,synonym
Anthribus scapularis,Brachytarsus rosae,0.9185,synonym
Deropygus chaerilus,Deropygus cherilus,0.963,synonym
Electranthribus zherikhini,Glaesotropis zherikhini,0.9317,synonym
Sympaector revocans,Sympaector revocanus,0.9534,synonym
Phytocerum cayennense,Cerophytum cayennense,0.9715,synonym
Idiomerus brevicornis,Necromera brevicornis,0.9126,synonym
Idiomerus inflatus,Necromera inflata,0.823,synonym
Idiomerus intermedius,Necromera intermedia,0.8537,synonym
