species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Xylorycta castanea,Lichenaula castanea,0.9137,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta luteotactella,Cryptolechia cognatella,0.7749,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta luteotactella,Cryptolechia luteotactella,0.931,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta nivella,Cryptolechia nivella,0.8781,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta stereodesma,Xylorycta prospicua,0.916,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta polysticha,Lichenaula polysticha,0.9024,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta heliomacula,Telecrates heliomacula,0.8891,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta assimilis,Xylorycta terenopis,0.8619,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta haplochroa,Lichenaula haplochroa,0.9335,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta haplochroa,Lichenaula umbrosa,0.8206,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta cygnella,Cryptolechia cygnella,0.8902,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta calligramma,Telecrates calligramma,0.8228,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta streptogramma,Telecrates streptogramma,0.8207,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta ovata,Antaeotricha ovata,0.9154,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta candescens,Lichenaula dissimilis,0.8817,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta strigata,Cryptophasa strigata,0.8966,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta apheles,Neodrepta apheles,0.808,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta apheles,Xylorycta lychnobii,0.8845,synonym,allenai/scibert_scivocab_cased,0.7
Xylorycta argentella,Cryptolechia argentella,0.903,synonym,allenai/scibert_scivocab_cased,0.7
Synchalara rhombota,Agriophara rhombota,0.8251,synonym,allenai/scibert_scivocab_cased,0.7
Paralecta tinctoria,Xylorycta tinctoria,0.7795,synonym,allenai/scibert_scivocab_cased,0.7
Sphalerostola epierana,Exapateter epierana,0.8793,synonym,allenai/scibert_scivocab_cased,0.7
Metathrinca ancistrias,Ptochoryctis ancistrias,0.7863,synonym,allenai/scibert_scivocab_cased,0.7
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.895,synonym,allenai/scibert_scivocab_cased,0.7
Metathrinca illuvialis,Ptochoryctis illuvialis,0.9013,synonym,allenai/scibert_scivocab_cased,0.7
Metathrinca intacta,Ptochoryctis intacta,0.851,synonym,allenai/scibert_scivocab_cased,0.7
Metathrinca loranthivora,Ptochoryctis loranthivora,0.912,synonym,allenai/scibert_scivocab_cased,0.7
Metathrinca parabola,Ptochoryctis parabola,0.8441,synonym,allenai/scibert_scivocab_cased,0.7
Metathrinca rosaria,Ptochoryctis rosaria,0.8233,synonym,allenai/scibert_scivocab_cased,0.7
Metathrinca tsugensis,Ptochoryctis tsugensis,0.8053,synonym,allenai/scibert_scivocab_cased,0.7
Liparistis monosema,Lichenaula monosema,0.8254,synonym,allenai/scibert_scivocab_cased,0.7
Athrypsiastis candidella,Topiris candidella,0.8936,synonym,allenai/scibert_scivocab_cased,0.7
Bida radiosella,Bida crambella,0.8054,synonym,allenai/scibert_scivocab_cased,0.7
Bida radiosella,Psecadia radiosella,0.8214,synonym,allenai/scibert_scivocab_cased,0.7
Perixestis rhizophaga,Xylorycta rhizophaga,0.9223,synonym,allenai/scibert_scivocab_cased,0.7
Phthonerodes scotarcha,Psilosceles dichochroa,0.7723,synonym,allenai/scibert_scivocab_cased,0.7
Iulactis insignis,Dectobathra insignis,0.8311,synonym,allenai/scibert_scivocab_cased,0.7
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.9416,synonym,allenai/scibert_scivocab_cased,0.7
Neospastis encryphias,Agriophara encryphias,0.7047,synonym,allenai/scibert_scivocab_cased,0.7
Neospastis ichnaea,Stenoma ichnaea,0.8326,synonym,allenai/scibert_scivocab_cased,0.7
