species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.8234,synonym,allenai/scibert_scivocab_uncased,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.913,synonym,allenai/scibert_scivocab_uncased,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.8226,synonym,allenai/scibert_scivocab_uncased,0.7,0
Meloe rugosus,Meloe rugulosus,0.9583,synonym,allenai/scibert_scivocab_uncased,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.8156,synonym,allenai/scibert_scivocab_uncased,0.7,0
Ceracis curtus,Ceracis obesus,0.9062,synonym,allenai/scibert_scivocab_uncased,0.7,1
Cis tristis,Cis falli,0.8329,synonym,allenai/scibert_scivocab_uncased,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.8409,synonym,allenai/scibert_scivocab_uncased,0.7,1
Ceracis curtus,Ropalodontus strandi,0.8769,synonym,allenai/scibert_scivocab_uncased,0.7,0
Ceracis californicus,Cis minutissimus,0.7606,synonym,allenai/scibert_scivocab_uncased,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.9188,synonym,allenai/scibert_scivocab_uncased,0.7,1
Trogoderma grassmani,Xestocis singularis,0.794,synonym,allenai/scibert_scivocab_uncased,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.7278,synonym,allenai/scibert_scivocab_uncased,0.7,0
Ceracis californicus,Ennearthron affine,0.5935,not synonym,allenai/scibert_scivocab_uncased,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.7885,synonym,allenai/scibert_scivocab_uncased,0.7,0
Meloe rugosus,Ceracis laminifrons,0.7336,synonym,allenai/scibert_scivocab_uncased,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.8981,synonym,allenai/scibert_scivocab_uncased,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.9215,synonym,allenai/scibert_scivocab_uncased,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.8194,synonym,allenai/scibert_scivocab_uncased,0.7,0
Cis ephippiatus,Ennearthron militaris,0.7854,synonym,allenai/scibert_scivocab_uncased,0.7,0
Palaestra guerini,Telephorus guerinii,0.6214,not synonym,allenai/scibert_scivocab_uncased,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.8857,synonym,allenai/scibert_scivocab_uncased,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.6461,not synonym,allenai/scibert_scivocab_uncased,0.7,0
Cis castaneus,Cis alter,0.764,synonym,allenai/scibert_scivocab_uncased,0.7,1
Cis festivus,Attagenus megatoma,0.7913,synonym,allenai/scibert_scivocab_uncased,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9409,synonym,allenai/scibert_scivocab_uncased,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.8338,synonym,allenai/scibert_scivocab_uncased,0.7,0
Hadraule elongatula,Hadraule coarctata,0.8497,synonym,allenai/scibert_scivocab_uncased,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.8374,synonym,allenai/scibert_scivocab_uncased,0.7,1
Ceracis cornifer,Ennearthron piceus,0.752,synonym,allenai/scibert_scivocab_uncased,0.7,0
Eurymeloe murinus,Meloe murinus,0.8092,synonym,allenai/scibert_scivocab_uncased,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.7728,synonym,allenai/scibert_scivocab_uncased,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.9393,synonym,allenai/scibert_scivocab_uncased,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.857,synonym,allenai/scibert_scivocab_uncased,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.8124,synonym,allenai/scibert_scivocab_uncased,0.7,0
Attagenus australis,Attagenus elongatus,0.9332,synonym,allenai/scibert_scivocab_uncased,0.7,0
