species,oldSpeciesCanonicalName,similarity,prediction
Xylorycta castanea,Lichenaula castanea,0.925,synonym
Xylorycta luteotactella,Cryptolechia cognatella,0.8809,synonym
Xylorycta luteotactella,Cryptolechia luteotactella,0.947,synonym
Xylorycta nivella,Cryptolechia nivella,0.9388,synonym
Xylorycta stereodesma,Xylorycta prospicua,0.8614,synonym
Xylorycta polysticha,Lichenaula polysticha,0.9368,synonym
Xylorycta heliomacula,Telecrates heliomacula,0.6423,not synonym
Xylorycta assimilis,Xylorycta terenopis,0.9451,synonym
Xylorycta haplochroa,Lichenaula haplochroa,0.8957,synonym
Xylorycta haplochroa,Lichenaula umbrosa,0.8808,synonym
Xylorycta cygnella,Cryptolechia cygnella,0.9373,synonym
Xylorycta calligramma,Telecrates calligramma,0.6273,not synonym
Xylorycta streptogramma,Telecrates streptogramma,0.664,not synonym
Xylorycta ovata,Antaeotricha ovata,0.8507,synonym
Xylorycta candescens,Lichenaula dissimilis,0.9024,synonym
Xylorycta strigata,Cryptophasa strigata,0.9235,synonym
Xylorycta apheles,Neodrepta apheles,0.8019,synonym
Xylorycta apheles,Xylorycta lychnobii,0.9339,synonym
Xylorycta argentella,Cryptolechia argentella,0.9073,synonym
Synchalara rhombota,Agriophara rhombota,0.943,synonym
Paralecta tinctoria,Xylorycta tinctoria,0.7522,synonym
Sphalerostola epierana,Exapateter epierana,0.8092,synonym
Metathrinca ancistrias,Ptochoryctis ancistrias,0.9529,synonym
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.9559,synonym
Metathrinca illuvialis,Ptochoryctis illuvialis,0.951,synonym
Metathrinca intacta,Ptochoryctis intacta,0.9497,synonym
Metathrinca loranthivora,Ptochoryctis loranthivora,0.9691,synonym
Metathrinca parabola,Ptochoryctis parabola,0.8895,synonym
Metathrinca rosaria,Ptochoryctis rosaria,0.973,synonym
Metathrinca tsugensis,Ptochoryctis tsugensis,0.9579,synonym
Liparistis monosema,Lichenaula monosema,0.8541,synonym
Athrypsiastis candidella,Topiris candidella,0.935,synonym
Bida radiosella,Bida crambella,0.8246,synonym
Bida radiosella,Psecadia radiosella,0.8271,synonym
Perixestis rhizophaga,Xylorycta rhizophaga,0.9471,synonym
Phthonerodes scotarcha,Psilosceles dichochroa,0.7833,synonym
Iulactis insignis,Dectobathra insignis,0.8954,synonym
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.9793,synonym
Neospastis encryphias,Agriophara encryphias,0.7373,synonym
Neospastis ichnaea,Stenoma ichnaea,0.8684,synonym
Philarista porphyrinella,Brunia intersecta,0.7038,synonym
Philarista porphyrinella,Cryptolechia porphyrinella,0.9594,synonym
