species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Orphinus fulvipes,Heterocerus caledoniae,0.7986,synonym,malteos/scincl,0.7,0
Hycleus brevetarsalis,Mylabris brevetarsalis,0.8055,synonym,malteos/scincl,0.7,1
Ceracis californicus,Meloe punctatoradiatus,0.8605,synonym,malteos/scincl,0.7,0
Meloe rugosus,Meloe rugulosus,0.9304,synonym,malteos/scincl,0.7,1
Heterocerus crinitus,Ennearthron nigricans,0.8383,synonym,malteos/scincl,0.7,0
Ceracis curtus,Ceracis obesus,0.847,synonym,malteos/scincl,0.7,1
Cis tristis,Cis falli,0.807,synonym,malteos/scincl,0.7,1
Orthocis punctatus,Orthocis aterrimus,0.8318,synonym,malteos/scincl,0.7,1
Ceracis curtus,Ropalodontus strandi,0.9014,synonym,malteos/scincl,0.7,0
Ceracis californicus,Cis minutissimus,0.7964,synonym,malteos/scincl,0.7,0
Trogoderma glabrum,Trogoderma fuscicornis,0.8844,synonym,malteos/scincl,0.7,1
Trogoderma grassmani,Xestocis singularis,0.78,synonym,malteos/scincl,0.7,0
Labrocerus similaris,Rhopalodontus fronticornis,0.8194,synonym,malteos/scincl,0.7,0
Ceracis californicus,Ennearthron affine,0.7975,synonym,malteos/scincl,0.7,0
Ceracis thoracicornis,Ennearthron filum,0.8224,synonym,malteos/scincl,0.7,0
Meloe rugosus,Ceracis laminifrons,0.8033,synonym,malteos/scincl,0.7,0
Ceracis californicus,Ceracis bifoveatus,0.8445,synonym,malteos/scincl,0.7,0
Cybocephalus sublucidus,Brachypterus sublucidus,0.9166,synonym,malteos/scincl,0.7,1
Xylographus subsinuatus,Ennearthron cylindricum,0.8599,synonym,malteos/scincl,0.7,0
Cis ephippiatus,Ennearthron militaris,0.8604,synonym,malteos/scincl,0.7,0
Palaestra guerini,Telephorus guerinii,0.7677,synonym,malteos/scincl,0.7,1
Malacocis brevicollis,Brachycis brevicollis,0.9505,synonym,malteos/scincl,0.7,1
Cycloderma deplanatum,Nanophyes miwai,0.7229,synonym,malteos/scincl,0.7,0
Cis castaneus,Cis alter,0.8263,synonym,malteos/scincl,0.7,1
Cis festivus,Attagenus megatoma,0.792,synonym,malteos/scincl,0.7,0
Mycterus curculioides,Mycterus curculionoides,0.9584,synonym,malteos/scincl,0.7,1
Zherikhinia distylia,Ceracis grossulus,0.8291,synonym,malteos/scincl,0.7,0
Hadraule elongatula,Hadraule coarctata,0.8475,synonym,malteos/scincl,0.7,1
Trogoderma megatomoides,Entomotrogus megatomoides,0.7635,synonym,malteos/scincl,0.7,1
Ceracis cornifer,Ennearthron piceus,0.8025,synonym,malteos/scincl,0.7,0
Eurymeloe murinus,Meloe murinus,0.8313,synonym,malteos/scincl,0.7,1
Theticephalus mesopotamicus,Brachytarsus rosae,0.8102,synonym,malteos/scincl,0.7,0
Zonitis chrysomeloides,Cantharis chrysomeloides,0.9554,synonym,malteos/scincl,0.7,1
Protaedus robusticornis,Ennearthron curtus,0.8782,synonym,malteos/scincl,0.7,0
Sulcacis curtulus,Ennearthron furcifer,0.8293,synonym,malteos/scincl,0.7,0
Attagenus australis,Attagenus elongatus,0.8679,synonym,malteos/scincl,0.7,0
Ceracis curtus,Cis obesus,0.7771,synonym,malteos/scincl,0.7,1
Zonitis chrysomeloides,Strigocis davisi,0.7635,synonym,malteos/scincl,0.7,0
Cybocephalus politissimus,Anthribus minimus,0.827,synonym,malteos/scincl,0.7,0
Orphinus fulvipes,Ennearthron pallidus,0.7585,synonym,malteos/scincl,0.7,0
Strigocis bilimeki,Cis bilimeka,0.8988,synonym,malteos/scincl,0.7,1
Octotemnus laevis,Trachypachus holmbergi,0.8557,synonym,malteos/scincl,0.7,0
Hycleus phaleratus,Mylabris phalerata,0.8126,synonym,malteos/scincl,0.7,1
Ceracis californicus,Ennearthron oregonus,0.8707,synonym,malteos/scincl,0.7,1
Cis striatulus,Cis levellei,0.833,synonym,malteos/scincl,0.7,0
Ennearthron cornutum,Ennearthron concinnum,0.9238,synonym,malteos/scincl,0.7,1
Meloe brevicollis,Meloe laticollis,0.9458,synonym,malteos/scincl,0.7,1
Baissophytum amplus,Baissopsis amplus,0.9055,synonym,malteos/scincl,0.7,1
Tophoderes depontanus,Ropalodontus baudueri,0.8307,synonym,malteos/scincl,0.7,0
