species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Celiptera levina,Celiptera pallidior,0.8564,synonym,malteos/scincl,0.7,1
Gogana kerara,Phalacra kerara,0.8999,synonym,malteos/scincl,0.7,1
Eupterote mollifera,Spilobasis honei,0.7934,synonym,malteos/scincl,0.7,0
Cyme sexualis,Odites isosticha,0.7726,synonym,malteos/scincl,0.7,0
Macroplectrina apicalis,Dysschema funeralis,0.6606,not synonym,malteos/scincl,0.7,0
Soteira altilis,Tethea duplaris,0.7864,synonym,malteos/scincl,0.7,0
Argyresthia ivella,Momopola miltogramma,0.8293,synonym,malteos/scincl,0.7,0
Astatochroa sulphurata,Psiloreta obsoleta,0.7868,synonym,malteos/scincl,0.7,1
Leucanopsis nebulosa,Eupterote contaminata,0.7654,synonym,malteos/scincl,0.7,0
Amphitorna olga,Oreta loga,0.7808,synonym,malteos/scincl,0.7,1
Altha peralbida,Thosea peralbida,0.963,synonym,malteos/scincl,0.7,1
Eupterote undata,Eupterote nigricans,0.9299,synonym,malteos/scincl,0.7,1
Euclea delphinii,Euclea interjecta,0.8157,synonym,malteos/scincl,0.7,1
Eloasa atmodes,Parasa atmodes,0.894,synonym,malteos/scincl,0.7,1
Microcolona phanarcha,Oreta miltodes,0.7771,synonym,malteos/scincl,0.7,0
Euclystis angularis,Wernya fufifasciata,0.6927,not synonym,malteos/scincl,0.7,0
Phiala pseudatomaria,Stenoglene sigyna,0.7373,synonym,malteos/scincl,0.7,1
Zauclophora metaphaeella,Antapistis digestalis,0.7186,synonym,malteos/scincl,0.7,0
Comanula uniformis,Psiloreta patiens,0.7586,synonym,malteos/scincl,0.7,0
Toxoides undulata,Toxoides longipennis,0.9331,synonym,malteos/scincl,0.7,1
Aphendala unicolor,Oreta gonioptera,0.834,synonym,malteos/scincl,0.7,0
Eupterote mollifera,Asura coccineoflammeus,0.8117,synonym,malteos/scincl,0.7,0
Creatonotos gangis,Thosea transversata,0.8386,synonym,malteos/scincl,0.7,0
Ochropacha duplaris,Cymatophora undosa,0.8676,synonym,malteos/scincl,0.7,1
Eupterote citrina,Eupterote lutosa,0.9507,synonym,malteos/scincl,0.7,1
Phiala bistrigata,Phiala curvistriga,0.8585,synonym,malteos/scincl,0.7,1
Celiptera levina,Celiptera variolosa,0.8552,synonym,malteos/scincl,0.7,1
Ditrigona micronioides,Corycia virgo,0.8541,synonym,malteos/scincl,0.7,0
Tridrepana albonotata,Iridrepana glaciata,0.8399,synonym,malteos/scincl,0.7,1
Choerotricha atrosquama,Asura bougainvillei,0.7648,synonym,malteos/scincl,0.7,0
Callindra nepos,Doratifera hemistaura,0.8681,synonym,malteos/scincl,0.7,0
Dysschema magdala,Dysschema panamensis,0.9457,synonym,malteos/scincl,0.7,1
Cyligramma limacina,Cyligramma intellecta,0.8323,synonym,malteos/scincl,0.7,1
Scieropepla reversella,Latoia mutifascia,0.8834,synonym,malteos/scincl,0.7,0
Tridrepana lunulata,Apluda syngrapha,0.78,synonym,malteos/scincl,0.7,0
Narosopsis leucospila,Palirisa chocolatina,0.763,synonym,malteos/scincl,0.7,0
Phiala cunina,Lyclene reticulata,0.8475,synonym,malteos/scincl,0.7,0
Argyresthia abdominalis,Argyresthia inauratella,0.7911,synonym,malteos/scincl,0.7,1
Comana miltochyta,Susica miltochyta,0.9526,synonym,malteos/scincl,0.7,1
Hindothosea cervina,Thosea duplexa,0.7854,synonym,malteos/scincl,0.7,1
Liocrops carnosa,Phalacropsis carnosa,0.8857,synonym,malteos/scincl,0.7,1
Sangatissa subcurvifera,Sangatissa citrinula,0.889,synonym,malteos/scincl,0.7,1
Epipsestis bilineata,Aganoptila durata,0.7975,synonym,malteos/scincl,0.7,0
Circeida mutifascia,Lyclene vagilinea,0.7721,synonym,malteos/scincl,0.7,0
Agnoea colurnella,Borkhausenia detrimentella,0.892,synonym,malteos/scincl,0.7,0
Eupterote fabia,Eupterote lucia,0.9516,synonym,malteos/scincl,0.7,1
Telecrates laetiorella,Euclystis facunda,0.78,synonym,malteos/scincl,0.7,0
Tridrepana sadana,Drepana sadana,0.9392,synonym,malteos/scincl,0.7,1
Argyresthia curvella,Euclystis polioperas,0.8436,synonym,malteos/scincl,0.7,0
Cyme basitesselata,Psiloreta rufula,0.8657,synonym,malteos/scincl,0.7,0
Celiptera frustulum,Eloasa liasarca,0.8338,synonym,malteos/scincl,0.7,0
Calonotos helymus,Calonotos aterrima,0.8057,synonym,malteos/scincl,0.7,1
Diurnea fagella,Chimabacche fagella,0.927,synonym,malteos/scincl,0.7,1
Catoryctis subparallela,Susica fusca,0.8044,synonym,malteos/scincl,0.7,0
Caissa fasciatum,Ceratonema fasciatum,0.9505,synonym,malteos/scincl,0.7,1
Falcaria lacertinaria,Phalaena lacertula,0.8239,synonym,malteos/scincl,0.7,1
Eupterote undata,Diurnea lipsiella,0.8016,synonym,malteos/scincl,0.7,0
Jana strigina,Hildala uniformis,0.8336,synonym,malteos/scincl,0.7,0
Alphaea imbuta,Janomima westwoodi,0.7898,synonym,malteos/scincl,0.7,0
Albarracina warionis,Albarracina banghaasi,0.9367,synonym,malteos/scincl,0.7,1
Euphalacra trifenestrata,Ectothyris trifenestrata,0.856,synonym,malteos/scincl,0.7,1
Eupterote domina,Eupterote pulchra,0.9255,synonym,malteos/scincl,0.7,1
Acantharctia latifusca,Lyclene diehli,0.8325,synonym,malteos/scincl,0.7,0
Chalcocelis albiguttatus,Urogonodes inconspicua,0.8725,synonym,malteos/scincl,0.7,0
Cyme miltochristaemorpha,Asura aureorosea,0.7818,synonym,malteos/scincl,0.7,1
