species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.9594,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Sphyrapicus varius,Picus varius,0.9371,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Dryobates pubescens,Dryobates affinis,0.9804,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Veniliornis mixtus,Picoides lignarius,0.9563,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Picumnus limae,Picumnus fulvescens,0.9773,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Celeus galeatus,Hylatomus galeatus,0.9761,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Veniliornis cassini,Dryobates cassini,0.9705,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.9831,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.9502,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Galbula dea,Dryobates albolarvatus,0.9473,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9915,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Veniliornis dignus,Picus callonotus,0.9364,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.9508,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.9786,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Colaptes auratus,Megalaima asiatica,0.9248,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Pardipicus caroli,Campethera caroli,0.9774,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.9746,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.9817,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Reinwardtipicus validus,Picus martius,0.9271,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.9587,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Galbula dea,Picus chrysochloros,0.9321,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Psilopogon faber,Megalaima faber,0.9747,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.9748,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Dryobates minor,Cuculus tenebrosus,0.9519,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Melanerpes carolinus,Picus carolinus,0.9537,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Picus sharpei,Bucco collaris,0.9377,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.9696,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Dryobates pubescens,Picoides pubescens,0.9639,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.9559,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Melanerpes lewis,Picus spilogaster,0.9544,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Melanerpes lewis,Asyndesmus lewisi,0.9527,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Sphyrapicus varius,Picoides mixtus,0.9603,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Chelidoptera tenebrosa,Picus campestris,0.8932,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Colaptes auricularis,Pincus canus,0.9423,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
Veniliornis dignus,Chloronerpes dignus,0.9788,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,1
Psilopogon viridis,Dendrocopos kizuki,0.9684,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7,0
