species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Archidendron minahassae,Pithecellobium teijsemannii,0.9339,synonym,almanach/ModernBERT-bio-large,0.7,1
Lotus halophilus,Lotus aucheri,0.9316,synonym,almanach/ModernBERT-bio-large,0.7,1
Lotus aegaeus,Lotus superbus,0.9568,synonym,almanach/ModernBERT-bio-large,0.7,1
Monnina fastigiata,Monnina arborescens,0.9643,synonym,almanach/ModernBERT-bio-large,0.7,1
Millettia sericea,Ononis marocana,0.9164,synonym,almanach/ModernBERT-bio-large,0.7,0
Calliandra virgata,Polygala macrostachya,0.9428,synonym,almanach/ModernBERT-bio-large,0.7,0
Lotus loweanus,Feuilleea hirsuta,0.885,synonym,almanach/ModernBERT-bio-large,0.7,0
Muraltia satureioides,Inga confusa,0.9103,synonym,almanach/ModernBERT-bio-large,0.7,0
Muraltia striata,Oxylobium coriaceum,0.889,synonym,almanach/ModernBERT-bio-large,0.7,0
Nissolia brasiliensis,Machaerium pungens,0.9128,synonym,almanach/ModernBERT-bio-large,0.7,0
Asemeia violacea,Inga parvifolia,0.9248,synonym,almanach/ModernBERT-bio-large,0.7,0
Hebecarpa rectipilis,Solori microphylla,0.917,synonym,almanach/ModernBERT-bio-large,0.7,0
Monnina celastroides,Macrolobium ngouniense,0.8848,synonym,almanach/ModernBERT-bio-large,0.7,0
Millettia comosa,Lupinus huigrensis,0.9289,synonym,almanach/ModernBERT-bio-large,0.7,0
Genista januensis,Corniola triangularis,0.9269,synonym,almanach/ModernBERT-bio-large,0.7,1
Lupinus angustifolius,Lupinus reticulatus,0.934,synonym,almanach/ModernBERT-bio-large,0.7,1
Erinacea anthyllis,Erinacea hispanica,0.947,synonym,almanach/ModernBERT-bio-large,0.7,1
Dialium tessmannii,Dialium mayumbense,0.9519,synonym,almanach/ModernBERT-bio-large,0.7,1
Delonix boiviniana,Polygala alopecuroides,0.9116,synonym,almanach/ModernBERT-bio-large,0.7,0
Genista januensis,Poecilanthe effusa,0.8772,synonym,almanach/ModernBERT-bio-large,0.7,0
Glycine clandestina,Leptolobium clandestinum,0.9136,synonym,almanach/ModernBERT-bio-large,0.7,1
Echinospartum horridum,Acacia odoratissima,0.8954,synonym,almanach/ModernBERT-bio-large,0.7,0
Flemingia tuberosa,Moghania tuberosa,0.9566,synonym,almanach/ModernBERT-bio-large,0.7,1
Ononis pusilla,Ononis apula,0.9764,synonym,almanach/ModernBERT-bio-large,0.7,1
Gastrolobium celsianum,Machaerium campylothyrsum,0.9229,synonym,almanach/ModernBERT-bio-large,0.7,0
Lotus maritimus,Lotus bouteloui,0.9355,synonym,almanach/ModernBERT-bio-large,0.7,1
Archidendron bubalinum,Berlinia laurentii,0.8895,synonym,almanach/ModernBERT-bio-large,0.7,0
Polygala asperuloides,Lespedeza involucrata,0.934,synonym,almanach/ModernBERT-bio-large,0.7,0
Hippocrepis balearica,Hippocrepis fruticosa,0.9596,synonym,almanach/ModernBERT-bio-large,0.7,1
Xanthophyllum vitellinum,Clelia ornata,0.8813,synonym,almanach/ModernBERT-bio-large,0.7,0
Berlinia giorgii,Flemingia kradungensis,0.9117,synonym,almanach/ModernBERT-bio-large,0.7,0
Humularia mendoncae,Tetragonolobus gussonei,0.9278,synonym,almanach/ModernBERT-bio-large,0.7,0
Lotus herbaceus,Monnina latisepala,0.8826,synonym,almanach/ModernBERT-bio-large,0.7,0
Amphicarpaea edgeworthii,Amphicarpaea japonica,0.9627,synonym,almanach/ModernBERT-bio-large,0.7,1
Archidendron grandiflorum,Caesalpinia drummondii,0.9139,synonym,almanach/ModernBERT-bio-large,0.7,0
Acacia prainii,Racosperma prainii,0.9444,synonym,almanach/ModernBERT-bio-large,0.7,1
Securidaca scandens,Securidaca atropurpurea,0.958,synonym,almanach/ModernBERT-bio-large,0.7,1
Lupinus kunthii,Salomonia aphylla,0.8839,synonym,almanach/ModernBERT-bio-large,0.7,0
Calliandra foliolosa,Damapana strobilantha,0.9541,synonym,almanach/ModernBERT-bio-large,0.7,0
Genista anglica,Genista minor,0.9432,synonym,almanach/ModernBERT-bio-large,0.7,1
