species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.9434,synonym,answerdotai/ModernBERT-large,0.7,1
Sphyrapicus varius,Picus varius,0.8713,synonym,answerdotai/ModernBERT-large,0.7,1
Dryobates pubescens,Dryobates affinis,0.9618,synonym,answerdotai/ModernBERT-large,0.7,0
Veniliornis mixtus,Picoides lignarius,0.8703,synonym,answerdotai/ModernBERT-large,0.7,0
Picumnus limae,Picumnus fulvescens,0.955,synonym,answerdotai/ModernBERT-large,0.7,1
Celeus galeatus,Hylatomus galeatus,0.9273,synonym,answerdotai/ModernBERT-large,0.7,1
Veniliornis cassini,Dryobates cassini,0.9147,synonym,answerdotai/ModernBERT-large,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.8876,synonym,answerdotai/ModernBERT-large,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.8979,synonym,answerdotai/ModernBERT-large,0.7,0
Galbula dea,Dryobates albolarvatus,0.8182,synonym,answerdotai/ModernBERT-large,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.97,synonym,answerdotai/ModernBERT-large,0.7,1
Veniliornis dignus,Picus callonotus,0.8903,synonym,answerdotai/ModernBERT-large,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.9486,synonym,answerdotai/ModernBERT-large,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.9494,synonym,answerdotai/ModernBERT-large,0.7,1
Colaptes auratus,Megalaima asiatica,0.8027,synonym,answerdotai/ModernBERT-large,0.7,0
Pardipicus caroli,Campethera caroli,0.8601,synonym,answerdotai/ModernBERT-large,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.9233,synonym,answerdotai/ModernBERT-large,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.9014,synonym,answerdotai/ModernBERT-large,0.7,1
Reinwardtipicus validus,Picus martius,0.8386,synonym,answerdotai/ModernBERT-large,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.8023,synonym,answerdotai/ModernBERT-large,0.7,0
Galbula dea,Picus chrysochloros,0.8325,synonym,answerdotai/ModernBERT-large,0.7,0
Psilopogon faber,Megalaima faber,0.9106,synonym,answerdotai/ModernBERT-large,0.7,1
