species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Archidendron minahassae,Pithecellobium teijsemannii,0.4426,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Lotus halophilus,Lotus aucheri,0.671,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Lotus aegaeus,Lotus superbus,0.7187,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Monnina fastigiata,Monnina arborescens,0.7014,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Millettia sericea,Ononis marocana,0.4603,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Calliandra virgata,Polygala macrostachya,0.4011,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Lotus loweanus,Feuilleea hirsuta,0.4208,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Muraltia satureioides,Inga confusa,0.4305,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Muraltia striata,Oxylobium coriaceum,0.4919,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Nissolia brasiliensis,Machaerium pungens,0.429,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Asemeia violacea,Inga parvifolia,0.5604,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Hebecarpa rectipilis,Solori microphylla,0.4876,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Monnina celastroides,Macrolobium ngouniense,0.5245,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Millettia comosa,Lupinus huigrensis,0.4316,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Genista januensis,Corniola triangularis,0.4033,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Lupinus angustifolius,Lupinus reticulatus,0.6879,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Erinacea anthyllis,Erinacea hispanica,0.5875,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Dialium tessmannii,Dialium mayumbense,0.7082,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Delonix boiviniana,Polygala alopecuroides,0.4681,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Genista januensis,Poecilanthe effusa,0.4635,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Glycine clandestina,Leptolobium clandestinum,0.6698,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Echinospartum horridum,Acacia odoratissima,0.4585,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Flemingia tuberosa,Moghania tuberosa,0.7351,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Ononis pusilla,Ononis apula,0.7499,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Gastrolobium celsianum,Machaerium campylothyrsum,0.4771,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Lotus maritimus,Lotus bouteloui,0.7773,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Archidendron bubalinum,Berlinia laurentii,0.5241,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Polygala asperuloides,Lespedeza involucrata,0.3852,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Hippocrepis balearica,Hippocrepis fruticosa,0.7728,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Xanthophyllum vitellinum,Clelia ornata,0.5351,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Berlinia giorgii,Flemingia kradungensis,0.5442,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Humularia mendoncae,Tetragonolobus gussonei,0.4209,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Lotus herbaceus,Monnina latisepala,0.4825,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Amphicarpaea edgeworthii,Amphicarpaea japonica,0.8071,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Archidendron grandiflorum,Caesalpinia drummondii,0.5569,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Acacia prainii,Racosperma prainii,0.6714,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Securidaca scandens,Securidaca atropurpurea,0.7009,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Lupinus kunthii,Salomonia aphylla,0.3971,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Calliandra foliolosa,Damapana strobilantha,0.4681,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Genista anglica,Genista minor,0.7976,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Flemingia nana,Moghania nana,0.7444,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Genista stenopetala,Moghania fluminalis,0.4814,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Securidaca divaricata,Inga organensis,0.4446,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Archidendron bigeminum,Crotalaria angustifolia,0.451,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Millettia caudata,Racosperma leichhardtii,0.4804,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
