species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.7745,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Sphyrapicus varius,Picus varius,0.8219,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Dryobates pubescens,Dryobates affinis,0.7752,synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Veniliornis mixtus,Picoides lignarius,0.5705,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Picumnus limae,Picumnus fulvescens,0.7672,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Celeus galeatus,Hylatomus galeatus,0.6985,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Veniliornis cassini,Dryobates cassini,0.62,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.6772,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.5363,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Galbula dea,Dryobates albolarvatus,0.3956,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.8886,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Veniliornis dignus,Picus callonotus,0.5982,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.7176,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.7162,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Colaptes auratus,Megalaima asiatica,0.4382,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Pardipicus caroli,Campethera caroli,0.6735,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.681,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.7108,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Reinwardtipicus validus,Picus martius,0.5759,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.4662,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Galbula dea,Picus chrysochloros,0.3286,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Psilopogon faber,Megalaima faber,0.7249,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.5595,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Dryobates minor,Cuculus tenebrosus,0.3908,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Melanerpes carolinus,Picus carolinus,0.6943,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Picus sharpei,Bucco collaris,0.4977,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.5965,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Dryobates pubescens,Picoides pubescens,0.6964,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.4488,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Melanerpes lewis,Picus spilogaster,0.4443,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Melanerpes lewis,Asyndesmus lewisi,0.7083,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Sphyrapicus varius,Picoides mixtus,0.5841,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Chelidoptera tenebrosa,Picus campestris,0.4477,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Colaptes auricularis,Pincus canus,0.6135,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Veniliornis dignus,Chloronerpes dignus,0.6889,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Psilopogon viridis,Dendrocopos kizuki,0.5761,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Selenidera nattereri,Pteroglossus spec,0.372,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Aulacorhynchus sulcatus,Pteroglossus sulcatus,0.7468,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Dendrocopos major,Dryocopus major,0.6715,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Psilopogon lineatus,Sapheopipo noguchii,0.5629,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,0
Celeus torquatus,Picus torquatus,0.7476,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Dendrocoptes auriceps,Leiopicus auriceps,0.7553,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Leuconotopicus fumigatus,Venilornis fumigatus,0.7173,synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Dendrocopos major,Picoides major,0.5929,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Dendrocopos major,Picus major,0.5662,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
Jacamerops aureus,Alcedo aurea,0.4573,not synonym,AI-Growth-Lab/PatentSBERTa,0.7,1
