species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.6017,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Sphyrapicus varius,Picus varius,0.6707,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Dryobates pubescens,Dryobates affinis,0.6019,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Veniliornis mixtus,Picoides lignarius,0.3138,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Picumnus limae,Picumnus fulvescens,0.7314,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Celeus galeatus,Hylatomus galeatus,0.5344,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Veniliornis cassini,Dryobates cassini,0.6912,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.584,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.217,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Galbula dea,Dryobates albolarvatus,0.3924,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.8902,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Veniliornis dignus,Picus callonotus,0.2907,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.7169,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.7748,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Colaptes auratus,Megalaima asiatica,0.3717,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Pardipicus caroli,Campethera caroli,0.6979,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.6311,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.5284,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Reinwardtipicus validus,Picus martius,0.2947,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.2858,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Galbula dea,Picus chrysochloros,0.0687,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Psilopogon faber,Megalaima faber,0.5519,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.2213,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Dryobates minor,Cuculus tenebrosus,0.0296,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Melanerpes carolinus,Picus carolinus,0.7106,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Picus sharpei,Bucco collaris,0.1118,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.4381,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Dryobates pubescens,Picoides pubescens,0.6827,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.2086,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Melanerpes lewis,Picus spilogaster,0.3265,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Melanerpes lewis,Asyndesmus lewisi,0.6019,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Sphyrapicus varius,Picoides mixtus,0.2901,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Chelidoptera tenebrosa,Picus campestris,0.3162,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Colaptes auricularis,Pincus canus,0.1338,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Veniliornis dignus,Chloronerpes dignus,0.7059,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Psilopogon viridis,Dendrocopos kizuki,0.1737,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Selenidera nattereri,Pteroglossus spec,0.2012,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Aulacorhynchus sulcatus,Pteroglossus sulcatus,0.6048,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Dendrocopos major,Dryocopus major,0.6532,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Psilopogon lineatus,Sapheopipo noguchii,0.2846,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Celeus torquatus,Picus torquatus,0.5515,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Dendrocoptes auriceps,Leiopicus auriceps,0.7211,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Leuconotopicus fumigatus,Venilornis fumigatus,0.7129,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Dendrocopos major,Picoides major,0.4227,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Dendrocopos major,Picus major,0.3985,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Jacamerops aureus,Alcedo aurea,0.5122,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Yungipicus maculatus,Dendrocopos maculatus,0.588,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Veniliornis spilogaster,Picus undatus,0.3113,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Nesoctites micromegas,Picumnus micromegas,0.5025,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Melanerpes superciliaris,Cuculus ater,0.2006,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Chloropicus pyrrhogaster,Alcedo dea,0.0628,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Leuconotopicus albolarvatus,Dryobates albolarvatus,0.6895,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Selenidera piperivora,Megalaima nuchalis,0.2439,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Veniliornis lignarius,Dryobates lignarius,0.6629,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Psilopogon rubricapillus,Calorhamphus fuliginosus,0.3403,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Dendrocopos hyperythrus,Hypopicus hyperythrus,0.5246,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Selenidera piperivora,Bucco rubecula,0.1385,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Dendrocoptes auriceps,Mesopicos griseocephalus,0.3282,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,0
Micropternus brachyurus,Celeus brachyurus,0.6268,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
Melanerpes striatus,Picus striatus,0.5756,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7,1
