species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.636,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Sphyrapicus varius,Picus varius,0.6369,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Dryobates pubescens,Dryobates affinis,0.7404,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Veniliornis mixtus,Picoides lignarius,0.3932,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Picumnus limae,Picumnus fulvescens,0.6501,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Celeus galeatus,Hylatomus galeatus,0.6438,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Veniliornis cassini,Dryobates cassini,0.5829,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.5847,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.3069,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Galbula dea,Dryobates albolarvatus,0.095,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.8687,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Veniliornis dignus,Picus callonotus,0.4182,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.6271,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.5855,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Colaptes auratus,Megalaima asiatica,0.2073,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Pardipicus caroli,Campethera caroli,0.5944,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.5214,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.6551,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Reinwardtipicus validus,Picus martius,0.2502,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.4319,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Galbula dea,Picus chrysochloros,0.1898,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Psilopogon faber,Megalaima faber,0.6733,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.4185,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Dryobates minor,Cuculus tenebrosus,0.022,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Melanerpes carolinus,Picus carolinus,0.6282,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Picus sharpei,Bucco collaris,0.3049,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.4635,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Dryobates pubescens,Picoides pubescens,0.5027,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.428,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Melanerpes lewis,Picus spilogaster,0.2062,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Melanerpes lewis,Asyndesmus lewisi,0.5433,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Sphyrapicus varius,Picoides mixtus,0.2408,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Chelidoptera tenebrosa,Picus campestris,0.2996,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Colaptes auricularis,Pincus canus,0.376,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Veniliornis dignus,Chloronerpes dignus,0.5759,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Psilopogon viridis,Dendrocopos kizuki,0.3023,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Selenidera nattereri,Pteroglossus spec,0.2199,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Aulacorhynchus sulcatus,Pteroglossus sulcatus,0.6703,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Dendrocopos major,Dryocopus major,0.4748,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Psilopogon lineatus,Sapheopipo noguchii,0.1743,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Celeus torquatus,Picus torquatus,0.6785,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Dendrocoptes auriceps,Leiopicus auriceps,0.4554,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Leuconotopicus fumigatus,Venilornis fumigatus,0.586,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Dendrocopos major,Picoides major,0.3842,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Dendrocopos major,Picus major,0.3871,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Jacamerops aureus,Alcedo aurea,0.2125,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Yungipicus maculatus,Dendrocopos maculatus,0.5306,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Veniliornis spilogaster,Picus undatus,0.3159,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
Nesoctites micromegas,Picumnus micromegas,0.6369,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,1
Melanerpes superciliaris,Cuculus ater,0.0484,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7,0
