species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.6917,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Sphyrapicus varius,Picus varius,0.6441,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dryobates pubescens,Dryobates affinis,0.7755,synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Veniliornis mixtus,Picoides lignarius,0.4985,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Picumnus limae,Picumnus fulvescens,0.8445,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Celeus galeatus,Hylatomus galeatus,0.6007,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Veniliornis cassini,Dryobates cassini,0.6792,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.5615,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.3765,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Galbula dea,Dryobates albolarvatus,0.2649,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.8012,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Veniliornis dignus,Picus callonotus,0.5011,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.6056,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.6795,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Colaptes auratus,Megalaima asiatica,0.3756,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Pardipicus caroli,Campethera caroli,0.6062,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.5813,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.6605,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Reinwardtipicus validus,Picus martius,0.5559,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.4761,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Galbula dea,Picus chrysochloros,0.3545,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Psilopogon faber,Megalaima faber,0.5826,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.4251,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Dryobates minor,Cuculus tenebrosus,0.2501,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Melanerpes carolinus,Picus carolinus,0.6558,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Picus sharpei,Bucco collaris,0.3909,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.4873,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Dryobates pubescens,Picoides pubescens,0.6544,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.448,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Melanerpes lewis,Picus spilogaster,0.2803,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Melanerpes lewis,Asyndesmus lewisi,0.493,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Sphyrapicus varius,Picoides mixtus,0.5039,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Chelidoptera tenebrosa,Picus campestris,0.2959,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Colaptes auricularis,Pincus canus,0.4866,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Veniliornis dignus,Chloronerpes dignus,0.634,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Psilopogon viridis,Dendrocopos kizuki,0.4589,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Selenidera nattereri,Pteroglossus spec,0.295,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Aulacorhynchus sulcatus,Pteroglossus sulcatus,0.5797,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dendrocopos major,Dryocopus major,0.5762,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Psilopogon lineatus,Sapheopipo noguchii,0.3626,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Celeus torquatus,Picus torquatus,0.7115,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dendrocoptes auriceps,Leiopicus auriceps,0.6264,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Leuconotopicus fumigatus,Venilornis fumigatus,0.6039,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dendrocopos major,Picoides major,0.4906,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Dendrocopos major,Picus major,0.3011,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Jacamerops aureus,Alcedo aurea,0.2353,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Yungipicus maculatus,Dendrocopos maculatus,0.5671,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Veniliornis spilogaster,Picus undatus,0.3993,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
