species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Pseudoroegneria stipifolia,Elytrigia kotovii,0.4923,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Sasa chartacea,Aechmea oligosepala,0.29,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Ptilagrostis duthiei,Achnatherum duthiei,0.5354,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Chordifex gracilior,Ronnbergia carvalhoi,0.253,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Desmocladus flexuosus,Dupatya brachypus,0.497,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Syngonanthus cuyabensis,Schoenus rufus,0.4944,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Pleurostachys muelleri,Pleurostachys calyptrocaryoides,0.7436,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Ficinia sylvatica,Ficinia leiocarpa,0.8733,synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Fascicularia bicolor,Rottboellia pilosa,0.4276,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Bulbostylis trabeculata,Restio erectus,0.3927,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Leymus secalinus,Hypolepis scariosa,0.4464,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Eduandrea selloana,Andrea selloana,0.5264,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Leymus secalinus,Triticum dasystachyum,0.4438,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Bulbostylis contexta,Scirpus burkei,0.5009,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Lagenocarpus bracteosus,Macrochaetium hexandrum,0.4208,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Eriachne mucronata,Iria hawaiiensis,0.2252,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Eriophorum gracile,Phaeocephalum caducum,0.5266,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Acanthostachys strobilacea,Rapatea wettsteinii,0.4656,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,0
Schoenus nigricans,Cyperus niger,0.5312,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
Krenakia minarum,Acrocarpus campestris,0.2843,not synonym,sentence-transformers/all-mpnet-base-v2,0.7,1
