species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.8133,synonym,BAAI/bge-base-en-v1.5,0.7,1
Sphyrapicus varius,Picus varius,0.7687,synonym,BAAI/bge-base-en-v1.5,0.7,1
Dryobates pubescens,Dryobates affinis,0.7454,synonym,BAAI/bge-base-en-v1.5,0.7,0
Veniliornis mixtus,Picoides lignarius,0.5368,not synonym,BAAI/bge-base-en-v1.5,0.7,0
Picumnus limae,Picumnus fulvescens,0.6904,not synonym,BAAI/bge-base-en-v1.5,0.7,1
Celeus galeatus,Hylatomus galeatus,0.8054,synonym,BAAI/bge-base-en-v1.5,0.7,1
Veniliornis cassini,Dryobates cassini,0.7096,synonym,BAAI/bge-base-en-v1.5,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.8332,synonym,BAAI/bge-base-en-v1.5,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.5279,not synonym,BAAI/bge-base-en-v1.5,0.7,0
Galbula dea,Dryobates albolarvatus,0.5265,not synonym,BAAI/bge-base-en-v1.5,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9363,synonym,BAAI/bge-base-en-v1.5,0.7,1
Veniliornis dignus,Picus callonotus,0.5841,not synonym,BAAI/bge-base-en-v1.5,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.8621,synonym,BAAI/bge-base-en-v1.5,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.7926,synonym,BAAI/bge-base-en-v1.5,0.7,1
Colaptes auratus,Megalaima asiatica,0.5641,not synonym,BAAI/bge-base-en-v1.5,0.7,0
Pardipicus caroli,Campethera caroli,0.7331,synonym,BAAI/bge-base-en-v1.5,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.754,synonym,BAAI/bge-base-en-v1.5,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.7781,synonym,BAAI/bge-base-en-v1.5,0.7,1
Reinwardtipicus validus,Picus martius,0.5803,not synonym,BAAI/bge-base-en-v1.5,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.5319,not synonym,BAAI/bge-base-en-v1.5,0.7,0
Galbula dea,Picus chrysochloros,0.4744,not synonym,BAAI/bge-base-en-v1.5,0.7,0
Psilopogon faber,Megalaima faber,0.763,synonym,BAAI/bge-base-en-v1.5,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.4734,not synonym,BAAI/bge-base-en-v1.5,0.7,0
Dryobates minor,Cuculus tenebrosus,0.5753,not synonym,BAAI/bge-base-en-v1.5,0.7,0
Melanerpes carolinus,Picus carolinus,0.8132,synonym,BAAI/bge-base-en-v1.5,0.7,1
Picus sharpei,Bucco collaris,0.5471,not synonym,BAAI/bge-base-en-v1.5,0.7,0
