species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.8991,synonym,BAAI/bge-large-en,0.7,1
Sphyrapicus varius,Picus varius,0.8994,synonym,BAAI/bge-large-en,0.7,1
Dryobates pubescens,Dryobates affinis,0.9054,synonym,BAAI/bge-large-en,0.7,0
Veniliornis mixtus,Picoides lignarius,0.7935,synonym,BAAI/bge-large-en,0.7,0
Picumnus limae,Picumnus fulvescens,0.8718,synonym,BAAI/bge-large-en,0.7,1
Celeus galeatus,Hylatomus galeatus,0.8769,synonym,BAAI/bge-large-en,0.7,1
Veniliornis cassini,Dryobates cassini,0.919,synonym,BAAI/bge-large-en,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.8704,synonym,BAAI/bge-large-en,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.746,synonym,BAAI/bge-large-en,0.7,0
Galbula dea,Dryobates albolarvatus,0.7727,synonym,BAAI/bge-large-en,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9429,synonym,BAAI/bge-large-en,0.7,1
Veniliornis dignus,Picus callonotus,0.7706,synonym,BAAI/bge-large-en,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.9084,synonym,BAAI/bge-large-en,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.8774,synonym,BAAI/bge-large-en,0.7,1
Colaptes auratus,Megalaima asiatica,0.7526,synonym,BAAI/bge-large-en,0.7,0
Pardipicus caroli,Campethera caroli,0.8612,synonym,BAAI/bge-large-en,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.8728,synonym,BAAI/bge-large-en,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.8834,synonym,BAAI/bge-large-en,0.7,1
Reinwardtipicus validus,Picus martius,0.8041,synonym,BAAI/bge-large-en,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.7879,synonym,BAAI/bge-large-en,0.7,0
Galbula dea,Picus chrysochloros,0.7378,synonym,BAAI/bge-large-en,0.7,0
Psilopogon faber,Megalaima faber,0.8556,synonym,BAAI/bge-large-en,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.7616,synonym,BAAI/bge-large-en,0.7,0
Dryobates minor,Cuculus tenebrosus,0.778,synonym,BAAI/bge-large-en,0.7,0
Melanerpes carolinus,Picus carolinus,0.8567,synonym,BAAI/bge-large-en,0.7,1
Picus sharpei,Bucco collaris,0.7775,synonym,BAAI/bge-large-en,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.82,synonym,BAAI/bge-large-en,0.7,0
Dryobates pubescens,Picoides pubescens,0.895,synonym,BAAI/bge-large-en,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.7776,synonym,BAAI/bge-large-en,0.7,0
Melanerpes lewis,Picus spilogaster,0.7674,synonym,BAAI/bge-large-en,0.7,0
