species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.6649,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Sphyrapicus varius,Picus varius,0.6839,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Dryobates pubescens,Dryobates affinis,0.7887,synonym,BAAI/bge-large-zh-v1.5,0.7,0
Veniliornis mixtus,Picoides lignarius,0.5286,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Picumnus limae,Picumnus fulvescens,0.7474,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Celeus galeatus,Hylatomus galeatus,0.7027,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Veniliornis cassini,Dryobates cassini,0.7165,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.6431,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.4648,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Galbula dea,Dryobates albolarvatus,0.4424,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9217,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Veniliornis dignus,Picus callonotus,0.5135,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.6261,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.6871,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Colaptes auratus,Megalaima asiatica,0.4208,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Pardipicus caroli,Campethera caroli,0.7077,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.5646,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.6724,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Reinwardtipicus validus,Picus martius,0.567,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.3904,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Galbula dea,Picus chrysochloros,0.2809,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Psilopogon faber,Megalaima faber,0.5626,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
