species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Poikilospermum scabrinervium,Pyrus stankovii,0.518,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Sageretia filiformis,Rhamnus terminalis,0.4469,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Colubrina elliptica,Paliurus inermis,0.4207,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Gonostegia triandra,Memorialis mysorensis,0.3993,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Pourthiaea villosa,Pourthiaea oldhamii,0.6998,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Rubus niveus,Rubus horsfieldii,0.6524,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Dendrocnide torricellensis,Laportea torricellensis,0.7012,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ficus holosericea,Pyrus lonetalensis,0.4812,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Sorbaronia arsenii,Ficus papyrifera,0.4256,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Forsskaolea viridis,Forsskaolea eenii,0.7417,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Scepocarpus mannii,Discaria spiculata,0.4729,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Berchemia floribunda,Ficus todayensis,0.2846,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Urtica magellanica,Urtica bracteata,0.6601,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Frangula macrocarpa,Celtis hottlei,0.2618,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Retanilla ephedra,Pyrus parkmannii,0.3961,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ochetophila trinervis,Elatostema oshimense,0.4813,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Ulmus mexicana,Photinia pustulata,0.3922,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Maclura tinctoria,Ficus caudatifolia,0.4918,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Boehmeria cylindrica,Duretia palustris,0.4445,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Scutia arenicola,Phylica stipularis,0.4899,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Maclura cochinchinensis,Vanieria pubescens,0.3336,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Ziziphus abyssinica,Ziziphus abyssinica,1.0,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Pilea rivularis,Pilea stipulata,0.7277,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Prunus sargentii,Cerasus sachalinensis,0.5131,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Pouzolzia zeylanica,Cydonia cydonia,0.4389,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Scepocarpus sansibaricus,Pourthiaea tomentosa,0.3813,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Celtis iguanaea,Stranvaesia benthamiana,0.4864,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Pouzolzia denudata,Pouzolzia andongensis,0.777,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Pilea corymbosa,Cerasus pseudocerasus,0.3856,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Paratrophis anthropophagorum,Photinia glabra,0.4569,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Acaena magellanica,Acaena laevigata,0.7642,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Aronia melanocarpa,Sorbus melanocarpa,0.7098,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Margyricarpus alatus,Tetraglochin buxifolium,0.3111,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Reissekia smilacina,Bosquiea phoberos,0.3881,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Boehmeria polystachya,Boehmeria tibetica,0.7451,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Crataegus punctata,Crataegus pratensis,0.7715,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Rhaphiolepis elliptica,Photinia elliptica,0.7049,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Dendrocnide densiflora,Procris paniculata,0.4212,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Fragaria nilgerrensis,Potentilla nilgerrensis,0.706,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Spiraea martini,Spiraea fulvescens,0.624,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Phylica curvifolia,Rhamnus angulata,0.4395,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Celtis gomphophylla,Laportea subpeltata,0.4324,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Leucosyke puya,Maoutia puya,0.6401,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Prunus emarginata,Potentilla davidii,0.4151,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Dendrocnide cordata,Ulmus superba,0.2006,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Berchemiella berchemiifolia,Berchemiella koreana,0.8052,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Spiraea bella,Spiraea nepalensis,0.6905,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Boehmeria celtidifolia,Boehmeria arbuscula,0.7685,synonym,BAAI/bge-large-zh-v1.5,0.7,1
Laportea cuspidata,Laportea macrostachya,0.6017,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Laportea aestuans,Urera gaudichaudeana,0.4357,not synonym,BAAI/bge-large-zh-v1.5,0.7,1
Fragaria ananassa,Gouania remyi,0.5007,not synonym,BAAI/bge-large-zh-v1.5,0.7,0
Potentilla semidentata,Potentilla semidentata,1.0,synonym,BAAI/bge-large-zh-v1.5,0.7,1
