species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.9053,synonym,BAAI/bge-reranker-large,0.7,1
Sphyrapicus varius,Picus varius,0.9292,synonym,BAAI/bge-reranker-large,0.7,1
Dryobates pubescens,Dryobates affinis,0.9824,synonym,BAAI/bge-reranker-large,0.7,0
Veniliornis mixtus,Picoides lignarius,0.9797,synonym,BAAI/bge-reranker-large,0.7,0
Picumnus limae,Picumnus fulvescens,0.9039,synonym,BAAI/bge-reranker-large,0.7,1
Celeus galeatus,Hylatomus galeatus,0.9901,synonym,BAAI/bge-reranker-large,0.7,1
Veniliornis cassini,Dryobates cassini,0.8774,synonym,BAAI/bge-reranker-large,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.8973,synonym,BAAI/bge-reranker-large,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.8021,synonym,BAAI/bge-reranker-large,0.7,0
Galbula dea,Dryobates albolarvatus,0.9324,synonym,BAAI/bge-reranker-large,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9962,synonym,BAAI/bge-reranker-large,0.7,1
Veniliornis dignus,Picus callonotus,0.8295,synonym,BAAI/bge-reranker-large,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.9962,synonym,BAAI/bge-reranker-large,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.9985,synonym,BAAI/bge-reranker-large,0.7,1
Colaptes auratus,Megalaima asiatica,0.9963,synonym,BAAI/bge-reranker-large,0.7,0
Pardipicus caroli,Campethera caroli,1.0,synonym,BAAI/bge-reranker-large,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.9994,synonym,BAAI/bge-reranker-large,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.8827,synonym,BAAI/bge-reranker-large,0.7,1
Reinwardtipicus validus,Picus martius,0.9032,synonym,BAAI/bge-reranker-large,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.998,synonym,BAAI/bge-reranker-large,0.7,0
Galbula dea,Picus chrysochloros,0.86,synonym,BAAI/bge-reranker-large,0.7,0
Psilopogon faber,Megalaima faber,0.9776,synonym,BAAI/bge-reranker-large,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.9745,synonym,BAAI/bge-reranker-large,0.7,0
Dryobates minor,Cuculus tenebrosus,0.9933,synonym,BAAI/bge-reranker-large,0.7,0
Melanerpes carolinus,Picus carolinus,0.9896,synonym,BAAI/bge-reranker-large,0.7,1
Picus sharpei,Bucco collaris,0.9994,synonym,BAAI/bge-reranker-large,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.9426,synonym,BAAI/bge-reranker-large,0.7,0
Dryobates pubescens,Picoides pubescens,0.991,synonym,BAAI/bge-reranker-large,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.9493,synonym,BAAI/bge-reranker-large,0.7,0
Melanerpes lewis,Picus spilogaster,0.8148,synonym,BAAI/bge-reranker-large,0.7,0
Melanerpes lewis,Asyndesmus lewisi,0.8749,synonym,BAAI/bge-reranker-large,0.7,1
Sphyrapicus varius,Picoides mixtus,1.0,synonym,BAAI/bge-reranker-large,0.7,0
Chelidoptera tenebrosa,Picus campestris,0.9378,synonym,BAAI/bge-reranker-large,0.7,0
Colaptes auricularis,Pincus canus,0.9969,synonym,BAAI/bge-reranker-large,0.7,0
Veniliornis dignus,Chloronerpes dignus,0.9981,synonym,BAAI/bge-reranker-large,0.7,1
Psilopogon viridis,Dendrocopos kizuki,0.9982,synonym,BAAI/bge-reranker-large,0.7,0
Selenidera nattereri,Pteroglossus spec,1.0,synonym,BAAI/bge-reranker-large,0.7,1
Aulacorhynchus sulcatus,Pteroglossus sulcatus,0.9947,synonym,BAAI/bge-reranker-large,0.7,1
Dendrocopos major,Dryocopus major,1.0,synonym,BAAI/bge-reranker-large,0.7,1
Psilopogon lineatus,Sapheopipo noguchii,0.9985,synonym,BAAI/bge-reranker-large,0.7,0
Celeus torquatus,Picus torquatus,0.9956,synonym,BAAI/bge-reranker-large,0.7,1
Dendrocoptes auriceps,Leiopicus auriceps,0.9812,synonym,BAAI/bge-reranker-large,0.7,1
Leuconotopicus fumigatus,Venilornis fumigatus,0.9984,synonym,BAAI/bge-reranker-large,0.7,1
Dendrocopos major,Picoides major,0.9289,synonym,BAAI/bge-reranker-large,0.7,1
Dendrocopos major,Picus major,0.9693,synonym,BAAI/bge-reranker-large,0.7,1
Jacamerops aureus,Alcedo aurea,0.9008,synonym,BAAI/bge-reranker-large,0.7,1
Yungipicus maculatus,Dendrocopos maculatus,0.9025,synonym,BAAI/bge-reranker-large,0.7,1
Veniliornis spilogaster,Picus undatus,0.8708,synonym,BAAI/bge-reranker-large,0.7,0
Nesoctites micromegas,Picumnus micromegas,0.9411,synonym,BAAI/bge-reranker-large,0.7,1
Melanerpes superciliaris,Cuculus ater,0.9877,synonym,BAAI/bge-reranker-large,0.7,0
Chloropicus pyrrhogaster,Alcedo dea,0.9062,synonym,BAAI/bge-reranker-large,0.7,0
Leuconotopicus albolarvatus,Dryobates albolarvatus,0.9976,synonym,BAAI/bge-reranker-large,0.7,1
Selenidera piperivora,Megalaima nuchalis,0.9983,synonym,BAAI/bge-reranker-large,0.7,0
Veniliornis lignarius,Dryobates lignarius,0.9762,synonym,BAAI/bge-reranker-large,0.7,1
Psilopogon rubricapillus,Calorhamphus fuliginosus,0.9993,synonym,BAAI/bge-reranker-large,0.7,0
Dendrocopos hyperythrus,Hypopicus hyperythrus,0.9913,synonym,BAAI/bge-reranker-large,0.7,1
Selenidera piperivora,Bucco rubecula,0.9992,synonym,BAAI/bge-reranker-large,0.7,0
Dendrocoptes auriceps,Mesopicos griseocephalus,0.9585,synonym,BAAI/bge-reranker-large,0.7,0
Micropternus brachyurus,Celeus brachyurus,0.9362,synonym,BAAI/bge-reranker-large,0.7,1
Melanerpes striatus,Picus striatus,0.9682,synonym,BAAI/bge-reranker-large,0.7,1
