species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.8857,synonym,intfloat/e5-base-v2,0.7,1
Sphyrapicus varius,Picus varius,0.8728,synonym,intfloat/e5-base-v2,0.7,1
Dryobates pubescens,Dryobates affinis,0.9333,synonym,intfloat/e5-base-v2,0.7,0
Veniliornis mixtus,Picoides lignarius,0.799,synonym,intfloat/e5-base-v2,0.7,0
Picumnus limae,Picumnus fulvescens,0.8905,synonym,intfloat/e5-base-v2,0.7,1
Celeus galeatus,Hylatomus galeatus,0.8857,synonym,intfloat/e5-base-v2,0.7,1
Veniliornis cassini,Dryobates cassini,0.885,synonym,intfloat/e5-base-v2,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.8877,synonym,intfloat/e5-base-v2,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.7713,synonym,intfloat/e5-base-v2,0.7,0
Galbula dea,Dryobates albolarvatus,0.7781,synonym,intfloat/e5-base-v2,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9598,synonym,intfloat/e5-base-v2,0.7,1
Veniliornis dignus,Picus callonotus,0.8214,synonym,intfloat/e5-base-v2,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.8868,synonym,intfloat/e5-base-v2,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.8952,synonym,intfloat/e5-base-v2,0.7,1
Colaptes auratus,Megalaima asiatica,0.7862,synonym,intfloat/e5-base-v2,0.7,0
Pardipicus caroli,Campethera caroli,0.8511,synonym,intfloat/e5-base-v2,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.8768,synonym,intfloat/e5-base-v2,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.8948,synonym,intfloat/e5-base-v2,0.7,1
Reinwardtipicus validus,Picus martius,0.7958,synonym,intfloat/e5-base-v2,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.7594,synonym,intfloat/e5-base-v2,0.7,0
Galbula dea,Picus chrysochloros,0.759,synonym,intfloat/e5-base-v2,0.7,0
Psilopogon faber,Megalaima faber,0.8547,synonym,intfloat/e5-base-v2,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.7651,synonym,intfloat/e5-base-v2,0.7,0
Dryobates minor,Cuculus tenebrosus,0.8103,synonym,intfloat/e5-base-v2,0.7,0
Melanerpes carolinus,Picus carolinus,0.864,synonym,intfloat/e5-base-v2,0.7,1
Picus sharpei,Bucco collaris,0.8078,synonym,intfloat/e5-base-v2,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.8386,synonym,intfloat/e5-base-v2,0.7,0
Dryobates pubescens,Picoides pubescens,0.8726,synonym,intfloat/e5-base-v2,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.7734,synonym,intfloat/e5-base-v2,0.7,0
Melanerpes lewis,Picus spilogaster,0.7696,synonym,intfloat/e5-base-v2,0.7,0
Melanerpes lewis,Asyndesmus lewisi,0.8474,synonym,intfloat/e5-base-v2,0.7,1
Sphyrapicus varius,Picoides mixtus,0.7986,synonym,intfloat/e5-base-v2,0.7,0
Chelidoptera tenebrosa,Picus campestris,0.7866,synonym,intfloat/e5-base-v2,0.7,0
Colaptes auricularis,Pincus canus,0.8095,synonym,intfloat/e5-base-v2,0.7,0
Veniliornis dignus,Chloronerpes dignus,0.8782,synonym,intfloat/e5-base-v2,0.7,1
Psilopogon viridis,Dendrocopos kizuki,0.8043,synonym,intfloat/e5-base-v2,0.7,0
Selenidera nattereri,Pteroglossus spec,0.7549,synonym,intfloat/e5-base-v2,0.7,1
Aulacorhynchus sulcatus,Pteroglossus sulcatus,0.8969,synonym,intfloat/e5-base-v2,0.7,1
Dendrocopos major,Dryocopus major,0.8849,synonym,intfloat/e5-base-v2,0.7,1
Psilopogon lineatus,Sapheopipo noguchii,0.7989,synonym,intfloat/e5-base-v2,0.7,0
Celeus torquatus,Picus torquatus,0.9268,synonym,intfloat/e5-base-v2,0.7,1
Dendrocoptes auriceps,Leiopicus auriceps,0.8999,synonym,intfloat/e5-base-v2,0.7,1
Leuconotopicus fumigatus,Venilornis fumigatus,0.8839,synonym,intfloat/e5-base-v2,0.7,1
Dendrocopos major,Picoides major,0.8433,synonym,intfloat/e5-base-v2,0.7,1
Dendrocopos major,Picus major,0.8366,synonym,intfloat/e5-base-v2,0.7,1
Jacamerops aureus,Alcedo aurea,0.802,synonym,intfloat/e5-base-v2,0.7,1
Yungipicus maculatus,Dendrocopos maculatus,0.8758,synonym,intfloat/e5-base-v2,0.7,1
Veniliornis spilogaster,Picus undatus,0.7716,synonym,intfloat/e5-base-v2,0.7,0
Nesoctites micromegas,Picumnus micromegas,0.8832,synonym,intfloat/e5-base-v2,0.7,1
Melanerpes superciliaris,Cuculus ater,0.801,synonym,intfloat/e5-base-v2,0.7,0
Chloropicus pyrrhogaster,Alcedo dea,0.7544,synonym,intfloat/e5-base-v2,0.7,0
Leuconotopicus albolarvatus,Dryobates albolarvatus,0.899,synonym,intfloat/e5-base-v2,0.7,1
Selenidera piperivora,Megalaima nuchalis,0.7812,synonym,intfloat/e5-base-v2,0.7,0
Veniliornis lignarius,Dryobates lignarius,0.8804,synonym,intfloat/e5-base-v2,0.7,1
Psilopogon rubricapillus,Calorhamphus fuliginosus,0.8103,synonym,intfloat/e5-base-v2,0.7,0
Dendrocopos hyperythrus,Hypopicus hyperythrus,0.8856,synonym,intfloat/e5-base-v2,0.7,1
Selenidera piperivora,Bucco rubecula,0.7711,synonym,intfloat/e5-base-v2,0.7,0
