species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.9994,synonym,openai-community/gpt2,0.7,1
Sphyrapicus varius,Picus varius,0.9986,synonym,openai-community/gpt2,0.7,1
Dryobates pubescens,Dryobates affinis,0.9985,synonym,openai-community/gpt2,0.7,0
Veniliornis mixtus,Picoides lignarius,0.9975,synonym,openai-community/gpt2,0.7,0
Picumnus limae,Picumnus fulvescens,0.9989,synonym,openai-community/gpt2,0.7,1
Celeus galeatus,Hylatomus galeatus,0.9977,synonym,openai-community/gpt2,0.7,1
Veniliornis cassini,Dryobates cassini,0.9988,synonym,openai-community/gpt2,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.9974,synonym,openai-community/gpt2,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.9984,synonym,openai-community/gpt2,0.7,0
Galbula dea,Dryobates albolarvatus,0.9975,synonym,openai-community/gpt2,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9994,synonym,openai-community/gpt2,0.7,1
Veniliornis dignus,Picus callonotus,0.998,synonym,openai-community/gpt2,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.999,synonym,openai-community/gpt2,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.9981,synonym,openai-community/gpt2,0.7,1
Colaptes auratus,Megalaima asiatica,0.9974,synonym,openai-community/gpt2,0.7,0
Pardipicus caroli,Campethera caroli,0.9981,synonym,openai-community/gpt2,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.9989,synonym,openai-community/gpt2,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.9991,synonym,openai-community/gpt2,0.7,1
Reinwardtipicus validus,Picus martius,0.9959,synonym,openai-community/gpt2,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.9988,synonym,openai-community/gpt2,0.7,0
Galbula dea,Picus chrysochloros,0.9944,synonym,openai-community/gpt2,0.7,0
Psilopogon faber,Megalaima faber,0.9967,synonym,openai-community/gpt2,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.9983,synonym,openai-community/gpt2,0.7,0
Dryobates minor,Cuculus tenebrosus,0.9952,synonym,openai-community/gpt2,0.7,0
Melanerpes carolinus,Picus carolinus,0.9993,synonym,openai-community/gpt2,0.7,1
Picus sharpei,Bucco collaris,0.9982,synonym,openai-community/gpt2,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.9982,synonym,openai-community/gpt2,0.7,0
Dryobates pubescens,Picoides pubescens,0.9991,synonym,openai-community/gpt2,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.9989,synonym,openai-community/gpt2,0.7,0
Melanerpes lewis,Picus spilogaster,0.9979,synonym,openai-community/gpt2,0.7,0
Melanerpes lewis,Asyndesmus lewisi,0.9991,synonym,openai-community/gpt2,0.7,1
Sphyrapicus varius,Picoides mixtus,0.9991,synonym,openai-community/gpt2,0.7,0
Chelidoptera tenebrosa,Picus campestris,0.9951,synonym,openai-community/gpt2,0.7,0
Colaptes auricularis,Pincus canus,0.9958,synonym,openai-community/gpt2,0.7,0
Veniliornis dignus,Chloronerpes dignus,0.9977,synonym,openai-community/gpt2,0.7,1
Psilopogon viridis,Dendrocopos kizuki,0.997,synonym,openai-community/gpt2,0.7,0
Selenidera nattereri,Pteroglossus spec,0.9962,synonym,openai-community/gpt2,0.7,1
Aulacorhynchus sulcatus,Pteroglossus sulcatus,0.9985,synonym,openai-community/gpt2,0.7,1
Dendrocopos major,Dryocopus major,0.995,synonym,openai-community/gpt2,0.7,1
Psilopogon lineatus,Sapheopipo noguchii,0.9965,synonym,openai-community/gpt2,0.7,0
Celeus torquatus,Picus torquatus,0.9975,synonym,openai-community/gpt2,0.7,1
Dendrocoptes auriceps,Leiopicus auriceps,0.9981,synonym,openai-community/gpt2,0.7,1
Leuconotopicus fumigatus,Venilornis fumigatus,0.9989,synonym,openai-community/gpt2,0.7,1
Dendrocopos major,Picoides major,0.9973,synonym,openai-community/gpt2,0.7,1
Dendrocopos major,Picus major,0.9961,synonym,openai-community/gpt2,0.7,1
Jacamerops aureus,Alcedo aurea,0.9985,synonym,openai-community/gpt2,0.7,1
Yungipicus maculatus,Dendrocopos maculatus,0.998,synonym,openai-community/gpt2,0.7,1
Veniliornis spilogaster,Picus undatus,0.9958,synonym,openai-community/gpt2,0.7,0
Nesoctites micromegas,Picumnus micromegas,0.9993,synonym,openai-community/gpt2,0.7,1
Melanerpes superciliaris,Cuculus ater,0.9986,synonym,openai-community/gpt2,0.7,0
Chloropicus pyrrhogaster,Alcedo dea,0.9932,synonym,openai-community/gpt2,0.7,0
Leuconotopicus albolarvatus,Dryobates albolarvatus,0.9993,synonym,openai-community/gpt2,0.7,1
Selenidera piperivora,Megalaima nuchalis,0.9989,synonym,openai-community/gpt2,0.7,0
Veniliornis lignarius,Dryobates lignarius,0.999,synonym,openai-community/gpt2,0.7,1
Psilopogon rubricapillus,Calorhamphus fuliginosus,0.9979,synonym,openai-community/gpt2,0.7,0
Dendrocopos hyperythrus,Hypopicus hyperythrus,0.9984,synonym,openai-community/gpt2,0.7,1
Selenidera piperivora,Bucco rubecula,0.9937,synonym,openai-community/gpt2,0.7,0
Dendrocoptes auriceps,Mesopicos griseocephalus,0.998,synonym,openai-community/gpt2,0.7,0
Micropternus brachyurus,Celeus brachyurus,0.9961,synonym,openai-community/gpt2,0.7,1
Melanerpes striatus,Picus striatus,0.9987,synonym,openai-community/gpt2,0.7,1
Lybius melanopterus,Dendrocopos scalaris,0.9979,synonym,openai-community/gpt2,0.7,0
